archive_name,archive_sha256,at_csv_data_rows,at_csv_member,at_meta_member,cell,charge_discharge_disagreement_at_percent,charge_discharge_disagreement_et_percent,elapsed_seconds,error,et_csv_data_rows,et_csv_member,et_meta_member,file_id,lab,mapping_method,metadata_conflict_flags,q_charge_at_Ah,q_charge_et_Ah,q_discharge_at_Ah,q_discharge_et_Ah,q_rel_charge_percent,q_rel_discharge_percent,q_rel_end_percent,q_rpt_at_Ah,q_rpt_et_Ah,sampling,serial,serial_internal,stage,status,tp,type,amb_temp_tp,soc_max_tp,dod_tp,c_ch_tp,c_dch_tp,m_0,scale,R_1khz_0,resistance_meter,U_0, volt_meter,condition_group
TP_k01_06.zip,dea9bff5209298aa8bb0ab8fcfe190e40bc83aa4d5e30afc6e7879fe16d9e512,318697.0,TP_k01_06/TP_k01_06_02_AT_T23.csv,TP_k01_06/TP_k01_06_02_AT_T23_meta.txt,6,0.4588678945868809,0.3053658673819974,24.387,,319434.0,TP_k01_06/TP_k01_06_01_ET_T23.csv,TP_k01_06/TP_k01_06_01_ET_T23_meta.txt,47627089,SIE,exact-archive-serial-plus-internal-serial,,4.873316925214266,4.902150073926279,4.895730436188498,4.917142457831468,99.41182647864308,99.56454339432716,99.4883015228187,4.884523680701382,4.909646265878873,FF,TP_k01_06,S012,1,extracted-stage1,1,k,10,0.05,0.0,0.0,0.0,68.613,Sartorius BP 310S,13.29,HP 4338B Milliohmmeter,3.5757,Fluke 189,k|10|0.05
TP_k01_05.zip,d38599b1af228b1ea96c0e2ea242709dad8bfd507542ae0df08243e2ed6dae4e,318449.0,TP_k01_05/TP_k01_05_02_AT_T23.csv,TP_k01_05/TP_k01_05_02_AT_T23_meta.txt,5,0.7594071375518116,0.7270013570419066,24.53,,319429.0,TP_k01_05/TP_k01_05_01_ET_T23.csv,TP_k01_05/TP_k01_05_01_ET_T23_meta.txt,47627092,SIE,exact-archive-serial-plus-internal-serial,,4.824537228107278,4.835684688730397,4.861314753748737,4.870968438710319,99.76947503113472,99.80181179403952,99.78570218476338,4.842925990928007,4.853326563720358,FF,TP_k01_05,S011,1,extracted-stage1,1,k,10,0.05,0.0,0.0,0.0,68.282,Sartorius BP 310S,12.37,HP 4338B Milliohmmeter,3.5776,Fluke 189,k|10|0.05
TP_k02_01.zip,7a6813d522e23aaf0eb8efe93a210e5edfaa4efbaa90b2e57194db4bb3a047af,328704.0,TP_k02_01/TP_k02_01_09_AT_T23.csv,TP_k02_01/TP_k02_01_09_AT_T23_meta.txt,1,0.2320058457761901,0.2094694291106031,33.719,,319942.0,TP_k02_01/TP_k02_01_01_ET_T23.csv,TP_k02_01/TP_k02_01_01_ET_T23_meta.txt,47627095,SIE,exact-archive-serial-plus-internal-serial,,4.789718512693336,4.882173604459226,4.800843845350071,4.892410987730822,98.10627193425805,98.12838409098536,98.1173395921738,4.795281179021703,4.8872922960950245,FF,TP_k02_01,S004,1,extracted-stage1,2,k,10,0.5,0.0,0.0,0.0,68.585,Sartorius BP 310S,12.64,HP 4338B Milliohmmeter,3.5793,Fluke 189,k|10|0.5
TP_k03_03.zip,5376d8f93fdb04adda4bffa1772bb5a31eff5fdcbf0a9b2c193ea5c592773c6d,317758.0,TP_k03_03/TP_k03_03_09_AT_T23.csv,TP_k03_03/TP_k03_03_09_AT_T23_meta.txt,3,0.4473942950518281,0.3491827971322226,24.364,,319530.0,TP_k03_03/TP_k03_03_01_ET_T23.csv,TP_k03_03/TP_k03_03_01_ET_T23_meta.txt,47627098,SIE,exact-archive-serial-plus-internal-serial,,4.704166467222644,4.827586461827487,4.725259824866105,4.844473045791986,97.4434431039041,97.53919116075106,97.49140071626336,4.714713146044375,4.836029753809736,FF,TP_k03_03,S009,1,extracted-stage1,3,k,10,1.0,0.0,0.0,0.0,68.266,Sartorius BP 310S,13.03,HP 4338B Milliohmmeter,3.5752,Fluke 189,k|10|1.0
TP_k04_06.zip,0e356b05719950ed71e4f91e7070c60353ee1cdf01859ed333241fd0e41ca1c5,318840.0,TP_k04_06/TP_k04_06_02_AT_T23.csv,TP_k04_06/TP_k04_06_02_AT_T23_meta.txt,6,0.3282372104198655,0.3844453337377809,28.961,,319042.0,TP_k04_06/TP_k04_06_01_ET_T23.csv,TP_k04_06/TP_k04_06_01_ET_T23_meta.txt,47627104,INT,archive-serial-plus-complement-of-exactly-mapped-twin-stage,archive_internal_serial_conflicts_with_experiments_meta,4.81928564141175,4.85212386315976,4.835130334252175,4.870813552758632,99.3232196317712,99.26740742342216,99.29525988573904,4.8272079878319625,4.861468707959196,FF,TP_k04_06,INT012,1,extracted-stage1,4,k,23,0.05,0.0,0.0,0.0,68.261,KERN FCB 6k0.5,12.412,HIOKI BT3563,3.5799,HIOKI BT3563,k|23|0.05
TP_k04_04.zip,3b72db0f4f511d229ce795ac76803903560be8978fcf9cf12a9505a8521db438,319049.0,TP_k04_04/TP_k04_04_02_AT_T23.csv,TP_k04_04/TP_k04_04_02_AT_T23_meta.txt,4,0.2836407117321902,0.2892595596037843,28.912,,318943.0,TP_k04_04/TP_k04_04_01_ET_T23.csv,TP_k04_04/TP_k04_04_01_ET_T23_meta.txt,47627107,INT,archive-serial-plus-complement-of-exactly-mapped-twin-stage,archive_internal_serial_conflicts_with_experiments_meta,4.843623456593766,4.883337397515385,4.857381456283797,4.897483377064478,99.18674591393533,99.181172906712,99.18395538020962,4.8505024564387815,4.890410387289931,FF,TP_k04_04,INT010,1,extracted-stage1,4,k,23,0.05,0.0,0.0,0.0,68.261,KERN FCB 6k0.5,12.611,HIOKI BT3563,3.5776,HIOKI BT3563,k|23|0.05
TP_k04_05.zip,520a780364f0e2b5eb7c615d4e91020f2a8689497e4319a056c5bbfc36b9d5c6,318427.0,TP_k04_05/TP_k04_05_02_AT_T23.csv,TP_k04_05/TP_k04_05_02_AT_T23_meta.txt,5,0.33967784847903,0.3048029935984911,33.55,,318420.0,TP_k04_05/TP_k04_05_01_ET_T23.csv,TP_k04_05/TP_k04_05_01_ET_T23_meta.txt,47627110,INT,archive-serial-plus-complement-of-exactly-mapped-twin-stage,archive_internal_serial_conflicts_with_experiments_meta,4.752566506136337,4.781540260279643,4.768737386240725,4.796136783452889,99.39404977128412,99.42871943713752,99.41141102275569,4.760651946188531,4.788838521866266,FF,TP_k04_05,INT011,1,extracted-stage1,4,k,23,0.05,0.0,0.0,0.0,68.261,KERN FCB 6k0.5,12.262,HIOKI BT3563,3.5755,HIOKI BT3563,k|23|0.05
TP_k08_04.zip,2dbfbdfd4314e5d4f66f9b2a0511f84c6d7be884fe41e68ea421dd356c2e460a,306112.0,TP_k08_04/TP_k08_04_02_AT_T23.csv,TP_k08_04/TP_k08_04_02_AT_T23_meta.txt,4,0.3932373328235743,0.1072061471845712,31.678,,314172.0,TP_k08_04/TP_k08_04_01_ET_T23.csv,TP_k08_04/TP_k08_04_01_ET_T23_meta.txt,47627401,HM,exact-archive-serial-plus-internal-serial,,4.7913660571774574,4.911624486302939,4.810244616037184,4.906361743918673,97.5515548987744,98.04096940058234,97.79613097907055,4.80080533660732,4.908993115110806,FF,TP_k08_04,HM019,1,extracted-stage1,8,k,45,0.2,0.0,0.0,0.0,68.68,KERN ABT 220-5DM,12.33,HIOKI 3554,3.577,HIOKI 3554,k|45|0.2
TP_k09_04.zip,9d2cd1acc055ccd725433a7f0b18119e0f0c3132097a8651cd4dd1f26fd4bf45,304243.0,TP_k09_04/TP_k09_04_02_AT_T23.csv,TP_k09_04/TP_k09_04_02_AT_T23_meta.txt,4,0.3553405471627339,0.0420340190005901,24.068,,314032.0,TP_k09_04/TP_k09_04_01_ET_T23.csv,TP_k09_04/TP_k09_04_01_ET_T23_meta.txt,47627404,HM,exact-archive-serial-plus-internal-serial,,4.657346142378578,4.902604947746089,4.673925037412332,4.904666142842918,94.99737776179036,95.2954778427214,95.14645912811709,4.665635589895455,4.903635545294503,FF,TP_k09_04,HM022,1,extracted-stage1,9,k,45,0.5,0.0,0.0,0.0,68.71,KERN ABT 220-5DM,12.65,HIOKI 3554,3.575,HIOKI 3554,k|45|0.5
TP_k09_05.zip,a8b6f27190e3183d03b29f753c8795eadd67ed316358b975fcc91a2644d6e0f7,313090.0,TP_k09_05/TP_k09_05_02_AT_T23.csv,TP_k09_05/TP_k09_05_02_AT_T23_meta.txt,5,0.3702857665092654,0.3505999769864386,24.508,,321168.0,TP_k09_05/TP_k09_05_01_ET_T23.csv,TP_k09_05/TP_k09_05_01_ET_T23_meta.txt,47627413,HM,exact-archive-serial-plus-internal-serial,,4.647840394503667,4.880446940793206,4.665082608667021,4.897587834629385,95.23390892040445,95.2526583736102,95.243300080902,4.656461501585344,4.889017387711295,FF,TP_k09_05,HM023,1,extracted-stage1,9,k,45,0.5,0.0,0.0,0.0,68.78,KERN ABT 220-5DM,12.06,HIOKI 3554,3.575,HIOKI 3554,k|45|0.5
