scope,outer_heldout_group,nested_heldout_group,candidate_group,file_id,serial_internal,serial,type,source_distance,target_distance,source_uncertainty_normalized,provenance_compatibility,applicability,borrow_allowed,centered_source_feature
nested_validation,k|10|0.2,k|10|0.8,k|10|0.8,47627623,186,TP_k02_05,k,0.2105263157894736,0.40359624824310136,0.4547510818883757,1.0,0.7329992982410637,True,0.5929521182475777
nested_validation,k|10|0.2,k|10|0.8,k|10|0.8,47627629,019,TP_k02_02,k,0.2105263157894736,0.40359624824310136,0.4547510818883757,1.0,0.7329992982410637,True,0.5929521182475777
nested_validation,k|10|0.2,k|10|0.8,k|10|0.8,47627638,131,TP_k02_01,k,0.2105263157894736,0.40359624824310136,0.4547510818883757,1.0,0.7329992982410637,True,0.5929521182475777
nested_validation,k|10|0.2,k|10|0.8,k|10|0.8,47627647,197,TP_k02_03,k,0.2105263157894736,0.40359624824310136,0.4547510818883757,1.0,0.7329992982410637,True,0.5929521182475777
nested_validation,k|10|0.2,k|10|0.8,k|10|0.8,47628259,145,TP_k02_04,k,0.2105263157894736,0.40359624824310136,0.4547510818883757,1.0,0.7329992982410637,True,0.5929521182475777
nested_validation,k|10|0.2,k|10|0.8,k|10|0.8,47628265,095,TP_k02_06,k,0.2105263157894736,0.40359624824310136,0.4547510818883757,1.0,0.7329992982410637,True,0.5929521182475777
nested_validation,k|10|0.2,k|23|0.2,k|23|0.2,47627524,039,TP_k03_02,k,0.1578947368421052,0.4736842105263157,0.3143595768483895,1.0,0.7417682241377102,True,1.211696531382158
nested_validation,k|10|0.2,k|23|0.2,k|23|0.2,47627626,055,TP_k03_01,k,0.1578947368421052,0.4736842105263157,0.3143595768483895,1.0,0.7417682241377102,True,1.211696531382158
nested_validation,k|10|0.2,k|23|0.2,k|23|0.2,47627641,013,TP_k03_05,k,0.1578947368421052,0.4736842105263157,0.2854971737477057,1.0,0.7482173283141994,True,1.2431879612615986
nested_validation,k|10|0.2,k|23|0.2,k|23|0.2,47627644,130,TP_k03_03,k,0.1578947368421052,0.4736842105263157,0.3163736062323093,1.0,0.7412972340183182,True,1.210895076977034
nested_validation,k|10|0.2,k|23|0.2,k|23|0.2,47628319,189,TP_k03_04,k,0.1578947368421052,0.4736842105263157,0.3143595768483895,1.0,0.7417682241377102,True,1.211696531382158
nested_validation,k|10|0.2,k|23|0.2,k|23|0.2,47628376,118,TP_k03_06,k,0.1578947368421052,0.4736842105263157,0.314831012984789,1.0,0.7416582194703915,True,1.2117107600589097
nested_validation,k|10|0.2,k|23|0.65,k|23|0.65,47628571,TP_k08_04,TP_k08_04,k,0.1578947368421052,0.40359624824310136,1.9865553736529464,0.5,0.057603670671615995,False,0.0
nested_validation,k|10|0.2,k|23|0.65,k|23|0.65,47629393,TP_k08_05,TP_k08_05,k,0.1578947368421052,0.40359624824310136,1.9865553736529464,0.5,0.057603670671615995,False,0.0
nested_validation,k|10|0.2,k|23|0.65,k|23|0.65,47629402,TP_k08_06,TP_k08_06,k,0.1578947368421052,0.40359624824310136,2.0228482769843685,0.5,0.05356146339871397,False,0.0
nested_validation,k|10|0.2,k|23|0.65,k|23|0.65,47630380,TP_k08_02,TP_k08_02,k,0.1578947368421052,0.40359624824310136,1.995679877282441,0.5,0.05656657893391336,False,0.0
nested_validation,k|10|0.2,k|23|0.65,k|23|0.65,47630431,TP_k08_01,TP_k08_01,k,0.1578947368421052,0.40359624824310136,2.0472312209868,0.5,0.05096859113019552,False,0.0
nested_validation,k|10|0.2,k|23|0.65,k|23|0.65,47630680,TP_k08_03,TP_k08_03,k,0.1578947368421052,0.40359624824310136,1.9865553736529464,0.5,0.057603670671615995,False,0.0
nested_validation,k|10|0.2,k|45|0.65,k|45|0.65,47629369,TP_k10_05,TP_k10_05,k,0.1578947368421052,0.6285714285714286,1.0997257530836464,0.5,0.17944646955195898,False,0.0
nested_validation,k|10|0.2,k|45|0.65,k|45|0.65,47629387,TP_k10_04,TP_k10_04,k,0.1578947368421052,0.6285714285714286,1.0997257530836464,0.5,0.17944646955195898,False,0.0
nested_validation,k|10|0.2,k|45|0.65,k|45|0.65,47629423,TP_k10_06,TP_k10_06,k,0.1578947368421052,0.6285714285714286,1.0997257530836464,0.5,0.17944646955195898,False,0.0
nested_validation,k|10|0.2,k|45|0.65,k|45|0.65,47630698,TP_k10_01,TP_k10_01,k,0.1578947368421052,0.6285714285714286,1.0963416998901656,0.5,0.1801144979207569,False,0.0
nested_validation,k|10|0.2,k|45|0.65,k|45|0.65,47630701,TP_k10_02,TP_k10_02,k,0.1578947368421052,0.6285714285714286,1.0963416998901656,0.5,0.1801144979207569,False,0.0
nested_validation,k|10|0.2,k|45|0.65,k|45|0.65,47630719,TP_k10_03,TP_k10_03,k,0.1578947368421052,0.6285714285714286,1.0997257530836464,0.5,0.17944646955195898,False,0.0
outer_test,k|10|0.2,,k|10|0.2,47627599,167,TP_k01_02,k,0.1578947368421052,0.37142857142857144,0.3061437710657915,1.0,0.8107853477822421,True,1.325562048104088
outer_test,k|10|0.2,,k|10|0.2,47627620,057,TP_k01_01,k,0.1578947368421052,0.37142857142857144,0.3061437710657915,1.0,0.8107853477822421,True,1.325562048104088
outer_test,k|10|0.2,,k|10|0.2,47627656,012,TP_k01_03,k,0.1578947368421052,0.37142857142857144,0.3059229147376472,1.0,0.8108401501297624,True,1.3254271771911943
outer_test,k|10|0.2,,k|10|0.2,47628241,070,TP_k01_04,k,0.1578947368421052,0.37142857142857144,0.2637618626804907,1.0,0.8206364414196503,True,1.3698243996917179
outer_test,k|10|0.2,,k|10|0.2,47628313,123,TP_k01_06,k,0.1578947368421052,0.37142857142857144,0.3178466608520105,1.0,0.8078303692864044,True,1.3114194640480745
