file_id,serial_internal,serial,condition_group,lab,type,tp,cell,sampling,source_prediction,source_prediction_center,source_prediction_centered,source_uncertainty_normalized,source_distance,provenance_compatibility,wrong_property_mass_prediction
47627620,057,TP_k01_01,k|10|0.2,SIE,k,1,1,FF,98.7699061742332,97.13499497149634,1.634911202736859,0.3061437710657915,0.15789473684210528,1.0,68.4859603333333
47627599,167,TP_k01_02,k|10|0.2,SIE,k,1,2,FF,98.7699061742332,97.13499497149634,1.634911202736859,0.3061437710657915,0.15789473684210528,1.0,68.48625859999997
47627656,012,TP_k01_03,k|10|0.2,SIE,k,1,3,FF,98.7696293405259,97.13499497149634,1.6346343690295555,0.30592291473764727,0.15789473684210528,1.0,68.4626637666666
47628241,070,TP_k01_04,k|10|0.2,SIE,k,1,4,FF,98.80421696865992,97.13499497149634,1.669221997163575,0.26376186268049073,0.15789473684210528,1.0,68.43241926666656
47628373,168,TP_k01_05,k|10|0.2,SIE,k,1,5,FF,98.7699061742332,97.13499497149634,1.634911202736859,0.3061437710657915,0.15789473684210528,1.0,68.4859603333333
47628313,123,TP_k01_06,k|10|0.2,SIE,k,1,6,FF,98.7583796744093,97.13499497149634,1.6233847029129578,0.3178466608520105,0.15789473684210528,1.0,68.41235809999996
47627638,131,TP_k02_01,k|10|0.8,SIE,k,2,1,FF,97.94393451573663,97.13499497149634,0.8089395442402889,0.45475108188837576,0.21052631578947367,1.0,68.27791693333324
47627629,019,TP_k02_02,k|10|0.8,SIE,k,2,2,FF,97.94393451573663,97.13499497149634,0.8089395442402889,0.45475108188837576,0.21052631578947367,1.0,68.26996593333321
47627647,197,TP_k02_03,k|10|0.8,SIE,k,2,3,FF,97.94393451573663,97.13499497149634,0.8089395442402889,0.45475108188837576,0.21052631578947367,1.0,68.27486493333323
47628259,145,TP_k02_04,k|10|0.8,SIE,k,2,4,FF,97.94393451573663,97.13499497149634,0.8089395442402889,0.45475108188837576,0.21052631578947367,1.0,68.27486493333323
47627623,186,TP_k02_05,k|10|0.8,SIE,k,2,5,FF,97.94393451573663,97.13499497149634,0.8089395442402889,0.45475108188837576,0.21052631578947367,1.0,68.27486493333323
47628265,095,TP_k02_06,k|10|0.8,SIE,k,2,6,FF,97.94393451573663,97.13499497149634,0.8089395442402889,0.45475108188837576,0.21052631578947367,1.0,68.27486493333323
47627626,055,TP_k03_01,k|23|0.2,SIE,k,3,1,FF,98.7685194228716,97.13499497149634,1.6335244513752656,0.3143595768483895,0.15789473684210528,1.0,68.41928893333338
47627524,039,TP_k03_02,k|23|0.2,SIE,k,3,2,FF,98.7685194228716,97.13499497149634,1.6335244513752656,0.3143595768483895,0.15789473684210528,1.0,68.41928893333338
47627644,130,TP_k03_03,k|23|0.2,SIE,k,3,3,FF,98.76847614666974,97.13499497149634,1.6334811751734009,0.3163736062323093,0.15789473684210528,1.0,68.37768470000002
47628319,189,TP_k03_04,k|23|0.2,SIE,k,3,4,FF,98.7685194228716,97.13499497149634,1.6335244513752656,0.3143595768483895,0.15789473684210528,1.0,68.41928893333338
47627641,013,TP_k03_05,k|23|0.2,SIE,k,3,5,FF,98.79652821085958,97.13499497149634,1.6615332393632372,0.2854971737477057,0.15789473684210528,1.0,68.37714103333334
47628376,118,TP_k03_06,k|23|0.2,SIE,k,3,6,FF,98.76878089639875,97.13499497149634,1.633785924902412,0.31483101298478905,0.15789473684210528,1.0,68.38639026666667
47630431,TP_k08_01,TP_k08_01,k|23|0.65,HM,k,8,1,manual,95.4146219865963,97.13499497149634,-1.7203729849000382,2.0472312209868,0.1578947368421052,0.5,68.37385528095243
