outer_heldout_group,calendar_relative_rmse_gain,cycle_relative_rmse_gain,equal_stratum_relative_rmse_gain,gate_pass
k|10|0.2,0.0026406778416036003,0.11920165229516366,0.06092116506838363,True
k|10|0.8,0.027685114352691165,0.11920165229516366,0.07344338332392741,True
k|23|0.2,-0.035558052654868,0.11920165229516366,0.04182179982014783,False
k|23|0.65,-0.035558052654868,0.11920165229516366,0.04182179982014783,False
k|23|0.8,0.0034922086736001168,0.11920165229516366,0.06134693048438189,True
k|23|0.9,-0.035558052654868,0.11920165229516366,0.04182179982014783,False
k|45|0.65,-0.035558052654868,0.11920165229516366,0.04182179982014783,False
k|45|0.9,0.08377212912454768,0.11920165229516366,0.10148689070985567,True
z|23|0.25|0.05|0.4|0.3,-0.035558052654868,0.057580723606209694,0.011011335475670847,False
z|23|0.36|0.05|0.8|1.7,-0.035558052654868,0.11920165229516366,0.04182179982014783,False
z|23|0.69|0.2|1|0.5,-0.035558052654868,0.09911489688006436,0.03177842211259818,False
z|23|0.8|0.25|0.2|1.4,-0.035558052654868,0.09531019353163483,0.029876070438383417,False
z|35|0.63|0.4|0.5|0.2,-0.035558052654868,0.11920165229516366,0.04182179982014783,False
z|35|0.74|0.15|0.5|1.3,-0.035558052654868,0.11920165229516366,0.04182179982014783,False
z|35|0.8|0.1|0.7|0.8,-0.035558052654868,0.11920165229516366,0.04182179982014783,False
z|45|0.41|0.05|1|1,-0.035558052654868,0.05589806231190764,0.010170004828519819,False
z|45|0.47|0.15|0.7|1.9,-0.035558052654868,0.11920165229516366,0.04182179982014783,False
z|45|0.52|0.05|0.3|0.7,-0.035558052654868,0.11920165229516366,0.04182179982014783,False
z|45|0.8|0.6|0.24|2,-0.035558052654868,0.11920165229516366,0.04182179982014783,False
z|45|0.8|0.6|0.2|0.44,-0.035558052654868,0.06548196856318778,0.014961957954159888,False
z|45|0.8|0.6|1|0.26,-0.035558052654868,0.11920165229516366,0.04182179982014783,False
z|45|0.8|0.6|1|2,-0.035558052654868,-0.006949912270894476,-0.021253982462881238,False
