file_id,archive_name,archive_bytes,archive_sha256,zip_entries,metadata_entries,numeric_csv_entries_present_but_not_opened,numeric_csv_entries_opened,mapping_evidence_entry,archive_internal_serial,archive_testpoint_raw,archive_lab_raw,measurement_start_date,serial_internal,serial,stage,lab,type,tp,cell,sampling,mapping_method,metadata_conflict_flags,candidate_stages,status,error,elapsed_seconds
47627110,TP_k04_05.zip,11468262,520a780364f0e2b5eb7c615d4e91020f2a8689497e4319a056c5bbfc36b9d5c6,13,6,6,False,TP_k04_05/TP_k04_05_01_ET_T10_meta.txt,INT047,k04,INT,30.09.2021,INT011,TP_k04_05,1,INT,k,4,5,FF,archive-serial-plus-complement-of-exactly-mapped-twin-stage,archive_internal_serial_conflicts_with_experiments_meta,1;2,mapped-metadata-only,,3.524
47627401,TP_k08_04.zip,10534175,2dbfbdfd4314e5d4f66f9b2a0511f84c6d7be884fe41e68ea421dd356c2e460a,13,6,6,False,TP_k08_04/TP_k08_04_01_ET_T10_meta.txt,HM019,,HM,,HM019,TP_k08_04,1,HM,k,8,4,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.486
47627404,TP_k09_04.zip,10578572,9d2cd1acc055ccd725433a7f0b18119e0f0c3132097a8651cd4dd1f26fd4bf45,13,6,6,False,TP_k09_04/TP_k09_04_01_ET_T10_meta.txt,HM022,,HM,,HM022,TP_k09_04,1,HM,k,9,4,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,19.586
47627413,TP_k09_05.zip,10852018,a8b6f27190e3183d03b29f753c8795eadd67ed316358b975fcc91a2644d6e0f7,13,6,6,False,TP_k09_05/TP_k09_05_01_ET_T10_meta.txt,HM023,,HM,,HM023,TP_k09_05,1,HM,k,9,5,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,51.701
47627425,TP_k08_06.zip,11227712,6541875514ae116969dd93d06e521e99eebeca85a1d27a340026fa691556cb23,13,6,6,False,TP_k08_06/TP_k08_06_01_ET_T10_meta.txt,HM021,,HM,,HM021,TP_k08_06,1,HM,k,8,6,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.641
47627428,TP_k07_04.zip,11259803,0806f4b4ba38af2a6b1a7e8ab592d30cf90690fdef684a96663738ba76bc7881,13,6,6,False,TP_k07_04/TP_k07_04_01_ET_T10_meta.txt,HM016,,HM,,HM016,TP_k07_04,1,HM,k,7,4,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,3.322
47627431,TP_k07_06.zip,11281925,212fc010345f76c6f550e126dc0c0ced42ba4bfbb8169a082a283f56b93ad8e5,13,6,6,False,TP_k07_06/TP_k07_06_01_ET_T10_meta.txt,HM018,,HM,,HM018,TP_k07_06,1,HM,k,7,6,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,3.208
47627434,TP_k06_05.zip,11401220,b61a6b3b1c5fd331f5cb583b1161da057bdea28a55c652a820052ec4ed311dc2,13,6,6,False,TP_k06_05/TP_k06_05_01_ET_T10_meta.txt,INT053,k06,INT,30.09.2021,INT017,TP_k06_05,1,INT,k,6,5,FF,archive-serial-plus-complement-of-exactly-mapped-twin-stage,archive_internal_serial_conflicts_with_experiments_meta,1;2,mapped-metadata-only,,3.193
47627437,TP_k08_05.zip,11345887,31b727db3c4079ee68888a97927d81174ec3936b67637edb80e490e857514f72,13,6,6,False,TP_k08_05/TP_k08_05_01_ET_T10_meta.txt,HM020,,HM,,HM020,TP_k08_05,1,HM,k,8,5,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,5.375
47627440,TP_k07_05.zip,11396157,7c67eac301bc496627aef4a911df7d5ec9334ae96b68b881c24e82dc5a87b251,13,6,6,False,TP_k07_05/TP_k07_05_01_ET_T10_meta.txt,HM017,,HM,,HM017,TP_k07_05,1,HM,k,7,5,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.556
47627446,TP_k06_04.zip,11457348,4c6b2df4177613268c39e01fe6ddabaf8165dbfec69975fc51c940e6cc6b2a87,13,6,6,False,TP_k06_04/TP_k06_04_01_ET_T10_meta.txt,INT052,k06,INT,30.09.2021,INT016,TP_k06_04,1,INT,k,6,4,FF,archive-serial-plus-complement-of-exactly-mapped-twin-stage,archive_internal_serial_conflicts_with_experiments_meta,1;2,mapped-metadata-only,,11.788
47627449,TP_k05_05.zip,11567664,5ed98de740c72984cca80b4b2f07ebef1545ad7794e8541c8ce7e8a75f0f06b7,13,6,6,False,TP_k05_05/TP_k05_05_01_ET_T10_meta.txt,INT050,k05,INT,30.09.2021,INT014,TP_k05_05,1,INT,k,5,5,FF,archive-serial-plus-validated-lab-date-envelope,archive_internal_serial_conflicts_with_experiments_meta;validated_lab_date_envelope_required_after_both_twin_internal_serials_conflicted,1;2,mapped-metadata-only,,8.746
47627452,TP_k05_06.zip,11548013,feb58e691cc17936d1a54b0ca089bc79fbd3e0e5fc7a0595581fe13088e8ec00,13,6,6,False,TP_k05_06/TP_k05_06_01_ET_T10_meta.txt,INT051,k05,INT,30.09.2021,INT015,TP_k05_06,1,INT,k,5,6,FF,archive-serial-plus-complement-of-exactly-mapped-twin-stage,archive_internal_serial_conflicts_with_experiments_meta,1;2,mapped-metadata-only,,2.445
47627455,TP_k09_06.zip,11428380,f3fb56fd7e22a9cddbefbdbdf3524664516358659421c2a03c02bc9e1516ab04,13,6,6,False,TP_k09_06/TP_k09_06_01_ET_T10_meta.txt,HM024,,HM,,HM024,TP_k09_06,1,HM,k,9,6,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.397
47627458,TP_k06_06.zip,11540883,7a5b7f9f742d9a2b85493ab33bc3d943f6458b60fb7996daef54402eafc5c5a4,13,6,6,False,TP_k06_06/TP_k06_06_01_ET_T10_meta.txt,INT054,k06,INT,30.09.2021,INT018,TP_k06_06,1,INT,k,6,6,FF,archive-serial-plus-complement-of-exactly-mapped-twin-stage,archive_internal_serial_conflicts_with_experiments_meta,1;2,mapped-metadata-only,,16.118
47627461,TP_k05_04.zip,11575252,1335ee2739f66879d59f14aaa6604743b41b6ea633e5991177f16939db3c012a,13,6,6,False,TP_k05_04/TP_k05_04_01_ET_T10_meta.txt,INT049,k05,INT,30.09.2021,INT013,TP_k05_04,1,INT,k,5,4,FF,archive-serial-plus-complement-of-exactly-mapped-twin-stage,archive_internal_serial_conflicts_with_experiments_meta,1;2,mapped-metadata-only,,2.4
47627464,TP_k02_02.zip,9803923,1f5bca647e688ca08e5b7f0f4fd3e91ffed41821884dc71e185f3737ec19df62,27,13,13,False,TP_k02_02/TP_k02_02_01_ET_T10_meta.txt,S005,,SIE,,S005,TP_k02_02,1,SIE,k,2,2,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,5.826
47627491,TP_k11_04.zip,10564780,9a7f879e2fdd36eb258c81c0ebc3e9b1722a3b7226bed62d5c0a55edb8b62b0e,13,6,6,False,TP_k11_04/TP_k11_04_01_ET_T10_meta.txt,HM028,,HM,,HM028,TP_k11_04,1,HM,k,11,4,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.345
47627494,TP_k10_04.zip,10682597,ccc37dafc28eb7d646f017b46c4df02cf7c5dfab758b250ac93c03e4abde1cd1,13,6,6,False,TP_k10_04/TP_k10_04_01_ET_T10_meta.txt,HM025,,HM,,HM025,TP_k10_04,1,HM,k,10,4,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.315
