source_row_id,material_key,UTS_MPa,YS_MPa,dataset_label,log_ys,log_uts,uts_ys_ratio
10,Co:0.25|Cr:0.25|Mn:0.25|Ni:0.25,694.0,282.0,borg,2.450249108319361,2.841359470454855,2.4609929078014185
1000,Fe:0.3333333333|Mn:0.3333333333|Ni:0.3333333333,554.0,322.0,borg,2.507855871695831,2.74350976472843,1.720496894409938
1001,Co:0.3333333333|Mn:0.3333333333|Ni:0.3333333333,569.0,333.0,borg,2.5224442335063197,2.7551122663950713,1.7087087087087087
1002,Co:0.3333333333|Mn:0.3333333333|Ni:0.3333333333,608.0,601.0,borg,2.7788744720027396,2.783903579272735,1.0116472545757071
1003,Co:0.3333333333|Mn:0.3333333333|Ni:0.3333333333,566.0,321.0,borg,2.506505032404872,2.7528164311882715,1.763239875389408
1004,Co:0.3333333333|Mn:0.3333333333|Ni:0.3333333333,506.0,267.0,borg,2.4265112613645754,2.7041505168397992,1.895131086142322
1005,Co:0.4444444444|Cr:0.1111111111|Ni:0.4444444444,824.0,745.0,borg,2.8721562727482928,2.9159272116971158,1.106040268456376
1006,Co:0.4444444444|Cr:0.1111111111|Ni:0.4444444444,746.0,623.0,borg,2.7944880466591697,2.8727388274726686,1.1974317817014446
1007,Co:0.4444444444|Cr:0.1111111111|Ni:0.4444444444,626.0,387.0,borg,2.5877109650189114,2.7965743332104296,1.6175710594315245
1008,Co:0.4444444444|Cr:0.1111111111|Ni:0.4444444444,553.0,330.0,borg,2.5185139398778875,2.7427251313046983,1.6757575757575758
1009,Co:0.25|Cr:0.25|Fe:0.25|Ni:0.25,732.0,631.0,borg,2.8000293592441343,2.864511081058392,1.1600633914421552
1010,Co:0.25|Cr:0.25|Fe:0.25|Ni:0.25,732.0,494.0,borg,2.693726948923647,2.864511081058392,1.4817813765182186
1011,Co:0.25|Cr:0.25|Fe:0.25|Ni:0.25,672.0,448.0,borg,2.651278013998144,2.8273692730538253,1.5
1012,Co:0.25|Cr:0.25|Fe:0.25|Ni:0.25,567.0,273.0,borg,2.436162647040756,2.7535830588929064,2.076923076923077
1013,Co:0.25|Cr:0.25|Fe:0.25|Ni:0.25,504.0,172.0,borg,2.2355284469075487,2.7024305364455254,2.9302325581395348
1014,Co:0.1111111111|Cr:0.4444444444|Ni:0.4444444444,744.0,518.0,borg,2.714329759745233,2.8715729355458786,1.4362934362934363
1015,Co:0.1111111111|Cr:0.4444444444|Ni:0.4444444444,703.0,462.0,borg,2.6646419755561257,2.846955325019824,1.5216450216450217
1016,Co:0.1111111111|Cr:0.4444444444|Ni:0.4444444444,644.0,395.0,borg,2.59659709562646,2.808885867359812,1.630379746835443
1017,Co:0.1111111111|Cr:0.4444444444|Ni:0.4444444444,588.0,356.0,borg,2.5514499979728753,2.7693773260761385,1.651685393258427
102,Al:0.1666666667|Co:0.1666666667|Cr:0.1666666667|Fe:0.1666666667|Ni:0.1666666667|Si:0.1666666667,2950.0,2411.0,borg,3.382197210377454,3.469822015978163,1.2235586893405226
103,Al:0.1923076923|Co:0.1923076923|Cr:0.1923076923|Fe:0.1923076923|Ni:0.1923076923|Si:0.03846153846,2173.0,1265.0,borg,3.1020905255118367,3.3370597263205246,1.7177865612648222
104,Al:0.1851851852|Co:0.1851851852|Cr:0.1851851852|Fe:0.1851851852|Ni:0.1851851852|Si:0.07407407407,2444.0,1481.0,borg,3.1705550585212086,3.3881012015705165,1.6502363268062121
1048,Co:0.1749174917|Cr:0.1248624862|Fe:0.5500550055|Mo:0.0500550055|Ni:0.100110011,840.0,443.0,borg,2.6464037262230695,2.9242792860618816,1.8961625282167043
1049,Co:0.1799669785|Cr:0.1249312053|Fe:0.5503577325|Mo:0.07484865162|Ni:0.06989543203,1096.0,711.0,borg,2.851869600729766,3.0398105541483504,1.541490857946554
105,Al:0.1785714286|Co:0.1785714286|Cr:0.1785714286|Fe:0.1785714286|Ni:0.1785714286|Si:0.1071428571,2195.0,1834.0,borg,3.263399331334002,3.34143452457814,1.1968375136314067
1050,Co:0.1749174917|Cr:0.1248624862|Fe:0.5500550055|Mo:0.0500550055|Ni:0.100110011,718.0,301.0,borg,2.4785664955938436,2.8561244442423,2.3853820598006643
