target,programme_cluster,source,primary_edge_class,gain_id_mean,gain_ood_mean,gain_specific_mean,gain_ood_ci_lo,gain_ood_ci_hi,gain_specific_ci_lo,gain_specific_ci_hi,base_ood_r2_mean,aug_ood_r2_mean,positive_ood_repeat_fraction,primary_minus_wrong_mean,primary_minus_shuffled_mean,positive_ood_learners,one_sided_sign_flip_p,holm_p,classification,edge_label,edge_type
te_zt,estm,te_seebeck,within-database-neighbor,-0.0008705333394836,0.001517104731643,0.0023876380711267,-0.0631429502855649,0.0107408513006578,-0.0188568029790662,0.3788795296858896,-571.4362585354859,-621.1544755434618,0.55,-0.0018634101275676,0.0039010711171073,3,0.4048,1.0,directional-ood-improvement,Seebeck → $ZT$,Within-database
alloy_ys,mpea,alloy_uts,within-database-neighbor,0.0774014836160887,0.0664752036682114,-0.0109262799478772,0.0352932137693162,0.1402343470938264,-0.0700014295600836,0.1234277039405671,-0.9471383983835152,-0.6660551279024105,0.93,0.0652479681826454,0.0657003945910056,3,0.0001,0.0008,ood-improvement-not-specific,UTS → yield strength,Within-database
catalysis_h2,ocx,catalysis_voltage,within-database-neighbor,-0.0249650648862681,-0.0096672659038956,0.0152977989823724,-0.0378018363983574,0.1189761152993375,-0.0777963841818399,0.144432816886963,-2.9810926622092224,-3.012751396800111,0.47,0.0202244198553697,-0.0076457119702011,0,0.8755,1.0,unresolved,Voltage → H$_2$ selectivity,Within-database
polymer_tensile,openpoly,polymer_young,within-database-neighbor,0.0123654826290865,-0.000569416732812,-0.0129348993618986,-0.0083102952098953,0.0317688000557902,-0.0543402003976702,0.0133320714336922,-0.3488263069393369,-0.3425292243855476,0.48,0.0046847633078807,0.0001326670378717,1,0.6447,1.0,unresolved,Young's modulus → tensile strength,Within-database
polymer_tm,openpoly,polymer_crystallization,within-database-neighbor,0.0010167581415647,-0.000818084326987,-0.0018348424685518,-0.0132585974102682,0.0114465978466036,-0.0155057915563468,0.0099866571350085,-0.7326486335497142,-0.7318889478829275,0.57,0.0101632205083598,-0.000202939596152,1,0.7979,1.0,unresolved,Crystallization $T$ → melting $T$,Within-database
electrolyte_conductivity,obelix,te_electrical,cross-database-neighbor,-0.0027689994501962,0.0097670013605859,0.0125360008107822,-0.0313794417926978,0.036950952071301,-0.0355938401060329,0.0468748125992063,-7.760126655312997,-7.683386654253062,0.64,0.0167125408080977,0.0102858470485282,3,0.0338,0.2027999999999999,directional-ood-improvement,Electronic → ionic conductivity,Cross-database
solubility,aqsoldb,hydration,cross-database-neighbor,0.0012942406722382,0.0008390077186868,-0.0004552329535514,-0.0021928290283356,0.0031156312136548,-0.0036721707820125,0.0019267305437222,-0.0943644862743128,-0.0924306291388231,0.76,-0.0006435135126916,0.0006687908115805,3,0.007,0.049,directional-ood-improvement,Hydration → solubility,Cross-database
hydration,freesolv,solubility,cross-database-neighbor,0.0367305536328863,-0.0035013589121708,-0.0402319125450572,-0.0180099917161115,0.0097158416521824,-0.058293641938468,-0.0216452614077229,-0.1192869735986236,-0.1281822778934914,0.29,-0.0032542387782869,-0.0012206957640571,1,1.0,1.0,unresolved,Solubility → hydration,Cross-database
