target,entity_index,material_key,group,entity_distance,scope,group_distance,group_n
solubility,5513,COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,c1cc2c3c(c1)OC1CCCC4C(C2)NCCC314,0.33333333333333337,q2,0.3384615384615385,3
solubility,5515,COc1ccc2c3c1OC1C(OC(C)=O)CCC4C(C2)N(C)CCC341,c1cc2c3c(c1)OC1CCCC4C(C2)NCCC314,0.3384615384615385,q2,0.3384615384615385,3
solubility,5522,COc1ccc2cc(C(C)C(=O)OC3CCCCC3=O)ccc2c1,O=C(Cc1ccc2ccccc2c1)OC1CCCCC1=O,0.42553191489361697,q2,0.42553191489361697,1
solubility,5523,COc1ccc2cc(C(C)C(=O)OC3CCCCC3O)ccc2c1,O=C(Cc1ccc2ccccc2c1)OC1CCCCC1,0.33333333333333337,q2,0.33333333333333337,1
solubility,5534,COc1ccc2cc(C(C)C(=O)OCCCCN3CCOCC3)ccc2c1,O=C(Cc1ccc2ccccc2c1)OCCCCN1CCOCC1,0.196078431372549,q1,0.196078431372549,1
solubility,5557,COc1cccc(N(C)C(=S)Oc2cccc(C(C)(C)C)c2)n1,S=C(Nc1ccccn1)Oc1ccccc1,0.6956521739130435,q4,0.6956521739130435,1
solubility,5574,COc1ccccc1NC(=O)C1=Cc2ccccc2/C(=N/Nc2ccc(C(N)=O)cc2)C1=O,O=C(Nc1ccccc1)C1=Cc2ccccc2C(=NNc2ccccc2)C1=O,0.3194444444444444,q2,0.31997863247863245,10
solubility,5575,COc1ccccc1NC(=O)C1=Cc2ccccc2/C(=N\Nc2cc(Cl)ccc2Cl)C1=O,O=C(Nc1ccccc1)C1=Cc2ccccc2C(=NNc2ccccc2)C1=O,0.20895522388059706,q2,0.31997863247863245,10
solubility,5577,COc1ccccc1NC(=O)c1cc2ccccc2cc1[O-].[Na+],O=C(Nc1ccccc1)c1ccc2ccccc2c1,0.5333333333333333,q3,0.5,12
solubility,5593,COc1nc(NC(C)C)nc(NC(C)C)n1,c1ncncn1,0.6,q4,0.6341463414634146,45
solubility,5594,COc1nc(Nc2ccccc2)nc(Nc2ccc(/C=C/c3ccc(Nc4nc(Nc5ccccc5)nc(OC)n4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)n1.[Na+].[Na+],C(=Cc1ccc(Nc2ncnc(Nc3ccccc3)n2)cc1)c1ccc(Nc2ncnc(Nc3ccccc3)n2)cc1,0.1777777777777778,q2,0.367756064690027,12
solubility,5601,CP(=O)(F)OC1CCCCC1,C1CCCCC1,0.6,q4,0.6046511627906976,117
solubility,5602,CP(=O)(O)CCC(N)C(=O)[O-].[NH4+],acyclic:CP(=O)(O)CCC(N)C(=O)[O-].[NH4+],0.5,q3,0.5,1
solubility,5608,CS(=O)(=O)NS(=O)(=O)C1CCCCC1,C1CCCCC1,0.5416666666666667,q4,0.6046511627906976,117
solubility,5610,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,c1ccc(Oc2ccccc2)cc1,0.574468085106383,q3,0.5172413793103448,139
solubility,5611,CS(=O)(=O)Nc1nnc(S(N)(=O)=O)s1,c1nncs1,0.41666666666666663,q4,0.5711279461279462,10
solubility,5620,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,O=C1OCC(c2ccccc2)=C1c1ccccc1,0.6,q4,0.6,1
