phase,formulation_key,first_ctime,first_request_uuid,EC_wt,EMC_wt,LiPF6_wt,temperature_C,conductivity,measurement_events,instrument_replicates,minimum_rating,candidate_index,split,calisol_rank_score,target_extra_trees,target_hist_gradient_boosting,target_linear,temperature_only_score,salt_fraction_only_score
singletask_2023_09,0.41973808|0.44450601|0.13575591,2023-09-26T11:47:44,1b2b3cdf-6a4f-48e5-bcfa-e88e826db0b1,0.41973808076835994,0.44450601174942506,0.135755907482215,27.450000000000045,1.0286617615223945,1,3,4.0,0,anchor,10.272192644089339,1.028661761522403,0.9210270865649983,1.028661761522395,27.450000000000045,0.135755907482215
singletask_2023_09,0.45152491|0.50174334|0.04673175,2023-09-26T21:14:38,46e9ff98-2f8f-47e5-8bd4-6562a4198c21,0.4515249092438009,0.5017433394179297,0.04673175133826938,27.650000000000034,0.7036526181426022,2,6,4.0,1,anchor,8.640060606964868,0.7036526181425994,0.9210270865649983,0.7036526181426028,27.650000000000034,0.04673175133826938
singletask_2023_09,0.44072309|0.43764013|0.12163677,2023-09-28T12:15:50,ec0128b0-30ee-4373-8b97-2baba5a1bf4a,0.4407230941704036,0.43764013452914796,0.12163677130044845,27.200000000000045,1.0307668800299983,17,51,4.0,2,anchor,10.415887853957306,1.0307668800300005,0.9210270865649983,1.030766880029998,27.200000000000045,0.12163677130044845
singletask_2023_09,0.4291662|0.43486131|0.13597249,2023-09-28T16:26:49,67a79b97-70b4-41e3-be3f-660f9e025322,0.4291662025175449,0.4348613122423972,0.13597248524005795,27.55000000000001,1.029262090907697,1,3,4.0,3,evaluation,10.267150185330674,1.0216362256920837,0.9210270865649983,1.011665405638083,27.55000000000001,0.13597248524005795
singletask_2023_09,0.43412244|0.43108565|0.13479191,2023-10-04T13:15:54,c32a55d5-d45e-47cd-820b-8b902bd8bef4,0.43412243771136727,0.43108565118365655,0.13479191110497618,27.850000000000023,1.0345330483388788,2,6,4.0,4,evaluation,10.266128183626595,1.0133165053116795,0.9210270865649983,0.9526259589768831,27.850000000000023,0.13479191110497618
singletask_2023_09,0.40966952|0.41366457|0.17666591,2023-10-04T15:48:54,950fba53-16b3-47c7-85c5-7fccb4a7ffc6,0.4096695219320436,0.41366456737786617,0.17666591069009033,27.225000000000023,0.9068535794686423,2,6,4.0,5,evaluation,9.579945434578619,1.0297311617242624,0.9210270865649983,1.2030962680816435,27.225000000000023,0.17666591069009033
singletask_2023_09,0.39721278|0.43894073|0.16384649,2023-10-16T13:07:32,22a4fc44-d03e-4249-8924-6a126466c305,0.39721277588851106,0.438940729322335,0.1638464947891539,26.900000000000034,0.9155048254288943,1,3,4.0,6,evaluation,9.816795302235892,1.0296680081690344,0.9210270865649983,1.2203810460973346,26.900000000000034,0.1638464947891539
singletask_2023_09,0.44773325|0.44626176|0.10600499,2023-10-16T18:09:12,137924d0-c32b-4aea-a5c3-61720cb304d7,0.44773324985594165,0.44626176143942664,0.10600498870463161,26.900000000000034,1.0285437467585914,2,6,4.0,7,evaluation,10.346447180862539,0.9720942562904323,0.9210270865649983,1.0359607838058684,26.900000000000034,0.10600498870463161
singletask_2023_09,0.44284191|0.45021423|0.10694386,2023-10-17T18:52:42,51f4c7dd-73e1-435b-b8f1-1ba4b32cb68e,0.4428419125781989,0.45021422967835373,0.10694385774344739,27.150000000000034,1.012843243949888,2,6,4.0,8,evaluation,10.352374192126762,0.9786239108171347,0.9210270865649983,0.9922391318866897,27.150000000000034,0.10694385774344739
singletask_2023_09,0.44752757|0.44439701|0.10807542,2023-10-19T15:14:50,05a00c75-f649-46fa-9c87-b8c2098ea0c5,0.4475275702596941,0.4443970117395944,0.1080754180007115,27.100000000000023,1.0179251570613719,1,3,4.0,9,evaluation,10.346447180862539,0.97862812105415,0.9210270865649983,1.0056217651254116,27.100000000000023,0.1080754180007115
