scope,seed,policy,auc20,first_hit,recall20,recall40,regret20
external_candidate,37,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,37,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,38,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,38,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,39,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,39,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,40,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,40,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,41,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,41,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,42,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,42,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,43,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,43,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,44,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,44,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,45,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,45,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,46,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,46,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,47,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,47,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,48,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,48,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,49,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,49,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,50,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,50,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,51,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,51,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,52,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,52,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,53,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,53,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,54,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,54,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,55,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,55,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,56,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,56,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,57,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,57,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,58,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,58,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,59,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,59,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,60,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,60,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,61,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,61,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,62,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,62,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,63,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,63,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,64,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,64,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,65,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,65,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,66,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,66,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,67,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,67,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,68,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,68,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,69,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,69,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,70,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,70,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,71,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,71,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,72,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,72,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,73,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,73,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,74,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,74,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,75,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,75,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,76,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,76,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,77,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,77,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,78,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,78,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,79,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,79,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,80,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,80,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,81,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,81,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,82,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,82,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,83,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,83,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,84,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,84,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,85,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,85,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,86,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,86,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,87,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,87,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,88,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,88,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,89,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,89,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,90,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,90,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,91,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,91,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,92,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,92,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,93,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,93,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,94,neighbor_round_robin,53.0,1,0.625,0.625,0.0
