budget,repeat,method,scope,evaluation_rows,rmse,mae,r2,spearman,selected_alpha,selected_correction_weight,mean_absolute_correction,active_training_rows,inner_hurdle_fallback_folds,training_scaffolds,insufficient_scaffold_abstention,target_only_rmse,relative_rmse_gain
30,9,state_blind_pretrained_residual,dynamic_hard_ood_40pct,214,0.6552637331447871,0.34944259278328516,0.029466487771545924,0.3138174485129879,100.0,0.5,0.09884305059326004,13,0,20,False,0.6411328830250432,-0.02204043887605738
30,9,target_only_direct_regression,dynamic_hard_ood_40pct,214,0.6504610077853712,0.31339970644559584,0.043641311218608925,0.2900960759528118,,,,13,0,20,False,0.6411328830250432,-0.014549440540805323
30,9,scalar_optical_residual,full_scaffold_separated_evaluation,533,0.6048359004397957,0.3253850564102789,0.031781613615364024,0.27824251359562296,1.0,0.1,0.0259540358530282,13,0,20,False,0.6092784470289316,0.007291488170637593
30,9,shuffled_source_pretrained_residual,full_scaffold_separated_evaluation,533,0.6092784470289316,0.3136973964027887,0.01750616432477914,0.30617241354331354,0.1,0.0,0.0,13,0,20,False,0.6092784470289316,0.0
30,9,state_aligned_pretrained_residual,full_scaffold_separated_evaluation,533,0.6092784470289316,0.3136973964027887,0.01750616432477914,0.30617241354331354,0.1,0.0,0.0,13,0,20,False,0.6092784470289316,0.0
30,9,state_blind_pretrained_residual,full_scaffold_separated_evaluation,533,0.6337330076905051,0.35109523571024387,-0.06294516030111841,0.34514175707063816,100.0,0.5,0.09884305059326004,13,0,20,False,0.6092784470289316,-0.04013692061621909
30,9,target_only_direct_regression,full_scaffold_separated_evaluation,533,0.6146824227554746,0.32159317370922086,4.786341539775307e-07,0.2766596826410193,,,,13,0,20,False,0.6092784470289316,-0.008869468061597678
30,10,scalar_optical_residual,dynamic_hard_ood_40pct,209,0.6942410293826853,0.3391793127610475,-0.043134345725310164,0.08021033212499154,0.1,0.0,0.0,8,1,12,False,0.6942410293826853,0.0
30,10,shuffled_source_pretrained_residual,dynamic_hard_ood_40pct,209,0.7273546578101476,0.38214445844813355,-0.1450175417207764,0.11389745410463768,0.1,1.0,0.18026616605013207,8,1,12,False,0.6942410293826853,-0.04769759640525248
30,10,state_aligned_pretrained_residual,dynamic_hard_ood_40pct,209,0.6942410293826853,0.3391793127610475,-0.043134345725310164,0.08021033212499154,0.1,0.0,0.0,8,1,12,False,0.6942410293826853,0.0
30,10,state_blind_pretrained_residual,dynamic_hard_ood_40pct,209,0.6942410293826853,0.3391793127610475,-0.043134345725310164,0.08021033212499154,0.1,0.0,0.0,8,1,12,False,0.6942410293826853,0.0
30,10,target_only_direct_regression,dynamic_hard_ood_40pct,209,0.706522404475714,0.31225645664040397,-0.08036764176253186,0.18688362246852733,,,,8,1,12,False,0.6942410293826853,-0.017690361953901307
