repeat,requested_budget,budget,learner,scope,source,baseline_rmse,rmse,relative_rmse_reduction,r2,mae,spearman,n
91,15,15,extra-trees-primary,all,alloy_control,3.3620607670040834,3.2698145595821746,0.027437400396575513,0.0897145243367512,2.609449014198684,0.5176225022732939,110
92,15,15,extra-trees-primary,all,alloy_control,4.2041968442762965,4.273032892973288,-0.016373174531707915,-0.5545469340821709,3.505719322022065,-0.03535610923504902,110
93,15,15,extra-trees-primary,all,alloy_control,3.5842965302008585,3.6666345243821192,-0.022971870069200626,-0.1446339247314925,2.9573543036417975,0.3376541414496532,110
94,15,15,extra-trees-primary,all,alloy_control,3.760820630053928,3.5819109793676076,0.04757197119601923,-0.09234781192272767,2.9008641675648423,0.300673977649329,110
95,15,15,extra-trees-primary,all,alloy_control,4.991267865491288,4.898390503752891,0.018607969806736718,-1.0428579811018035,4.289096079994596,0.10970478413894058,110
96,15,15,extra-trees-primary,all,alloy_control,3.862247742610464,3.856375253373664,0.0015204848648136923,-0.2661639414890047,3.3454997085375995,0.1528557996795947,110
97,15,15,extra-trees-primary,all,alloy_control,3.6683794656728903,3.5507254350243276,0.03207248098227523,-0.07340978270720311,2.612119318704774,0.3162190600204698,110
98,15,15,extra-trees-primary,all,alloy_control,5.5349383212172585,5.295901125976749,0.04318696638844207,-1.387872330721089,4.799528231300298,0.1559956794495956,110
99,15,15,extra-trees-primary,all,alloy_control,3.362034790330242,3.4264972603118755,-0.01917364750865694,0.00038642688274626025,2.832375093006178,0.3905573888119538,110
0,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,5.284197930911279,5.04638492803104,0.045004560008831365,-0.5406613955201487,3.8220591346089225,-0.3172273660200505,44
1,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.670483149080191,4.545141462320114,0.026836985116788583,-0.24980213097410564,3.2659190179988555,-0.07308290682333672,44
2,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.668296088360513,4.600062549012255,0.014616369239814447,-0.2801885114467235,4.15640713779542,0.4439507260452204,44
3,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.56130986148129,4.463495042380735,0.02144445829619423,-0.20530390865476766,3.833394335525085,0.14390624551300507,44
4,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.238005208093061,4.1838773503336215,0.012772013034829464,-0.05902043648962363,2.966545332742129,0.166354833564728,44
5,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.123534242147267,4.03055944730292,0.022547356074805257,0.01717292156872119,3.0048208670585836,0.34375111408041337,44
6,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.774885478412917,4.679384644589791,0.02000065430990573,-0.3247195409142265,3.6341925614666635,-0.0067827746168179735,44
7,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.085724811419752,4.2879420502443155,-0.049493602275747776,-0.11235718988758148,3.3694176272876075,-0.02366905725660438,44
8,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.128311442273593,4.512718329759024,-0.09311479835293773,-0.23203460261720332,3.6504817988737868,0.19950566215517598,44
9,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,3.9821533558143125,3.9882067879079144,-0.0015201403744944434,0.03771927195554081,3.0469488511542266,0.2602705854886064,44
10,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.152241137444785,4.041777246536928,0.02660343830027042,0.01169452606229282,3.404129995783639,0.2680514348925467,44
11,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.522948985359638,4.4418159472554715,0.017938083840164112,-0.19362407405020887,3.2161256975276284,-0.17416785307358262,44
12,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,3.6524015420478664,3.6613483101667526,-0.002449557644713348,0.18898564099278825,2.600088099535649,0.4282736941454755,44
13,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.227245109988187,4.272087208766573,-0.010607877615715269,-0.10414642522093209,3.2809736388329327,0.09927574788348231,44
14,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.594166623557722,4.54193783408103,0.011368501353189153,-0.2480409139185884,3.8198474849765445,-0.06302105427626559,44
15,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,3.569048869735252,3.576840228717721,-0.002183035107347001,0.22599184894816504,2.7959989716694853,0.3130210549002182,44
16,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.2882346819231385,4.384062262292631,-0.022346626870364553,-0.16278622479144578,2.9385881732435575,0.12278780607470083,44
