adsorbate_name,n_systems,rmse,r2_within_heldout_family,mean_error
Argon,15,3.5772762809565033,0.4688139918786458,-1.2783206310006567
Carbon Dioxide,377,2.310080637057329,0.6085740394515712,-0.3717960307692215
Carbon monoxide,26,2.0156902802121017,0.809276288678402,-0.13227597582367429
Ethane,30,2.6544037025762304,0.35388608954725753,1.0857963010582694
Ethene,30,2.387800915359322,0.292500017743319,0.6756453262409929
Hydrogen,54,2.6759663073374513,0.27870528591156707,-1.4212632184268283
Isobutane,9,2.0612028593381906,0.3337476898993448,1.8474507395826731
Krypton,11,5.179412923924124,0.2800719196401552,-1.9548696167781443
Methane,190,1.911850192715039,0.32971605369402013,-0.728863252562358
N-propane,34,2.1729840388712325,0.6112937714670303,1.4788637115093597
Nitrogen,124,2.101626816545688,0.5753641164505863,0.6312668608005187
Oxygen,20,3.2195355996108637,-0.07237039181033622,1.2196870273632066
Propene,22,2.2773376024879375,0.3612133075144828,1.7025143502043372
Sulfur Hexafluoride,15,1.557871676149326,0.7154563345906912,0.16471263022629218
Water,20,2.255081284922784,0.625616169874788,1.77470497184239
Xenon,16,1.1535428732785933,0.8357625718364776,-0.12196977137969475
