target,source,programme_cluster,primary_edge_class,relation,neighborhood,is_designated_primary,is_wrong_control,is_shuffled_control,repeats,gain_all_mean,gain_id_mean,gain_id_ci_lo,gain_id_ci_hi,gain_ood_mean,gain_ood_ci_lo,gain_ood_ci_hi,gain_specific_mean,gain_specific_ci_lo,gain_specific_ci_hi,base_ood_r2_mean,aug_ood_r2_mean,positive_ood_repeat_fraction,positive_ood_learners,learners_evaluated,one_sided_sign_flip_p,holm_p,primary_minus_wrong_mean,primary_minus_wrong_ci_lo,primary_minus_wrong_ci_hi,primary_minus_shuffled_mean,primary_minus_shuffled_ci_lo,primary_minus_shuffled_ci_hi,post_exclusion_overlap,interval_method,classification
polymer_tensile,polymer_tg,openpoly,real-inherited-edge,same-domain,1,False,False,False,3,0.001852477772539324,-0.0028695781394095982,-0.005411345989476127,-0.00015485060503890783,0.0091692762681968,-0.014825649835772082,0.027267563787079296,0.0120388544076064,-0.01178311201205832,0.044009012357937326,-0.12883967541065322,-0.10290919796656932,0.6666666666666666,3,3,,,,,,,,,0,repeat-bootstrap-exploratory,directional-ood-improvement
polymer_tensile,photo_e_pipi,openpoly,real-inherited-edge,distant-control,0,False,True,False,3,-0.008908287934159686,-0.006731156113009104,-0.015420541920859043,-0.0007768448995899829,-0.01220283084275725,-0.019511962416812093,0.0005511659611514724,-0.005471674729748147,-0.013651614554032845,0.0013280108607414555,-0.12883967541065322,-0.15393915197845973,0.3333333333333333,1,3,,,,,,,,,0,repeat-bootstrap-exploratory,unresolved
polymer_tensile,shuffled::polymer_young,openpoly,shuffled-control,shuffled-control,-1,False,False,True,3,0.0007935195988674782,0.0010018593484591417,-0.00015990566059847,0.0020734405866020076,0.0019799457511429806,0.00030765157078888354,0.00422925504329957,0.000978086402683839,-0.000890138749813972,0.002579881149308308,-0.12883967541065322,-0.12394970327151407,0.6666666666666666,1,3,,,,,,,,,0,repeat-bootstrap-exploratory,ood-improvement-not-specific
polymer_tm,polymer_crystallization,openpoly,within-database-neighbor,physical-neighbor,3,True,False,False,3,0.0013737732483796283,-0.0027171949675093786,-0.011472167678435752,0.003260266647079669,0.0003754452084701612,-0.014482113165822532,0.007662149099037749,0.0030926401759795393,-0.011128976190120411,0.016044522767621666,-0.9265149351014816,-0.9217514706652654,0.3333333333333333,2,3,0.5,1.0,0.008961547940148291,0.0030699031954032874,0.013874537997315218,0.004178973628461604,0.0010337733373498724,0.008892662185449832,0,hierarchical-repeat-and-group-bootstrap,directional-ood-improvement
polymer_tm,polymer_tg,openpoly,real-inherited-edge,physical-neighbor,3,False,False,False,3,-0.015050026623151802,-0.006972254809576187,-0.015815289215925423,-0.00024310259448142508,-0.031957460375388484,-0.038767538190145646,-0.02514738256063131,-0.024985205565812293,-0.029076231734586105,-0.020510669070011634,-0.9265149351014816,-1.04315746043254,0.0,0,3,,,,,,,,,0,repeat-bootstrap-exploratory,harmful
polymer_tm,polymer_td,openpoly,real-inherited-edge,same-domain,2,False,False,False,3,-0.00024673158399183116,-0.00023446946904246528,-0.0013253845955136323,0.0009818478450793766,-0.003028316695420074,-0.005471171353377957,-0.0007396415673129217,-0.0027938472263776093,-0.006007847425589561,-0.0002971344988126036,-0.9265149351014816,-0.9364121092120407,0.0,1,3,,,,,,,,,0,repeat-bootstrap-exploratory,harmful
polymer_tm,polymer_tensile,openpoly,real-inherited-edge,same-domain,1,False,False,False,3,0.0005370126712767503,0.011696986074555743,0.0029078508311256523,0.017885638910420516,-0.013073996802459907,-0.02235338875560212,-0.001918098754264361,-0.02477098287701565,-0.039936795106220564,-0.01098424543184206,-0.9265149351014816,-0.9679621397940098,0.0,1,3,,,,,,,,,0,repeat-bootstrap-exploratory,harmful
polymer_tm,photo_e_pipi,openpoly,real-inherited-edge,distant-control,0,False,True,False,3,-0.001198349217848253,0.010133783290295543,0.004146238708559547,0.021410589403831087,-0.008586102731678131,-0.012673918029127623,-0.006504885436375375,-0.018719886021973674,-0.03408450743295871,-0.010576504851778907,-0.9265149351014816,-0.9626408985183602,0.0,1,3,,,,,,,,,0,repeat-bootstrap-exploratory,harmful
polymer_tm,shuffled::polymer_crystallization,openpoly,shuffled-control,shuffled-control,-1,False,False,True,3,-0.005239526267499132,-0.0017105180679673735,-0.01478961361543516,0.00995713897673524,-0.0038035284199914427,-0.0074349380481196145,-0.0012700060870764968,-0.0020930103520240685,-0.013995869779379314,0.007354675567315543,-0.9265149351014816,-0.9407962515150731,0.3333333333333333,1,3,,,,,,,,,0,repeat-bootstrap-exploratory,harmful
solubility,hydration,aqsoldb,cross-database-neighbor,cross-dataset-thermodynamic,3,True,False,False,3,0.0004527526756224765,0.002840954429987347,0.0008351677485141761,0.006238069414991249,0.0011792901892955143,-0.007436712976452303,0.005504633720543703,-0.0016616642406918323,-0.012285011243763291,0.00240813920734723,-0.23405992882631918,-0.23156957788277321,0.6666666666666666,3,3,0.375,1.0,0.004678824189584588,0.0008704455918913313,0.009605794179100745,0.0003912795862825961,-0.008037597540875265,0.007271548676070931,0,hierarchical-repeat-and-group-bootstrap,directional-ood-improvement
solubility,pka_acid,aqsoldb,real-inherited-edge,cross-dataset-ionization,2,False,False,False,3,-0.0010205280118753331,-0.003117867495928709,-0.008137275461632622,-0.00021428615879108534,-0.002126530275731345,-0.003608903896953042,-0.0005143002778232016,0.000991337220197364,-0.0003000141190321162,0.002149960033256179,-0.23405992882631918,-0.24008043052092976,0.0,0,3,,,,,,,,,0,repeat-bootstrap-exploratory,harmful
solubility,pka_base,aqsoldb,real-inherited-edge,cross-dataset-ionization,2,False,False,False,3,0.002123440678810853,0.00031093476892418226,-0.0018039322207320785,0.0032926634137871807,0.0024908474347586657,0.0007452258106579759,0.0052402503937833125,0.0021799126658344835,0.001301152696940531,0.003290998320566787,-0.23405992882631918,-0.22716256792572687,1.0,3,3,,,,,,,,,0,repeat-bootstrap-exploratory,ood-improvement-not-specific
solubility,photo_e_pipi,aqsoldb,real-inherited-edge,distant-control,0,False,True,False,3,-0.0028417672432451296,-0.0012013399594016161,-0.0023844868182767796,-0.00017129607082279897,-0.003499534000289074,-0.008064861170230352,0.0024913245929749066,-0.002298194040887458,-0.009055207884702723,0.0017856797455152354,-0.23405992882631918,-0.24503137314065362,0.3333333333333333,2,3,,,,,,,,,0,repeat-bootstrap-exploratory,unresolved
solubility,polymer_tg,aqsoldb,real-inherited-edge,distant-control,0,False,False,False,3,-0.0012536421739116376,-0.0009875180728275395,-0.001693790744797642,-0.00012762737071255395,-0.00112142503251845,-0.004030330443085735,0.00040247963613435116,-0.00013390695969091041,-0.0010388712563989102,0.0008915325021021814,-0.23405992882631918,-0.23759499386196967,0.6666666666666666,1,3,,,,,,,,,0,repeat-bootstrap-exploratory,unresolved
solubility,shuffled::hydration,aqsoldb,shuffled-control,shuffled-control,-1,False,False,True,3,0.0005625236634212043,-0.0029334251147825354,-0.00664056866046336,0.0013997706693542483,0.0007880106030129184,-0.0032231971317527174,0.006663005927885548,0.0037214357177954537,-0.0024755476564483235,0.013303574588348905,-0.23405992882631918,-0.23079513564463625,0.3333333333333333,1,3,,,,,,,,,0,repeat-bootstrap-exploratory,directional-ood-improvement
te_zt,te_seebeck,estm,within-database-neighbor,physical-neighbor,2,True,False,False,3,0.012452724352493755,0.012587817303920237,-0.08059619486108252,0.11919975450586529,0.0037902320694532137,-0.005255067272165137,0.026627614082590557,-0.008797585234467026,-0.12341280888125308,0.0987559491521475,-1.7463379836588906,-1.7292635466277284,0.3333333333333333,2,3,0.5,1.0,-0.011419841727880908,-0.02103590063637074,0.0029915350890586923,0.01218947100326065,0.006907435328940062,0.02117783408249653,0,hierarchical-repeat-and-group-bootstrap,directional-ood-improvement
te_zt,te_power_factor,estm,real-inherited-edge,constitutive-calibration,3,False,False,False,3,0.0030717088276289626,0.006603098726954693,-0.01508852920374902,0.046479946960067825,0.06868682957885318,0.0368857484476924,0.11161437705407502,0.06208373085189849,0.012506196255442694,0.11994054868897079,-1.7463379836588906,-1.4836603686360617,1.0,2,3,,,,,,,,,0,repeat-bootstrap-exploratory,ood-improvement-not-specific
te_zt,te_thermal,estm,real-inherited-edge,constitutive-calibration,3,False,False,False,3,0.005374642877457889,0.0058645771539642365,-0.020067569056879096,0.02352496095163574,0.0049011131879568145,0.002170485367753289,0.0076726315465566455,-0.0009634639660074211,-0.025555746496325343,0.01974044123438282,-1.7463379836588906,-1.7184079883869003,0.6666666666666666,1,3,,,,,,,,,0,repeat-bootstrap-exploratory,ood-improvement-not-specific
te_zt,alloy_ys,estm,real-inherited-edge,distant-control,0,False,True,False,3,-0.000537512111038648,0.00037956966069388416,-0.013109553599740732,0.008949115068584607,0.015210073797334125,-0.0011249833761560804,0.04338333721769407,0.01483050413664024,-0.01796020495846886,0.056492890817434804,-1.7463379836588906,-1.6539111100959785,0.6666666666666666,3,3,,,,,,,,,0,repeat-bootstrap-exploratory,directional-ood-improvement
te_zt,catalysis_h2,estm,real-inherited-edge,distant-control,0,False,False,False,3,-0.011433259706808132,-0.005218587973501998,-0.030471336255192234,0.011430090915073242,-0.0031304106644901293,-0.004091310444575961,-0.001381300511145674,0.0020881773090118696,-0.0156817558088459,0.02671306966664018,-1.7463379836588906,-1.7643660297853465,0.0,0,3,,,,,,,,,0,repeat-bootstrap-exploratory,harmful
te_zt,shuffled::te_seebeck,estm,shuffled-control,shuffled-control,-1,False,False,True,3,0.06801773958970835,0.06735113690457278,-0.006677184700263513,0.12200971269766563,-0.008399238933807437,-0.012353182400411155,-0.0033067998583532474,-0.07575037583838022,-0.12531651255601886,-0.035115349056766096,-1.7463379836588906,-1.7965839851148349,0.0,0,3,,,,,,,,,0,repeat-bootstrap-exploratory,harmful
