target,learner,repeat,source,eligible,sentinel,transferability_score,selected,stack_alpha,stack_blend,baseline_objective,selected_objective
polymer_tensile,ridge_alpha_10,0,polymer_young,True,False,0.0,False,100.0,0.0,1.475016224931864,1.475016224931864
polymer_tensile,ridge_alpha_10,0,polymer_hardness,True,False,0.0,False,100.0,0.0,1.475016224931864,1.475016224931864
polymer_tensile,ridge_alpha_10,0,polymer_elongation,True,False,0.0,False,100.0,0.0,1.475016224931864,1.475016224931864
polymer_tensile,ridge_alpha_10,0,polymer_tg,True,False,0.0,False,100.0,0.0,1.475016224931864,1.475016224931864
polymer_tensile,ridge_alpha_10,0,photo_e_pipi,False,True,0.0,False,100.0,0.0,1.475016224931864,1.475016224931864
polymer_tensile,random_forest,0,polymer_young,True,False,0.0,False,100.0,0.0,1.233786307143401,1.233786307143401
polymer_tensile,random_forest,0,polymer_hardness,True,False,0.0,False,100.0,0.0,1.233786307143401,1.233786307143401
polymer_tensile,random_forest,0,polymer_elongation,True,False,0.0,False,100.0,0.0,1.233786307143401,1.233786307143401
polymer_tensile,random_forest,0,polymer_tg,True,False,0.0,False,100.0,0.0,1.233786307143401,1.233786307143401
polymer_tensile,random_forest,0,photo_e_pipi,False,True,0.0,False,100.0,0.0,1.233786307143401,1.233786307143401
polymer_tensile,extra_trees,0,polymer_young,True,False,0.0,False,100.0,0.0,1.3320018667906672,1.3320018667906672
polymer_tensile,extra_trees,0,polymer_hardness,True,False,0.0,False,100.0,0.0,1.3320018667906672,1.3320018667906672
polymer_tensile,extra_trees,0,polymer_elongation,True,False,0.0,False,100.0,0.0,1.3320018667906672,1.3320018667906672
polymer_tensile,extra_trees,0,polymer_tg,True,False,0.0,False,100.0,0.0,1.3320018667906672,1.3320018667906672
polymer_tensile,extra_trees,0,photo_e_pipi,False,True,0.0,False,100.0,0.0,1.3320018667906672,1.3320018667906672
polymer_tensile,ridge_alpha_10,1,polymer_young,True,False,0.0,False,100.0,0.0,0.1692598011986528,0.1692598011986528
polymer_tensile,ridge_alpha_10,1,polymer_hardness,True,False,0.0,False,100.0,0.0,0.1692598011986528,0.1692598011986528
polymer_tensile,ridge_alpha_10,1,polymer_elongation,True,False,0.0,False,100.0,0.0,0.1692598011986528,0.1692598011986528
polymer_tensile,ridge_alpha_10,1,polymer_tg,True,False,0.0,False,100.0,0.0,0.1692598011986528,0.1692598011986528
polymer_tensile,ridge_alpha_10,1,photo_e_pipi,False,True,0.0,False,100.0,0.0,0.1692598011986528,0.1692598011986528
polymer_tensile,random_forest,1,polymer_young,True,False,0.0,False,100.0,0.0,0.1359298038190724,0.1359298038190724
polymer_tensile,random_forest,1,polymer_hardness,True,False,0.0,False,100.0,0.0,0.1359298038190724,0.1359298038190724
polymer_tensile,random_forest,1,polymer_elongation,True,False,0.0,False,100.0,0.0,0.1359298038190724,0.1359298038190724
polymer_tensile,random_forest,1,polymer_tg,True,False,0.0,False,100.0,0.0,0.1359298038190724,0.1359298038190724
polymer_tensile,random_forest,1,photo_e_pipi,False,True,0.029321834457670906,False,100.0,0.0,0.1359298038190724,0.1359298038190724
polymer_tensile,extra_trees,1,polymer_young,True,False,0.0,False,10.0,0.25,0.1933147904572739,0.1858862755654947
polymer_tensile,extra_trees,1,polymer_hardness,True,False,0.016537927703217842,True,10.0,0.25,0.1933147904572739,0.1858862755654947
polymer_tensile,extra_trees,1,polymer_elongation,True,False,0.0,False,10.0,0.25,0.1933147904572739,0.1858862755654947
polymer_tensile,extra_trees,1,polymer_tg,True,False,0.008688606721691772,True,10.0,0.25,0.1933147904572739,0.1858862755654947
polymer_tensile,extra_trees,1,photo_e_pipi,False,True,0.17162247144319093,False,10.0,0.25,0.1933147904572739,0.1858862755654947
polymer_tensile,ridge_alpha_10,2,polymer_young,True,False,0.0,False,100.0,0.0,1.0776732174753276,1.0776732174753276
polymer_tensile,ridge_alpha_10,2,polymer_hardness,True,False,0.0,False,100.0,0.0,1.0776732174753276,1.0776732174753276
polymer_tensile,ridge_alpha_10,2,polymer_elongation,True,False,0.0,False,100.0,0.0,1.0776732174753276,1.0776732174753276
polymer_tensile,ridge_alpha_10,2,polymer_tg,True,False,0.0,False,100.0,0.0,1.0776732174753276,1.0776732174753276
polymer_tensile,ridge_alpha_10,2,photo_e_pipi,False,True,0.0,False,100.0,0.0,1.0776732174753276,1.0776732174753276
polymer_tensile,random_forest,2,polymer_young,True,False,0.0,False,100.0,0.0,1.1735217456488785,1.1735217456488785
polymer_tensile,random_forest,2,polymer_hardness,True,False,0.0,False,100.0,0.0,1.1735217456488785,1.1735217456488785
polymer_tensile,random_forest,2,polymer_elongation,True,False,0.0,False,100.0,0.0,1.1735217456488785,1.1735217456488785
polymer_tensile,random_forest,2,polymer_tg,True,False,0.0,False,100.0,0.0,1.1735217456488785,1.1735217456488785
polymer_tensile,random_forest,2,photo_e_pipi,False,True,0.0,False,100.0,0.0,1.1735217456488785,1.1735217456488785
polymer_tensile,extra_trees,2,polymer_young,True,False,0.0,False,100.0,0.0,1.7153062405272341,1.7153062405272341
polymer_tensile,extra_trees,2,polymer_hardness,True,False,0.0,False,100.0,0.0,1.7153062405272341,1.7153062405272341
polymer_tensile,extra_trees,2,polymer_elongation,True,False,0.0,False,100.0,0.0,1.7153062405272341,1.7153062405272341
polymer_tensile,extra_trees,2,polymer_tg,True,False,0.0,False,100.0,0.0,1.7153062405272341,1.7153062405272341
polymer_tensile,extra_trees,2,photo_e_pipi,False,True,0.0,False,100.0,0.0,1.7153062405272341,1.7153062405272341
alloy_ys,ridge_alpha_10,0,alloy_uts,True,False,0.0,False,100.0,0.0,437.8608586794052,437.8608586794052
alloy_ys,ridge_alpha_10,0,alloy_hardness,True,False,0.0,False,100.0,0.0,437.8608586794052,437.8608586794052
alloy_ys,ridge_alpha_10,0,alloy_elongation,True,False,0.0,False,100.0,0.0,437.8608586794052,437.8608586794052
alloy_ys,ridge_alpha_10,0,te_thermal,False,True,0.0,False,100.0,0.0,437.8608586794052,437.8608586794052
alloy_ys,random_forest,0,alloy_uts,True,False,0.08733886424428385,True,0.1,1.0,0.06333204912832865,0.044781136242859454
alloy_ys,random_forest,0,alloy_hardness,True,False,0.23703365554669073,True,0.1,1.0,0.06333204912832865,0.044781136242859454
alloy_ys,random_forest,0,alloy_elongation,True,False,0.0,False,0.1,1.0,0.06333204912832865,0.044781136242859454
alloy_ys,random_forest,0,te_thermal,False,True,0.0,False,0.1,1.0,0.06333204912832865,0.044781136242859454
alloy_ys,extra_trees,0,alloy_uts,True,False,0.04576168217128034,True,0.1,0.75,0.07047770577646531,0.04967667575413032
alloy_ys,extra_trees,0,alloy_hardness,True,False,0.23532102303696523,True,0.1,0.75,0.07047770577646531,0.04967667575413032
alloy_ys,extra_trees,0,alloy_elongation,True,False,0.0,False,0.1,0.75,0.07047770577646531,0.04967667575413032
alloy_ys,extra_trees,0,te_thermal,False,True,0.0,False,0.1,0.75,0.07047770577646531,0.04967667575413032
alloy_ys,ridge_alpha_10,1,alloy_uts,True,False,0.0,False,100.0,0.0,0.14506951691834313,0.14506951691834313
alloy_ys,ridge_alpha_10,1,alloy_hardness,True,False,0.0,False,100.0,0.0,0.14506951691834313,0.14506951691834313
alloy_ys,ridge_alpha_10,1,alloy_elongation,True,False,0.0,False,100.0,0.0,0.14506951691834313,0.14506951691834313
alloy_ys,ridge_alpha_10,1,te_thermal,False,True,0.0,False,100.0,0.0,0.14506951691834313,0.14506951691834313
alloy_ys,random_forest,1,alloy_uts,True,False,0.0,False,0.1,0.25,0.0638868535809612,0.0626229493937818
alloy_ys,random_forest,1,alloy_hardness,True,False,0.0,False,0.1,0.25,0.0638868535809612,0.0626229493937818
alloy_ys,random_forest,1,alloy_elongation,True,False,0.019783478389301376,True,0.1,0.25,0.0638868535809612,0.0626229493937818
alloy_ys,random_forest,1,te_thermal,False,True,0.0,False,0.1,0.25,0.0638868535809612,0.0626229493937818
alloy_ys,extra_trees,1,alloy_uts,True,False,0.0,False,100.0,0.0,0.06164792955194567,0.06164792955194567
alloy_ys,extra_trees,1,alloy_hardness,True,False,0.0,False,100.0,0.0,0.06164792955194567,0.06164792955194567
alloy_ys,extra_trees,1,alloy_elongation,True,False,0.0,False,100.0,0.0,0.06164792955194567,0.06164792955194567
alloy_ys,extra_trees,1,te_thermal,False,True,0.0,False,100.0,0.0,0.06164792955194567,0.06164792955194567
alloy_ys,ridge_alpha_10,2,alloy_uts,True,False,0.0,False,100.0,0.0,0.11870264633629996,0.11870264633629996
alloy_ys,ridge_alpha_10,2,alloy_hardness,True,False,0.0,False,100.0,0.0,0.11870264633629996,0.11870264633629996
alloy_ys,ridge_alpha_10,2,alloy_elongation,True,False,0.0,False,100.0,0.0,0.11870264633629996,0.11870264633629996
alloy_ys,ridge_alpha_10,2,te_thermal,False,True,0.0,False,100.0,0.0,0.11870264633629996,0.11870264633629996
alloy_ys,random_forest,2,alloy_uts,True,False,0.0,False,100.0,0.0,0.08119088007323841,0.08119088007323841
alloy_ys,random_forest,2,alloy_hardness,True,False,0.0,False,100.0,0.0,0.08119088007323841,0.08119088007323841
alloy_ys,random_forest,2,alloy_elongation,True,False,0.0,False,100.0,0.0,0.08119088007323841,0.08119088007323841
alloy_ys,random_forest,2,te_thermal,False,True,0.0,False,100.0,0.0,0.08119088007323841,0.08119088007323841
alloy_ys,extra_trees,2,alloy_uts,True,False,0.0,False,100.0,0.0,0.09510002868678699,0.09510002868678699
alloy_ys,extra_trees,2,alloy_hardness,True,False,0.0,False,100.0,0.0,0.09510002868678699,0.09510002868678699
alloy_ys,extra_trees,2,alloy_elongation,True,False,0.0,False,100.0,0.0,0.09510002868678699,0.09510002868678699
alloy_ys,extra_trees,2,te_thermal,False,True,0.0,False,100.0,0.0,0.09510002868678699,0.09510002868678699
electrolyte_conductivity,ridge_alpha_10,0,te_electrical,True,False,0.005191729313685605,True,0.1,0.25,85.83075522090905,82.2395792773776
electrolyte_conductivity,ridge_alpha_10,0,te_power_factor,True,False,0.002947633460671076,True,0.1,0.25,85.83075522090905,82.2395792773776
electrolyte_conductivity,ridge_alpha_10,0,te_thermal,True,False,0.13912928631343643,True,0.1,0.25,85.83075522090905,82.2395792773776
electrolyte_conductivity,ridge_alpha_10,0,alloy_ys,False,True,0.014135398334837394,False,0.1,0.25,85.83075522090905,82.2395792773776
electrolyte_conductivity,random_forest,0,te_electrical,True,False,0.0,False,0.1,1.0,20.84615759151705,10.693446012912176
electrolyte_conductivity,random_forest,0,te_power_factor,True,False,0.0036696977249531817,True,0.1,1.0,20.84615759151705,10.693446012912176
electrolyte_conductivity,random_forest,0,te_thermal,True,False,0.03529848247380203,True,0.1,1.0,20.84615759151705,10.693446012912176
electrolyte_conductivity,random_forest,0,alloy_ys,False,True,0.0,False,0.1,1.0,20.84615759151705,10.693446012912176
electrolyte_conductivity,extra_trees,0,te_electrical,True,False,0.0,False,0.1,1.0,17.698750506982773,13.744609840199008
electrolyte_conductivity,extra_trees,0,te_power_factor,True,False,0.0,False,0.1,1.0,17.698750506982773,13.744609840199008
electrolyte_conductivity,extra_trees,0,te_thermal,True,False,0.22341354917815914,True,0.1,1.0,17.698750506982773,13.744609840199008
electrolyte_conductivity,extra_trees,0,alloy_ys,False,True,0.009309461089993473,False,0.1,1.0,17.698750506982773,13.744609840199008
electrolyte_conductivity,ridge_alpha_10,1,te_electrical,True,False,0.010478318398844175,True,0.1,0.25,19.617715493389824,19.412154824192147
electrolyte_conductivity,ridge_alpha_10,1,te_power_factor,True,False,0.0,False,0.1,0.25,19.617715493389824,19.412154824192147
electrolyte_conductivity,ridge_alpha_10,1,te_thermal,True,False,0.0,False,0.1,0.25,19.617715493389824,19.412154824192147
electrolyte_conductivity,ridge_alpha_10,1,alloy_ys,False,True,0.0,False,0.1,0.25,19.617715493389824,19.412154824192147
electrolyte_conductivity,random_forest,1,te_electrical,True,False,0.0,False,100.0,0.0,25.35580021401265,25.35580021401265
electrolyte_conductivity,random_forest,1,te_power_factor,True,False,0.0,False,100.0,0.0,25.35580021401265,25.35580021401265
electrolyte_conductivity,random_forest,1,te_thermal,True,False,0.0,False,100.0,0.0,25.35580021401265,25.35580021401265
electrolyte_conductivity,random_forest,1,alloy_ys,False,True,0.0,False,100.0,0.0,25.35580021401265,25.35580021401265
electrolyte_conductivity,extra_trees,1,te_electrical,True,False,0.0,False,100.0,0.0,18.820914498387275,18.820914498387275
electrolyte_conductivity,extra_trees,1,te_power_factor,True,False,0.0,False,100.0,0.0,18.820914498387275,18.820914498387275
electrolyte_conductivity,extra_trees,1,te_thermal,True,False,0.0,False,100.0,0.0,18.820914498387275,18.820914498387275
electrolyte_conductivity,extra_trees,1,alloy_ys,False,True,0.0,False,100.0,0.0,18.820914498387275,18.820914498387275
electrolyte_conductivity,ridge_alpha_10,2,te_electrical,True,False,0.0,False,100.0,0.0,30.862292555076635,30.862292555076635
electrolyte_conductivity,ridge_alpha_10,2,te_power_factor,True,False,0.0,False,100.0,0.0,30.862292555076635,30.862292555076635
electrolyte_conductivity,ridge_alpha_10,2,te_thermal,True,False,0.0,False,100.0,0.0,30.862292555076635,30.862292555076635
electrolyte_conductivity,ridge_alpha_10,2,alloy_ys,False,True,0.0,False,100.0,0.0,30.862292555076635,30.862292555076635
electrolyte_conductivity,random_forest,2,te_electrical,True,False,0.0,False,100.0,0.0,25.5438095458118,25.5438095458118
electrolyte_conductivity,random_forest,2,te_power_factor,True,False,0.0,False,100.0,0.0,25.5438095458118,25.5438095458118
electrolyte_conductivity,random_forest,2,te_thermal,True,False,0.0,False,100.0,0.0,25.5438095458118,25.5438095458118
electrolyte_conductivity,random_forest,2,alloy_ys,False,True,0.0,False,100.0,0.0,25.5438095458118,25.5438095458118
electrolyte_conductivity,extra_trees,2,te_electrical,True,False,0.0,False,100.0,0.0,22.01917413630653,22.01917413630653
electrolyte_conductivity,extra_trees,2,te_power_factor,True,False,0.0,False,100.0,0.0,22.01917413630653,22.01917413630653
electrolyte_conductivity,extra_trees,2,te_thermal,True,False,0.0,False,100.0,0.0,22.01917413630653,22.01917413630653
electrolyte_conductivity,extra_trees,2,alloy_ys,False,True,0.0,False,100.0,0.0,22.01917413630653,22.01917413630653
