anchor_budget,draw,model,comparator,relative_log_rmse_gain,spearman_gain,top_quartile_precision_gain,normalized_regret_reduction
3,0,bamboo_all_frozen,target_only_ridge,0.2854857679065804,0.6424333606452638,0.7777777777777778,0.11023842194502584
3,0,bamboo_all_adapted,target_only_ridge,0.28512990723528986,0.6481156536374436,0.7777777777777778,0.11023842194502584
3,0,programme_balanced_portfolio_frozen,target_only_ridge,0.1433351182046142,0.6718475831930177,0.8888888888888888,0.11023842194502584
3,0,programme_balanced_portfolio_adapted,target_only_ridge,0.15804497255166872,0.6648282800850311,0.7777777777777778,0.09096753187904444
3,0,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.6407293146578225,0.8888888888888888,0.09096753187904444
3,1,bamboo_all_frozen,target_only_ridge,0.2854857679065804,0.6424333606452638,0.7777777777777778,0.11023842194502584
3,1,bamboo_all_adapted,target_only_ridge,0.28512990723528986,0.6481156536374436,0.7777777777777778,0.11023842194502584
3,1,programme_balanced_portfolio_frozen,target_only_ridge,0.1433351182046142,0.6718475831930177,0.8888888888888888,0.11023842194502584
3,1,programme_balanced_portfolio_adapted,target_only_ridge,0.15804497255166872,0.6648282800850311,0.7777777777777778,0.09096753187904444
3,1,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.6407293146578225,0.8888888888888888,0.09096753187904444
3,2,bamboo_all_frozen,target_only_ridge,0.3502058255096798,0.6447192513368986,0.5555555555555556,0.10720331591695453
3,2,bamboo_all_adapted,target_only_ridge,0.35039280525534156,0.6447192513368986,0.5555555555555556,0.10720331591695453
3,2,programme_balanced_portfolio_frozen,target_only_ridge,0.22101625158246796,0.6741310160427808,0.6666666666666666,0.10720331591695453
3,2,programme_balanced_portfolio_adapted,target_only_ridge,0.22695817675961827,0.6627673796791445,0.5555555555555556,0.10720331591695453
3,2,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.6489520458765332,0.6666666666666666,0.10720331591695453
3,3,bamboo_all_frozen,target_only_ridge,0.411676424693042,0.8369683324951823,0.7777777777777777,0.37334752480702627
3,3,bamboo_all_adapted,target_only_ridge,0.4241615626774219,0.8416478679005069,0.7777777777777777,0.37334752480702627
3,3,programme_balanced_portfolio_frozen,target_only_ridge,0.2825899088153325,0.8693908278035021,0.8888888888888888,0.37334752480702627
3,3,programme_balanced_portfolio_adapted,target_only_ridge,0.28257134965527475,0.8759087521180613,0.8888888888888888,0.37334752480702627
