scope,policy,source,evaluated_steps,admission_rate,selected_rate,mean_weight,median_weight,median_cv_gain
external_candidate,safe_borg_residual_control,__target__,6,0.3333333333333333,0.0,0.25056684451835315,0.0,0.04544490103289375
external_candidate,safe_borg_residual_control,borg_mechanical_control,6,0.16666666666666666,0.16666666666666666,0.07622117118397977,0.0,-0.031644876672849
external_candidate,safe_estm_residual,__target__,6,0.3333333333333333,0.0,0.25056684451835315,0.0,0.04544490103289375
external_candidate,safe_estm_residual,estm_transport_neighbor,6,0.3333333333333333,0.3333333333333333,0.14775151598632283,0.0,-0.01108788591527465
external_candidate,safe_multisource_novelty_band,__target__,6,0.6666666666666666,0.0,0.5018314822180123,0.5396387258947253,0.0539638725894725
external_candidate,safe_multisource_novelty_band,borg_mechanical_control,6,0.0,0.0,0.0,0.0,0.00373721198792025
external_candidate,safe_multisource_novelty_band,estm_transport_neighbor,6,0.5,0.5,0.1460758211369798,0.13261249127336275,0.01268999392384775
external_candidate,safe_multisource_novelty_band,obelix_same_property,6,0.16666666666666666,0.16666666666666666,0.11409856088103952,0.0,-0.003821987326080659
external_candidate,safe_multisource_novelty_band,ocx_catalysis_control,6,0.16666666666666666,0.16666666666666666,0.0593783828756879,0.0,3.8090596435500987e-06
external_candidate,safe_multisource_novelty_band,shuffled_obelix,6,0.3333333333333333,0.16666666666666666,0.04393920434296281,0.0,0.01398974129564435
external_candidate,safe_multisource_residual,__target__,6,0.3333333333333333,0.0,0.25056684451835315,0.0,0.0751700533555059
external_candidate,safe_multisource_residual,borg_mechanical_control,6,0.16666666666666666,0.16666666666666666,0.07622117118397977,0.0,-0.01586924964798895
external_candidate,safe_multisource_residual,estm_transport_neighbor,6,0.3333333333333333,0.3333333333333333,0.14775151598632283,0.0,0.00671876042089705
external_candidate,safe_multisource_residual,obelix_same_property,6,0.5,0.3333333333333333,0.16037361711728068,0.0,0.007150188244028499
external_candidate,safe_multisource_residual,ocx_catalysis_control,6,0.3333333333333333,0.16666666666666666,0.0593783828756879,0.0,0.00752263495684945
external_candidate,safe_multisource_residual,shuffled_obelix,6,0.16666666666666666,0.0,0.0,0.0,0.0005507389142221002
external_candidate,safe_obelix_residual,__target__,6,0.3333333333333333,0.0,0.25056684451835315,0.0,0.0751700533555059
external_candidate,safe_obelix_residual,obelix_same_property,6,0.5,0.5,0.21062079123797547,0.1388251687087235,0.007150188244028499
external_candidate,safe_target_novelty,__target__,6,0.5,0.0,0.41723351118501983,0.28584481279574764,0.0751700533555059
hard_ood_40pct,safe_borg_residual_control,__target__,6,0.3333333333333333,0.0,0.25056684451835315,0.0,0.04544490103289375
hard_ood_40pct,safe_borg_residual_control,borg_mechanical_control,6,0.16666666666666666,0.16666666666666666,0.07622117118397977,0.0,-0.031644876672849
hard_ood_40pct,safe_estm_residual,__target__,6,0.3333333333333333,0.0,0.25056684451835315,0.0,0.04544490103289375
hard_ood_40pct,safe_estm_residual,estm_transport_neighbor,6,0.3333333333333333,0.3333333333333333,0.14775151598632283,0.0,-0.01108788591527465
hard_ood_40pct,safe_multisource_novelty_band,__target__,6,0.3333333333333333,0.0,0.25056684451835315,0.0,0.0731225780772276
hard_ood_40pct,safe_multisource_novelty_band,borg_mechanical_control,6,0.16666666666666666,0.16666666666666666,0.07622117118397977,0.0,-0.01777573589434845
hard_ood_40pct,safe_multisource_novelty_band,estm_transport_neighbor,6,0.3333333333333333,0.3333333333333333,0.14775151598632283,0.0,0.0089041151405338
hard_ood_40pct,safe_multisource_novelty_band,obelix_same_property,6,0.5,0.3333333333333333,0.1942869682211937,0.0,0.00834182360936455
hard_ood_40pct,safe_multisource_novelty_band,ocx_catalysis_control,6,0.3333333333333333,0.16666666666666666,0.0593783828756879,0.0,-0.0053894764728331
hard_ood_40pct,safe_multisource_novelty_band,shuffled_obelix,6,0.3333333333333333,0.16666666666666666,0.03794610221532278,0.0,0.0005507389142221002
hard_ood_40pct,safe_multisource_residual,__target__,6,0.3333333333333333,0.0,0.25056684451835315,0.0,0.0751700533555059
hard_ood_40pct,safe_multisource_residual,borg_mechanical_control,6,0.16666666666666666,0.16666666666666666,0.07622117118397977,0.0,-0.01586924964798895
hard_ood_40pct,safe_multisource_residual,estm_transport_neighbor,6,0.3333333333333333,0.3333333333333333,0.14775151598632283,0.0,0.00671876042089705
hard_ood_40pct,safe_multisource_residual,obelix_same_property,6,0.5,0.3333333333333333,0.16037361711728068,0.0,0.007150188244028499
hard_ood_40pct,safe_multisource_residual,ocx_catalysis_control,6,0.3333333333333333,0.16666666666666666,0.0593783828756879,0.0,0.00752263495684945
hard_ood_40pct,safe_multisource_residual,shuffled_obelix,6,0.16666666666666666,0.0,0.0,0.0,0.0005507389142221002
hard_ood_40pct,safe_obelix_residual,__target__,6,0.3333333333333333,0.0,0.25056684451835315,0.0,0.0751700533555059
hard_ood_40pct,safe_obelix_residual,obelix_same_property,6,0.5,0.5,0.21062079123797547,0.1388251687087235,0.007150188244028499
hard_ood_40pct,safe_target_novelty,__target__,6,0.5,0.0,0.41723351118501983,0.28584481279574764,0.0751700533555059
