source,entities,groups,oof_r2,oof_rmse,oof_spearman,target_formula_exclusions,target_doi_exclusions
estm_same_domain,671,137,0.23548020323796315,0.24623571901022642,0.5265878280934481,0,0
obelix_adjacent_ionic,500,161,0.43640536324460255,2.645650480860565,0.7799776813045901,0,0
caltech_adjacent_ionic,483,229,0.4282513660456573,3.2441865186798036,0.7842913859246557,0,0
borg_wrong_mechanical,393,94,0.11955826186349672,0.2691356512089477,0.4009393533954311,0,0
ocx_wrong_catalysis,212,212,0.5750724666392797,13.671181082472511,0.7536019692875403,0,0
