target,method,learner,repeat,train_n,source_entities,q1_relative_rmse_gain,q4_relative_rmse_gain,gain_specific,q4_r2
electrolyte_conductivity,caltech_same_endpoint_scalar,ridge_alpha_10,0,30,230,0.31469718471813884,0.25411209478047403,-0.060585089937664816,-28.37932973817485
electrolyte_conductivity,caltech_coverage_aware,ridge_alpha_10,0,30,230,0.3838921697598704,0.3143000339470502,-0.0695921358128202,-23.829216163137726
electrolyte_conductivity,te_electrical_zero_coverage_control,ridge_alpha_10,0,30,870,-0.03029153293977515,-0.027528343682987927,0.0027631892567872227,-54.75481439559465
electrolyte_conductivity,shuffled_caltech_control,ridge_alpha_10,0,30,870,-0.1385959060616475,-0.12632079449173536,0.01227511156991215,-65.99138522549845
electrolyte_conductivity,caltech_same_endpoint_scalar,random_forest,0,30,230,0.39841170505128476,-0.22799897855745546,-0.6264106836087402,0.2082864844836091
electrolyte_conductivity,caltech_coverage_aware,random_forest,0,30,230,0.3095365909741617,-0.4163409116602513,-0.725877502634413,-0.05319223404028972
electrolyte_conductivity,te_electrical_zero_coverage_control,random_forest,0,30,870,-0.1034715173492623,-0.1713899819425512,-0.0679184645932889,0.2795977528984901
electrolyte_conductivity,shuffled_caltech_control,random_forest,0,30,870,-0.04767715395869823,-0.025075875536235068,0.022601278422463164,0.44832402218770084
electrolyte_conductivity,caltech_same_endpoint_scalar,extra_trees,0,30,230,0.4262412672368239,-0.1351428329064912,-0.5613841001433151,0.3380700725087925
electrolyte_conductivity,caltech_coverage_aware,extra_trees,0,30,230,0.2591403413501081,-0.29111373327712875,-0.5502540746272369,0.1436722942522034
electrolyte_conductivity,te_electrical_zero_coverage_control,extra_trees,0,30,870,0.040952810256271975,-0.10399627794840947,-0.14494908820468144,0.3738963831656599
electrolyte_conductivity,shuffled_caltech_control,extra_trees,0,30,870,0.09219823793362807,0.03519966847782913,-0.05699856945579894,0.5218260837389326
electrolyte_conductivity,caltech_same_endpoint_scalar,ridge_alpha_10,1,30,233,0.09981358998869362,0.011586191244033532,-0.0882273987446601,-0.3016989354970432
electrolyte_conductivity,caltech_coverage_aware,ridge_alpha_10,1,30,233,-0.10800730635696029,0.18356828296730293,0.2915755893242632,0.11187789948155369
electrolyte_conductivity,te_electrical_zero_coverage_control,ridge_alpha_10,1,30,870,-0.025659978439864766,0.05573042192640769,0.08139040036627246,-0.18802324326271913
electrolyte_conductivity,shuffled_caltech_control,ridge_alpha_10,1,30,870,-0.0006149852551171298,0.0010459678860049771,0.0016609531411221068,-0.3296090111328689
electrolyte_conductivity,caltech_same_endpoint_scalar,random_forest,1,30,233,0.11304179588203399,-0.006643714821898025,-0.11968551070393202,0.03857598787353822
electrolyte_conductivity,caltech_coverage_aware,random_forest,1,30,233,0.07933572773186752,0.12937294674490968,0.05003721901304216,0.28083638282570655
electrolyte_conductivity,te_electrical_zero_coverage_control,random_forest,1,30,870,-0.08554476473239012,0.02955809065343151,0.11510285538582163,0.1064837002972352
electrolyte_conductivity,shuffled_caltech_control,random_forest,1,30,870,-0.0469813849148875,-0.10147155709661598,-0.05449017218172848,-0.15109181584236397
electrolyte_conductivity,caltech_same_endpoint_scalar,extra_trees,1,30,233,0.09386378519491828,-0.07392494654756616,-0.16778873174248443,0.4508335260729003
electrolyte_conductivity,caltech_coverage_aware,extra_trees,1,30,233,0.11056332960752537,0.024033448871491926,-0.08652988073603343,0.5464491121060888
electrolyte_conductivity,te_electrical_zero_coverage_control,extra_trees,1,30,870,0.021249281678078515,-0.05672369968425082,-0.07797298136232933,0.4682848315827367
electrolyte_conductivity,shuffled_caltech_control,extra_trees,1,30,870,0.03177131347762682,-0.039872569621301764,-0.07164388309892858,0.48510769789607544
electrolyte_conductivity,caltech_same_endpoint_scalar,ridge_alpha_10,2,30,231,0.07001702781287711,-0.026159351681124134,-0.09617637949400124,-8.54863428144182
electrolyte_conductivity,caltech_coverage_aware,ridge_alpha_10,2,30,231,0.17157087583611857,-0.05455972758184473,-0.22613060341796332,-9.084491620314498
electrolyte_conductivity,te_electrical_zero_coverage_control,ridge_alpha_10,2,30,870,0.055136171045671305,0.049187855996363355,-0.005948315049307949,-7.197871097512019
electrolyte_conductivity,shuffled_caltech_control,ridge_alpha_10,2,30,870,-0.005392044114537731,-0.01304973087008901,-0.007657686755551279,-8.306217024803685
electrolyte_conductivity,caltech_same_endpoint_scalar,random_forest,2,30,231,0.24452074151230788,-0.08583759229821974,-0.3303583338105276,0.059080024320196434
electrolyte_conductivity,caltech_coverage_aware,random_forest,2,30,231,0.28835525223181335,-0.3953416092430479,-0.6836968614748613,-0.5537603433797731
electrolyte_conductivity,te_electrical_zero_coverage_control,random_forest,2,30,870,0.042670183757043796,-0.04099757762082531,-0.0836677613778691,0.1351866595885708
electrolyte_conductivity,shuffled_caltech_control,random_forest,2,30,870,-0.028889838092488827,-0.04369145531191286,-0.014801617219424034,0.13070496664766784
electrolyte_conductivity,caltech_same_endpoint_scalar,extra_trees,2,30,231,0.15257167673453645,-0.12445004980266192,-0.27702172653719837,0.203155147664551
electrolyte_conductivity,caltech_coverage_aware,extra_trees,2,30,231,0.22237501017976247,-0.31024298854602106,-0.5326179987257835,-0.08192492017911013
electrolyte_conductivity,te_electrical_zero_coverage_control,extra_trees,2,30,870,0.10542056409224422,-0.08923107032229116,-0.19465163441453537,0.25228950319371024
electrolyte_conductivity,shuffled_caltech_control,extra_trees,2,30,870,0.05755839656759515,-0.03213446413104404,-0.08969286069863919,0.32862371729600515
