edge_id,source_evaluated,learner_evaluated,repeat,pool,candidate_n,baseline_fraction_to_first_hit,augmented_fraction_to_first_hit,baseline_first_hit_rank,augmented_first_hit_rank,baseline_top10_recall_top5,augmented_top10_recall_top5,baseline_top10_enrichment,augmented_top10_enrichment,baseline_top10_regret,augmented_top10_regret,baseline_spearman_rho,augmented_spearman_rho,effect_fraction_to_first_hit,effect_top10_recall_top5,effect_top10_enrichment,effect_top10_regret_reduction,effect_spearman_rho,edge_role
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,8,year1_to_year2,21,0.23809523809523808,0.19047619047619047,5.0,4.0,0.0,0.0,0.0,0.0,0.056692341279244385,0.056692341279244385,0.7090909090909091,0.7233766233766233,0.047619047619047616,0.0,0.0,0.0,0.014285714285714235,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,8,years1_2_to_year3,8,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.06650585155502009,0.020080171307968797,0.023809523809523815,0.04761904761904763,0.0,0.0,0.0,0.04642568024705129,0.023809523809523815,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,9,year1_to_year2,21,0.047619047619047616,0.047619047619047616,1.0,1.0,0.5,0.5,3.5,3.5,0.0,0.0,0.7662337662337663,0.7792207792207791,0.0,0.0,0.0,0.0,0.01298701298701288,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,9,years1_2_to_year3,8,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.06650585155502009,0.14900612403626923,0.023809523809523815,-0.023809523809523815,0.0,0.0,0.0,-0.08250027248124914,-0.04761904761904763,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,10,year1_to_year2,21,0.09523809523809523,0.09523809523809523,2.0,2.0,0.5,0.5,3.5,3.5,0.0237927537807896,0.0237927537807896,0.8298701298701299,0.7961038961038961,0.0,0.0,0.0,0.0,-0.03376623376623378,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,10,years1_2_to_year3,8,0.25,0.5,2.0,4.0,0.0,0.0,0.0,0.0,0.16382916328419084,0.16382916328419084,0.14285714285714288,0.04761904761904763,-0.25,0.0,0.0,0.0,-0.09523809523809525,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,11,year1_to_year2,21,0.14285714285714285,0.14285714285714285,3.0,3.0,0.5,0.5,3.5,3.5,0.0237927537807896,0.0237927537807896,0.8727272727272727,0.857142857142857,0.0,0.0,0.0,0.0,-0.0155844155844157,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,11,years1_2_to_year3,8,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.14900612403626923,0.14900612403626923,0.09523809523809526,0.09523809523809526,0.0,0.0,0.0,0.0,0.0,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,12,year1_to_year2,21,0.047619047619047616,0.047619047619047616,1.0,1.0,0.5,0.5,3.5,3.5,0.0,0.0,0.7987012987012986,0.7987012987012986,0.0,0.0,0.0,0.0,0.0,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,12,years1_2_to_year3,8,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.14900612403626923,0.14900612403626923,-0.023809523809523815,-0.023809523809523815,0.0,0.0,0.0,0.0,0.0,named-edge
