source,source_n_total,source_n_after_target_exclusion,raw_target_key_overlap,post_exclusion_overlap,source_groups,group_cv_r2_mean,group_cv_r2_sd,group_cv_r2_min
alloy_uts,238,238,0,0,93,0.4092635025593352,0.11382573108530943,0.2835248844992938
alloy_hardness,377,377,0,0,135,0.5848097511784689,0.15895445117538476,0.4271245981375422
alloy_elongation,253,253,0,0,110,0.019765235629951583,0.25824037926821747,-0.27707220736142446
te_thermal,870,870,0,0,301,0.5646057498922978,0.12924480949494632,0.3687807264783832
catalysis_h2,212,212,0,0,46,0.16724821830520561,0.2384695141236045,-0.06428770534049288
