base_rmse_mean,aug_rmse_mean,relative_rmse_improvement_mean,relative_rmse_ci_lo,relative_rmse_ci_hi,pooled_base_r2,pooled_aug_r2,effect_year1_to_year2,effect_years1_2_to_year3,target,source,target_label,source_label,neighborhood,relation,rationale,train_n,test_n_year2,test_n_year3,source_group_cv_r2_mean,raw_source_birdshot_key_overlap,source_model_evaluation_key_overlap_after_exclusion,target_equivalent_n,target_sample_fraction_saved,target_equivalence_status,primary_permutation_p,edge_status,primary_positive_learners_of_three
0.19106877366930888,0.18279736868044336,0.0430379917675469,0.03358087296843981,0.055108556524205606,-1.516367778413629,-1.3032640625785956,0.04393682885855922,0.041212369969179055,birdshot_ys,alloy_uts,BIRDSHOT yield strength,Alloy ultimate tensile strength,3,cross-dataset-physical-neighbor,paired tensile strength endpoints,30,51,20,0.2304626202996475,0,0,,,unavailable-nonmonotone-temporal-learning-curve,0.003,directionally-replicated-below-practical-gate,3.0
0.19106877366930888,0.19271859656165802,-0.008997403937017633,-0.013192084610164653,-0.00396246123608189,-1.516367778413629,-1.558432353408473,-0.014435772782216576,7.824013206142135e-05,birdshot_ys,alloy_hardness,BIRDSHOT yield strength,Alloy hardness,2,cross-dataset-physical-neighbor,hardness-strength relation,30,51,20,0.5600608921705855,0,0,,,unavailable-nonmonotone-temporal-learning-curve,,practically-equivalent,
0.19106877366930888,0.19397655073520872,-0.01542326051583502,-0.02405611660836458,-0.008195290203090982,-1.516367778413629,-1.5950618608543996,-0.017850086106248626,-0.010223583348892885,birdshot_ys,alloy_elongation,BIRDSHOT yield strength,Alloy elongation,1,cross-dataset-same-domain,strength-ductility relation is non-universal,30,51,20,0.10794289904205483,0,0,,,unavailable-nonmonotone-temporal-learning-curve,,harmful,
0.19106877366930888,0.19443295878807945,-0.018499211800401472,-0.031173058899045224,-0.0036301033178219476,-1.516367778413629,-1.6021231959700342,-0.03073983521071192,0.003023370366012165,birdshot_ys,te_thermal,BIRDSHOT yield strength,Thermoelectric thermal conductivity,0,distant-control,unrelated transport endpoint,30,51,20,0.5803048176491067,0,0,,,unavailable-nonmonotone-temporal-learning-curve,,harmful,
0.19106877366930888,0.19358176910403788,-0.014778930152847425,-0.044358687915862866,0.007378734298694735,-1.516367778413629,-1.5868539695501656,-0.025188727786849042,-0.0010809994614625145,birdshot_ys,catalysis_h2,BIRDSHOT yield strength,CO2R H2 Faradaic efficiency,0,distant-control,unrelated selectivity endpoint,30,51,20,0.2292031508576087,0,0,,,unavailable-nonmonotone-temporal-learning-curve,,unresolved,
0.08801717375276227,0.0889016933473643,-0.011923337865286527,-0.03800089181652861,0.007901839517984866,-0.5019487905051803,-0.5356507022706405,-0.013099736541048332,-0.007129137826035679,birdshot_uts,alloy_ys,BIRDSHOT ultimate tensile strength,Alloy yield strength,3,cross-dataset-physical-neighbor,paired tensile strength endpoints,30,51,20,0.31370232627820344,0,0,28.364204801513107,-0.057671110822032634,interpolated,,unresolved,
0.08801717375276227,0.08774758586583349,0.003175596359987497,-0.009478607736458524,0.012124730588631758,-0.5019487905051803,-0.4956218349105439,0.004513370561962235,-0.017361789745010278,birdshot_uts,alloy_hardness,BIRDSHOT ultimate tensile strength,Alloy hardness,2,cross-dataset-physical-neighbor,hardness-strength relation,30,51,20,0.5600608921705855,0,0,28.951045538936878,-0.03623200618617939,interpolated,,practically-equivalent,
0.08801717375276227,0.09441119342168199,-0.07603826187702525,-0.14687126806001385,-0.028556827105803706,-0.5019487905051803,-0.7529798196945989,-0.086189649748838,-0.015696080092592775,birdshot_uts,alloy_elongation,BIRDSHOT ultimate tensile strength,Alloy elongation,1,cross-dataset-same-domain,strength-ductility relation is non-universal,30,51,20,0.10794289904205483,0,0,25.56273341501761,-0.17358341586332784,interpolated,,harmful,
0.08801717375276227,0.08465007788060648,0.03783930137411418,0.019760081611367702,0.05655380776723421,-0.5019487905051803,-0.3899370114274876,0.041362182302936,0.004423156492378266,birdshot_uts,te_thermal,BIRDSHOT ultimate tensile strength,Thermoelectric thermal conductivity,0,distant-control,unrelated transport endpoint,30,51,20,0.5803048176491067,0,0,36.47750736048404,0.17757538354994898,interpolated,,unresolved,
0.08801717375276227,0.1239324105862662,-0.40707521514156,-0.7670121288061846,-0.20775916499210362,-0.5019487905051803,-2.2422289633809895,-0.4412044184092486,-0.005956140221559116,birdshot_uts,catalysis_h2,BIRDSHOT ultimate tensile strength,CO2R H2 Faradaic efficiency,0,distant-control,unrelated selectivity endpoint,30,51,20,0.2292031508576087,0,0,8.0,-2.75,no-savings,,harmful,
0.17696718755086063,0.18603216257940594,-0.0514075377438963,-0.0788744717606661,-0.028121915587534428,-3.1136930348558414,-3.5510265404291754,-0.07053016506725401,0.019748580356497222,birdshot_hardness,alloy_ys,BIRDSHOT Vickers hardness,Alloy yield strength,2,cross-dataset-physical-neighbor,hardness-strength relation,30,51,20,0.31370232627820344,0,0,,,unavailable-nonmonotone-temporal-learning-curve,,harmful,
0.17696718755086063,0.16481632399030413,0.06844908436937926,0.05390644216869091,0.08540814482260572,-3.1136930348558414,-2.568608795200288,0.0693327466184588,0.06756769537700956,birdshot_hardness,alloy_uts,BIRDSHOT Vickers hardness,Alloy ultimate tensile strength,2,cross-dataset-physical-neighbor,hardness-strength relation,30,51,20,0.2304626202996475,0,0,,,unavailable-nonmonotone-temporal-learning-curve,,exploratory-positive,
0.17696718755086063,0.19154315687021073,-0.08088312803561382,-0.11770573718505857,-0.0569363916106243,-3.1136930348558414,-3.8448441415615457,-0.10261277136321148,0.005154085291697381,birdshot_hardness,alloy_elongation,BIRDSHOT Vickers hardness,Alloy elongation,1,cross-dataset-same-domain,ductility-mechanical-response relation,30,51,20,0.10794289904205483,0,0,,,unavailable-nonmonotone-temporal-learning-curve,,harmful,
0.17696718755086063,0.1801859486022834,-0.01920240539488076,-0.027862419513822304,-0.007574297214321591,-3.1136930348558414,-3.257813922539313,-0.025269325912960442,0.0008169898277943385,birdshot_hardness,te_thermal,BIRDSHOT Vickers hardness,Thermoelectric thermal conductivity,0,distant-control,unrelated transport endpoint,30,51,20,0.5803048176491067,0,0,,,unavailable-nonmonotone-temporal-learning-curve,,harmful,
0.17696718755086063,0.18250748805899428,-0.032983324792413254,-0.07393720634783087,-0.0061581561037007924,-3.1136930348558414,-3.4039919857532874,-0.04100876311936922,-0.001209966979778949,birdshot_hardness,catalysis_h2,BIRDSHOT Vickers hardness,CO2R H2 Faradaic efficiency,0,distant-control,unrelated selectivity endpoint,30,51,20,0.2292031508576087,0,0,,,unavailable-nonmonotone-temporal-learning-curve,,harmful,
