target,source,stage,learner,repeats,train_n,test_n,test_groups,base_r2_mean,aug_r2_mean,delta_r2_mean,base_rmse_mean,aug_rmse_mean,relative_rmse_improvement_mean,relative_rmse_ci_lo,relative_rmse_ci_hi,fraction_repeats_positive,mse_improvement_mean,target_label,source_label,target_domain,source_domain,neighborhood,relation,rationale,source_group_cv_r2_mean,raw_source_target_evaluation_key_overlap,source_model_evaluation_key_overlap_after_exclusion,discovery_selected,target_equivalent_n,target_sample_fraction_saved,target_equivalence_status,permutation_p_raw,permutation_p_holm,learners_positive_of_three,edge_status,permutation_p_raw_refined,permutation_p_holm_refined,permutations,amendment,edge_status_refined
catalysis_h2,catalysis_voltage,confirmation,ridge-primary,100,30,43,9,0.2382294362964,0.2100195509275165,-0.0282098853688834,24.33994758346764,24.860221267805205,-0.024166843417511,-0.0480134324106283,0.0438703964582253,0.15,-22.47435540307457,CO2R H2 Faradaic efficiency,CO2R cell voltage,CO2 electroreduction,CO2 electroreduction,2,same-domain,operating potential and selectivity,-0.8244101594523467,86,0,False,27.96973760577623,-0.0725878241276201,interpolated,,,0,unresolved,,,,,unresolved
catalysis_h2,te_zt,confirmation,ridge-primary,100,30,43,9,0.2382294362964,0.2585698209358701,0.0203403846394701,24.33994758346764,23.97720749252808,0.0160446863570916,-0.0029887972821149,0.0252726128735928,0.79,16.20485257011818,CO2R H2 Faradaic efficiency,Thermoelectric ZT,CO2 electroreduction,thermoelectric,0,distant-control,unrelated thermoelectric endpoint,0.2749497749396796,0,0,False,37.18752448354669,0.1932778420549813,interpolated,,,1,unresolved,,,,,unresolved
catalysis_h2,alloy_ys,confirmation,ridge-primary,100,30,43,9,0.2382294362964,0.2121574096054481,-0.0260720266909518,24.33994758346764,24.79674330583175,-0.0207229036765535,-0.0413815044457202,0.0009228976673959,0.19,-20.77115827550383,CO2R H2 Faradaic efficiency,Alloy yield strength,CO2 electroreduction,multi-principal-element alloy,0,distant-control,unrelated mechanical endpoint,0.3150891531964627,0,0,False,28.45070759139548,-0.0544553207904425,interpolated,,,0,unresolved,,,,,unresolved
catalysis_h2,electrolyte_conductivity,confirmation,ridge-primary,100,30,43,9,0.2382294362964,0.2418619441250583,0.0036325078286583,24.33994758346764,24.285436693155223,0.002187213927931,-0.0029788419783767,0.0101203953283618,0.66,2.893959719374384,CO2R H2 Faradaic efficiency,Solid-electrolyte ionic conductivity,CO2 electroreduction,solid electrolyte,0,distant-control,different electrochemical material function,0.4100609069794871,0,0,False,33.58560125310666,0.1067600733446745,interpolated,,,1,practically-equivalent,,,,,practically-equivalent
electrolyte_conductivity,te_electrical,confirmation,ridge-primary,100,30,55,22,-3.941349039110219,-3.819728253933936,0.1216207851762827,4.688896389648386,4.667334487754132,0.0014424800835108,-0.0187215696474215,0.033498258344538,0.55,0.8474568183327262,Solid-electrolyte ionic conductivity,Thermoelectric electrical conductivity,solid electrolyte,thermoelectric,2,cross-domain-transport,composition-mediated charge transport,0.3428031662453789,0,0,False,8.0,-2.75,no-savings,,,1,unresolved,,,,,unresolved
electrolyte_conductivity,te_power_factor,confirmation,ridge-primary,100,30,55,22,-3.941349039110219,-3.747836602785221,0.1935124363249971,4.688896389648386,4.660496180977963,0.0017783011190597,-0.0320432119510801,0.0534010605368638,0.59,1.3483997275473658,Solid-electrolyte ionic conductivity,Thermoelectric power factor,solid electrolyte,thermoelectric,1,cross-domain-transport,electronic transport composite,0.4310351864936504,0,0,False,8.0,-2.75,no-savings,,,1,unresolved,,,,,unresolved
electrolyte_conductivity,te_thermal,confirmation,ridge-primary,100,30,55,22,-3.941349039110219,-3.864675210955014,0.0766738281552051,4.688896389648386,4.719040058988451,-0.0204955927912856,-0.04439556758384,0.0711297394748681,0.18,0.5342652439187795,Solid-electrolyte ionic conductivity,Thermoelectric thermal conductivity,solid electrolyte,thermoelectric,1,cross-domain-transport,lattice transport context,0.5713319598750842,0,0,True,8.0,-2.75,no-savings,0.76,0.76,1,unresolved,0.76,0.76,999.0,uniform-post-discovery-resolution-refinement,unresolved
electrolyte_conductivity,alloy_ys,confirmation,ridge-primary,100,30,55,22,-3.941349039110219,-3.76215383989994,0.1791951992102793,4.688896389648386,4.6482257698424645,0.000153555959317,-0.0057060463353348,0.0397593894927855,0.51,1.2486368441309526,Solid-electrolyte ionic conductivity,Alloy yield strength,solid electrolyte,multi-principal-element alloy,0,distant-control,mechanical endpoint,0.3150891531964627,0,0,False,8.0,-2.75,no-savings,,,1,unresolved,,,,,unresolved
electrolyte_conductivity,catalysis_h2,confirmation,ridge-primary,100,30,55,22,-3.941349039110219,-3.99744352714848,-0.0560944880382616,4.688896389648386,4.708241656364538,-0.0044133778291427,-0.0107013984996186,0.0017437939863631,0.4,-0.390867862676641,Solid-electrolyte ionic conductivity,CO2R H2 Faradaic efficiency,solid electrolyte,CO2 electroreduction,0,distant-control,surface selectivity endpoint,0.2364169130709764,0,0,False,8.0,-2.75,no-savings,,,0,practically-equivalent,,,,,practically-equivalent
solubility,hydration,confirmation,ridge-primary,100,30,750,395,0.1300489735679148,0.1330928105755909,0.003043837007676,2.6652858869837326,2.6606232361548434,0.0017459938939196,0.0006662728583404,0.0028045938244483,0.81,0.025010139922042,Aqueous solubility,Hydration free energy,aqueous molecular thermodynamics,aqueous molecular thermodynamics,3,cross-dataset-thermodynamic,aqueous solvation contribution,0.4627047025931091,71,0,False,34.815630485235666,0.1383180605411652,interpolated,,,1,practically-equivalent,,,,,practically-equivalent
