target,source,stage,learner,repeats,train_n,test_n,test_groups,base_r2_mean,aug_r2_mean,delta_r2_mean,base_rmse_mean,aug_rmse_mean,relative_rmse_improvement_mean,relative_rmse_ci_lo,relative_rmse_ci_hi,fraction_repeats_positive,mse_improvement_mean
te_zt,te_power_factor,confirmation,random-forest-sensitivity,40,30,174,60,-0.3251608322327514,-0.17383696951560568,0.15132386271714574,0.3011685955146145,0.28365241639836053,0.05642094097618955,-0.0026348146511923866,0.13194688138609276,0.9,0.010413310887197193
te_zt,te_power_factor,confirmation,extra-trees-sensitivity,40,30,174,60,-0.39329622262835706,-0.25154143721169736,0.14175478541665973,0.30853419749836064,0.2924746266609814,0.05143912433539007,0.02181570754874216,0.09213159064742339,0.95,0.009754817408083193
alloy_ys,alloy_uts,confirmation,random-forest-sensitivity,40,30,79,30,0.116441368275555,0.19302647102385245,0.07658510274829747,0.30079956982298817,0.2875678350094099,0.04284233040424409,-0.009599201864500964,0.113871088657359,0.85,0.007861086884638485
alloy_ys,alloy_uts,confirmation,extra-trees-sensitivity,40,30,79,30,0.08003399286488477,0.15526258304114862,0.07522859017626385,0.3064134800371166,0.29371922983112936,0.040743080804995314,0.01753856966160544,0.07653625934594224,0.925,0.007721847492038758
alloy_ys,alloy_hardness,confirmation,random-forest-sensitivity,40,30,79,30,0.11644136827555492,0.15314701690009067,0.03670564862453572,0.3007995698229882,0.2946235801837569,0.019745681056515522,-0.013440675120987691,0.05923152266798008,0.8,0.0037676556228280434
alloy_ys,alloy_hardness,confirmation,extra-trees-sensitivity,40,30,79,30,0.08003399286488484,0.1313502048746657,0.05131621200978086,0.30641348003711655,0.29816056003021985,0.025208541681556083,0.002742717363352823,0.06198108053092257,0.825,0.005267358620973897
electrolyte_conductivity,te_thermal,confirmation,random-forest-sensitivity,40,30,55,22,-0.15835757982108836,-0.12422305877089883,0.03413452105018955,2.8285751657118974,2.7840921887785326,0.015511786908052442,-0.045492296762236414,0.08442649408770571,0.625,0.2378502372154255
electrolyte_conductivity,te_thermal,confirmation,extra-trees-sensitivity,40,30,55,22,0.005841349462587064,-0.02039065831944998,-0.02623200778203704,2.610392104690149,2.6451890281675987,-0.013633517505793735,-0.037847507310263095,0.01863584502169998,0.3,-0.18278531766772063
photo_z_pipi,photo_e_pipi,confirmation,random-forest-sensitivity,40,20,16,4,-0.413632498459798,-0.15781946151069887,0.2558130369490992,24.6482368640809,22.164189002945296,0.10185409505874521,-0.1769005395595744,0.1280058366827312,0.9,112.6176924381386
photo_z_pipi,photo_e_pipi,confirmation,extra-trees-sensitivity,40,20,16,4,-0.5376390270072983,-0.3667185934788545,0.17092043352844372,25.568701766457412,23.914418452647254,0.06605775937165738,-0.08527733011846464,0.09193720034206798,0.65,75.24505022912348
