target,train_n,rmse_mean,rmse_sd,repeats_used,rmse_monotone,learning_curve_spearman_rho,valid_for_target_equivalence
kit_conductivity_minus_30_C,8,0.16551583414599555,0.017251680263536483,60,0.16551583414599555,-1.0,True
kit_conductivity_minus_30_C,15,0.1322762901391538,0.013244260997402684,60,0.1322762901391538,-1.0,True
kit_conductivity_minus_30_C,30,0.10219749920909571,0.00936810539056758,100,0.10219749920909571,-1.0,True
kit_conductivity_minus_30_C,45,0.08842910724650657,0.006322370849074827,60,0.08842910724650657,-1.0,True
kit_conductivity_minus_30_C,60,0.08019233836368632,0.006400036148401039,60,0.08019233836368632,-1.0,True
kit_conductivity_minus_30_C,75,0.07365459483880607,0.00330639817321989,60,0.07365459483880607,-1.0,True
