arm,seed,target,source_rows,prediction_mean,prediction_sd
bamboo_all,2026073101,solventseg,10407,0.7337837022991427,0.2716205462240692
bamboo_all,2026073101,finales,10407,0.9322684258052069,0.0787097701429828
bamboo_all,2026073102,solventseg,10407,0.7364741041127603,0.2679236040395038
bamboo_all,2026073102,finales,10407,0.9330622803621677,0.08098084012310151
bamboo_all,2026073103,solventseg,10407,0.7348615809391151,0.2684990286110764
bamboo_all,2026073103,finales,10407,0.929837029252549,0.07785769230193398
bamboo_state_only,2026073101,solventseg,10407,0.6693754975322637,0.29260809650218866
bamboo_state_only,2026073101,finales,10407,0.9634663632783995,0.08537351571282648
bamboo_state_only,2026073102,solventseg,10407,0.6702873644688968,0.29065653260807
bamboo_state_only,2026073102,finales,10407,0.9772756596061815,0.0855785214178653
bamboo_state_only,2026073103,solventseg,10407,0.6714707746551767,0.2884070916043335
bamboo_state_only,2026073103,finales,10407,0.9583788252252666,0.0895612385319629
bamboo_chemistry_permuted,2026073101,solventseg,10407,0.6132207783377144,0.33837663207002106
bamboo_chemistry_permuted,2026073101,finales,10407,0.8738605703008624,0.15581043840343295
bamboo_chemistry_permuted,2026073102,solventseg,10407,0.6247589286781994,0.27579344316699805
bamboo_chemistry_permuted,2026073102,finales,10407,0.8722244520729426,0.13935380180207171
bamboo_chemistry_permuted,2026073103,solventseg,10407,0.6466254843561685,0.287822614728146
bamboo_chemistry_permuted,2026073103,finales,10407,0.9157095057251554,0.10833501597902637
bamboo_without_target_family,2026073101,solventseg,10012,0.7632389999118705,0.2519450869961251
bamboo_without_target_family,2026073101,finales,10012,0.9483021663594384,0.039312637290039754
bamboo_without_target_family,2026073102,solventseg,10012,0.7604213769474963,0.2611680294419557
bamboo_without_target_family,2026073102,finales,10012,0.9498566453458321,0.0422580243903387
bamboo_without_target_family,2026073103,solventseg,10012,0.7592165904503999,0.2588721535151739
bamboo_without_target_family,2026073103,finales,10012,0.9554225486845989,0.042650643098184345
bamboo_target_family_only,2026073101,solventseg,395,0.8008578165979325,0.19590669384107692
bamboo_target_family_only,2026073101,finales,395,0.9272510044774621,0.0605426454448784
bamboo_target_family_only,2026073102,solventseg,395,0.7998244873112834,0.19729886143859732
bamboo_target_family_only,2026073102,finales,395,0.9267360773156235,0.06002705813131677
bamboo_target_family_only,2026073103,solventseg,395,0.8018502983432974,0.19507500031078037
bamboo_target_family_only,2026073103,finales,395,0.9272017466280734,0.06040882418036988
calisol,2026073101,solventseg,410,0.8012053950664583,0.19459470449481722
calisol,2026073101,finales,410,0.9627982374306115,0.06261997501551386
calisol,2026073102,solventseg,410,0.8032888827542578,0.19091007087234418
calisol,2026073102,finales,410,0.9621482351535526,0.06324083974473506
calisol,2026073103,solventseg,410,0.8020898863071415,0.19055217270181668
calisol,2026073103,finales,410,0.9630669062676751,0.06224655467639122
kit,2026073101,solventseg,1089,0.7802784299523088,0.15051367323739734
kit,2026073101,finales,1089,0.9093155673726399,0.045639331073891586
kit,2026073102,solventseg,1089,0.7811072293618313,0.15040762000325683
kit,2026073102,finales,1089,0.9110983880200884,0.046714143985758655
kit,2026073103,solventseg,1089,0.7796700028722228,0.1508479820556487
kit,2026073103,finales,1089,0.9098929903580497,0.045823524914567246
