base_rmse_mean,aug_rmse_mean,relative_rmse_improvement_mean,relative_rmse_ci_lo,relative_rmse_ci_hi,pooled_base_r2,pooled_aug_r2,effect_fold_0,effect_fold_1,effect_fold_2,effect_fold_3,effect_fold_4,target,source,target_temperature_C,source_temperature_C,absolute_temperature_distance_C,relation,train_n,independent_formulations,source_test_formulations_seen_during_fit,source_pooled_oof_r2,target_equivalent_n,target_sample_fraction_saved,target_equivalence_status,primary_permutation_p,edge_status,primary_positive_learners_of_three,evidence_layer,label,effect,lo,hi,color,marker,plot_y,is_primary,bootstrap_articles,target_units,target_articles,source_test_articles_seen_during_fit,source_test_exact_chemistry_seen_during_fit,source_pooled_article_oof_r2
0.1022039167611365,0.0868352827562563,0.1501882606865164,0.086123034436653,0.211030136944933,0.7388469154309338,0.8110159488229737,0.1556448157735799,0.1080575345340759,0.1807744065840931,0.0212957137459829,0.2575193417879278,kit_conductivity_minus_30_C,temperature_-20_C,-30,-20,10,adjacent-condition-primary,30,108.0,0.0,0.8592808928736606,47.88407252224965,0.3734868731965039,interpolated,0.001,within-campaign-local-neighbor-rescue-gate-passed,3.0,KIT,KIT −20 °C (ΔT 10; primary),0.1501882606865164,0.086123034436653,0.211030136944933,#2A9D8F,o,8.5,True,,,,,,
0.1022039167611365,0.0970933077080387,0.0500755801095588,0.004857988654719,0.08121883541232,0.7388469154309338,0.7638080493338655,0.0868026858133165,0.0406614726919768,0.0567548411762563,-0.0105474346959609,0.0383112040973607,kit_conductivity_minus_30_C,temperature_0_C,-30,0,30,temperature-distance-control,30,108.0,0.0,0.7946639347981096,35.5602786793179,0.1563620670540976,interpolated,,control-positive,,KIT,KIT 0 °C (ΔT 30),0.0500755801095588,0.004857988654719,0.08121883541232,#77A9D7,o,7.5,False,,,,,,
0.1022039167611365,0.1012342266046605,0.0094690150045978,-0.0137303951716772,0.0282434621274409,0.7388469154309338,0.7435564876305605,0.0356554229539969,0.0220122822875007,-0.0210995000624308,-0.0150911927710626,0.0052668470349926,kit_conductivity_minus_30_C,temperature_30_C,-30,30,60,temperature-distance-control,30,108.0,0.0,0.8579947255272946,31.05501075245221,0.0339723196640305,interpolated,,unresolved,,KIT,KIT 30 °C (ΔT 60),0.0094690150045978,-0.0137303951716772,0.0282434621274409,#767676,o,6.5,False,,,,,,
0.1022039167611365,0.1029587636277617,-0.0076473701196165,-0.0198921608869204,0.0080543575347188,0.7388469154309338,0.7350340690598409,-0.0295243603089332,-0.0074100091590388,-0.0156637851271869,0.0262465556912205,0.0012277517863405,kit_conductivity_minus_30_C,temperature_60_C,-30,60,90,temperature-distance-control,30,108.0,0.0,0.8878578230158193,29.62364779388388,-0.0127044518195298,interpolated,,unresolved,,KIT,KIT 60 °C (ΔT 90),-0.0076473701196165,-0.0198921608869204,0.0080543575347188,#767676,o,5.5,False,,,,,,
0.1022039167611365,0.1051332755690308,-0.0295627018375946,-0.0431860239301545,-0.0143916087180729,0.7388469154309338,0.7239627413440268,-0.0474636451549235,-0.0180558810108214,-0.0340999213616,-0.0126471212438084,-0.0380059238440704,kit_conductivity_minus_30_C,shuffled_temperature_-20_C,-30,-20,10,shuffled-source-placebo,30,108.0,0.0,-0.2123922855823308,28.53947774230586,-0.0511755075156514,interpolated,,harmful,,KIT,KIT shuffled −20 °C,-0.0295627018375946,-0.0431860239301545,-0.0143916087180729,#B64342,o,4.5,False,,,,,,
0.5601273893685857,0.5508226441269317,0.0160923731083838,-0.0213954581637092,0.0421053411135756,-0.0492738914875483,-0.0144702575431807,-0.0077843620496486,2.863177503236591e-05,-0.0385230578904463,0.0311377838490523,0.06451425431083,calisol_conductivity_minus_40_C,temperature_-30_C,-40,-30,10,adjacent-condition-primary,30,,,,36.11563095844004,0.1693347394505605,interpolated,0.004,cross-article-borrowing-unresolved,3.0,CALiSol,CALiSol −30 °C (ΔT 10; primary),0.0160923731083838,-0.0213954581637092,0.0421053411135756,#E28E2C,s,2.8,True,15.0,891.0,15.0,0.0,0.0,0.1187547871527247
0.5601273893685857,0.547164082865786,0.0218147626946201,-0.0500730324470329,0.0647819646837239,-0.0492738914875483,0.0003386745011443,0.0247959661454637,-0.0104982034181113,-0.1012609665397931,0.0545320546538889,0.0715850136749168,calisol_conductivity_minus_40_C,temperature_0_C,-40,0,40,temperature-distance-control,30,,,,38.52025461345963,0.2211889484884792,interpolated,,unresolved,,CALiSol,CALiSol 0 °C (ΔT 40 control),0.0218147626946201,-0.0500730324470329,0.0647819646837239,#767676,s,1.8,False,15.0,891.0,15.0,0.0,0.0,0.2188890404506445
0.5601273893685857,0.5554408983405247,0.00833464033561,-0.0138289242415761,0.0379334051425522,-0.0492738914875483,-0.0321585107983835,0.0239158427164237,0.0750814903984784,-0.014584860920709,-0.0104435336480842,-0.0397308467824817,calisol_conductivity_minus_40_C,shuffled_temperature_-30_C,-40,-30,10,shuffled-source-placebo,30,,,,33.08024012192804,0.0931142008212398,interpolated,,unresolved,,CALiSol,CALiSol shuffled −30 °C,0.00833464033561,-0.0138289242415761,0.0379334051425522,#B64342,s,0.8,False,15.0,891.0,15.0,0.0,0.0,-0.4368684414262189
