donor,raw_row_id,material_key,elemental_system,doi,value_raw,log_value,temperature_c,process_cast_or_melt,process_wrought,process_powder,process_heat_treated,process_additive,phase_fcc,phase_bcc,phase_hcp,phase_amorphous,phase_multiphase
borg_ys,759,Al:0.2|Cr:0.2|Fe:0.2|Ni:0.4,Al|Cr|Fe|Ni,10.1016/j.jallcom.2018.08.176,774.0,2.8887409606828927,25.0,1,0,0,0,0,0,0,0,0,0
borg_ys,423,Al:0.2|Cr:0.2|Mo:0.2|Nb:0.2|Ti:0.2,Al|Cr|Mo|Nb|Ti,10.1016/j.jallcom.2015.11.050,1080.0,3.03342375548695,400.0,1,0,0,0,0,0,1,0,0,0
borg_ys,424,Al:0.2|Cr:0.2|Mo:0.2|Nb:0.2|Ti:0.2,Al|Cr|Mo|Nb|Ti,10.1016/j.jallcom.2015.11.050,1060.0,3.0253058652647704,600.0,1,0,0,0,0,0,1,0,0,0
borg_ys,425,Al:0.2|Cr:0.2|Mo:0.2|Nb:0.2|Ti:0.2,Al|Cr|Mo|Nb|Ti,10.1016/j.jallcom.2015.11.050,860.0,2.934498451243568,800.0,1,0,0,0,0,0,1,0,0,0
borg_ys,426,Al:0.2|Cr:0.2|Mo:0.2|Nb:0.2|Ti:0.2,Al|Cr|Mo|Nb|Ti,10.1016/j.jallcom.2015.11.050,594.0,2.7737864449811935,1000.0,1,0,0,0,0,0,1,0,0,0
borg_ys,427,Al:0.2|Cr:0.2|Mo:0.2|Nb:0.2|Ti:0.2,Al|Cr|Mo|Nb|Ti,10.1016/j.jallcom.2015.11.050,105.0,2.0211892990699383,1200.0,1,0,0,0,0,0,1,0,0,0
borg_ys,428,Al:0.2|Cr:0.2|Mo:0.2|Nb:0.2|Ti:0.2,Al|Cr|Mo|Nb|Ti,10.1007/s11661-017-4386-1,930.0,2.9684829485539352,600.0,0,0,0,1,0,0,1,0,0,0
borg_ys,429,Al:0.2|Cr:0.2|Mo:0.2|Nb:0.2|Ti:0.2,Al|Cr|Mo|Nb|Ti,10.1007/s11661-017-4386-1,875.0,2.942008053022313,800.0,0,0,0,1,0,0,1,0,0,0
borg_ys,430,Al:0.2|Cr:0.2|Mo:0.2|Nb:0.2|Ti:0.2,Al|Cr|Mo|Nb|Ti,10.1007/s11661-017-4386-1,550.0,2.7403626894942437,1000.0,0,0,0,1,0,0,1,0,0,0
borg_ys,431,Al:0.2|Cr:0.2|Mo:0.2|Nb:0.2|Ti:0.2,Al|Cr|Mo|Nb|Ti,10.1007/s11661-017-4386-1,150.0,2.1760912590556813,1200.0,0,0,0,1,0,0,1,0,0,0
borg_ys,918,Al:0.2|Cr:0.2|Mo:0.2|Nb:0.2|Ti:0.2,Al|Cr|Mo|Nb|Ti,10.1016/j.actamat.2019.06.032,1010.0,3.0043213737826426,23.0,0,0,0,1,0,0,0,0,0,0
borg_ys,944,Al:0.2|Cr:0.2|Mo:0.2|Nb:0.2|Ti:0.2,Al|Cr|Mo|Nb|Ti,10.1016/j.actamat.2019.06.032,550.0,2.7403626894942437,1000.0,0,0,0,1,0,0,0,0,0,0
borg_ys,970,Al:0.2|Cr:0.2|Mo:0.2|Nb:0.2|Ti:0.2,Al|Cr|Mo|Nb|Ti,10.1016/j.actamat.2019.06.032,105.0,2.0211892990699383,1200.0,0,0,0,1,0,0,0,0,0,0
borg_ys,607,Al:0.2|Cr:0.2|Nb:0.2|Ti:0.2|V:0.2,Al|Cr|Nb|Ti|V,10.1016/j.jallcom.2015.08.224,1015.0,3.0064660422492318,600.0,0,0,0,1,0,0,0,0,0,0
