file_id,archive_name,archive_bytes,archive_sha256,download_url,supplied_md5,serial_internal,serial,stage,lab,type,tp,cell,sampling,mapping_method,metadata_conflict_flags
47628571,TP_k08_04.zip,15876600,54e9f3f05a642c2a0f2a7c90ff3b0ebb589ff6cd34fe4cc68ece75cf2b2b1730,https://ndownloader.figshare.com/files/47628571,5ef3254b13fe22a33a442d7ec21e7ec1,TP_k08_04,TP_k08_04,2,HM,k,8,4,manual,exact-archive-serial-plus-internal-serial,
47629369,TP_k10_05.zip,15156884,60277f22508762fa673a1f482ea8b22dd4a7a9f9e8570bbf2c7b79960c0dd3c7,https://ndownloader.figshare.com/files/47629369,bbdb75abcc01bdac063b21e27ff77a72,TP_k10_05,TP_k10_05,2,HM,k,10,5,manual,exact-archive-serial-plus-internal-serial,
47629381,TP_k09_05.zip,15565839,c2dbf519f7bb8ec9b40b236af4d615f1c9b0682467798d51c91431afb640a162,https://ndownloader.figshare.com/files/47629381,358cb76b07322006cedb0d8fa8ea099a,TP_k09_05,TP_k09_05,2,HM,k,9,5,manual,exact-archive-serial-plus-internal-serial,
47629387,TP_k10_04.zip,15500485,2f72d59c98eb49c2521a2ff6812ae23cc6f582f355f3daa0b15b585067c28141,https://ndownloader.figshare.com/files/47629387,384213cc13bb943a0af7641637159dfe,TP_k10_04,TP_k10_04,2,HM,k,10,4,manual,exact-archive-serial-plus-internal-serial,
47629390,TP_k09_06.zip,15592551,f91d40069c1b17b8fe0168132fcf5bafd0f95f0620b72ecef73d7ec4f3cd185a,https://ndownloader.figshare.com/files/47629390,04ba2b3acca8b87016c952d7a802d43b,TP_k09_06,TP_k09_06,2,HM,k,9,6,manual,exact-archive-serial-plus-internal-serial,
47629393,TP_k08_05.zip,15729611,a62c3d9391bcd4fe664331bdb66dbdc4f4f63784bd8b4e6d6f58f9fad55cc67b,https://ndownloader.figshare.com/files/47629393,e51479651b95765519103aaaa4a2e73b,TP_k08_05,TP_k08_05,2,HM,k,8,5,manual,exact-archive-serial-plus-internal-serial,
47629396,TP_k09_04.zip,15687855,47f8d43366d42b2c4eeb29cd28e587ab8be12dfb1ff1a4d4dd41e3b8df44bd90,https://ndownloader.figshare.com/files/47629396,d191839396e32c57983649855b940536,TP_k09_04,TP_k09_04,2,HM,k,9,4,manual,exact-archive-serial-plus-internal-serial,
47629402,TP_k08_06.zip,15744472,f1e5c766a6249b46f6056e60f568c379755761ca15faee1c542e1cfc20ba9c8a,https://ndownloader.figshare.com/files/47629402,baa2b7fd3430ba4ed2338ac39f013965,TP_k08_06,TP_k08_06,2,HM,k,8,6,manual,exact-archive-serial-plus-internal-serial,
47629411,TP_k11_04.zip,15548611,2e9b2aa6ec8be1ef9e3f3970885845b3321badf7aa0df5735f6e4e79c2a57f59,https://ndownloader.figshare.com/files/47629411,a66d84efd5cbb10326a2752a89f05411,TP_k11_04,TP_k11_04,2,HM,k,11,4,manual,exact-archive-serial-plus-internal-serial,
47629423,TP_k10_06.zip,15927756,c2b0b5da59b1d0ee8bf19a08cbb5b2bad761067cd4b6e62d95906b5714708721,https://ndownloader.figshare.com/files/47629423,ff5218608a42e47dadf30202fcaf20d2,TP_k10_06,TP_k10_06,2,HM,k,10,6,manual,exact-archive-serial-plus-internal-serial,
47629687,TP_k11_06.zip,15764540,e85f0dd9ac5eaa5e66692e2026869e2e5c7e817319dc5fb88f2e61dbd8fbc9a4,https://ndownloader.figshare.com/files/47629687,f16428a265ae1089b67463f50fc5b0b0,TP_k11_06,TP_k11_06,2,HM,k,11,6,manual,exact-archive-serial-plus-internal-serial,
47629771,TP_z20_02.zip,15551818,27bfe6c32db77425b4ff6d01eab31eb735f2c6621f2d809cabac7a3b1b9fbd10,https://ndownloader.figshare.com/files/47629771,9517264fa34129d9085263ac25579915,TP_z20_02,TP_z20_02,2,HM,z,20,2,pi,exact-archive-serial-plus-internal-serial,
47629774,TP_k11_05.zip,16091738,715b36166a28a44c4afdaeeced890ef843cbdbf9ddce2005d07652efc03570dd,https://ndownloader.figshare.com/files/47629774,4fbcb66888dc12bca39209412e8f7fd5,TP_k11_05,TP_k11_05,2,HM,k,11,5,manual,exact-archive-serial-plus-internal-serial,
47629804,TP_k05_05.zip,18495583,0d584d6a9f29902030b1aa9a78fc5cb4b62c0d222159ba02b05f4799381772c8,https://ndownloader.figshare.com/files/47629804,921ded41d2d82f4d36a5893b892a0ac1,INT023,TP_k05_05,2,INT,k,5,5,pi,archive-serial-plus-validated-lab-date-envelope,archive_internal_serial_conflicts_with_experiments_meta;validated_lab_date_envelope_required_after_both_twin_internal_serials_conflicted
47629813,TP_k06_04.zip,18765393,8883defb67fe3d066e65407b09b78f5e28784fa605c2f43e315d296629ad856e,https://ndownloader.figshare.com/files/47629813,cfd2e54be51bb433c4232eb201cac757,INT043,TP_k06_04,2,INT,k,6,4,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47629819,TP_k04_06.zip,18649384,94f5152d0b47833862e0d64cf34bced32bb8d13d39baacb66fd6a0d3618d9a3a,https://ndownloader.figshare.com/files/47629819,f1789df6ce9b2d7f8db667976f3d7838,INT190,TP_k04_06,2,INT,k,4,6,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47629822,TP_k04_05.zip,18609773,ec38c3c8dcbe273bf85e0f08e8e690c8e9501c52e6614c1f91053615350e1446,https://ndownloader.figshare.com/files/47629822,92d2b4855bd5f92c3f7e14f7b44ee16f,INT165,TP_k04_05,2,INT,k,4,5,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47629825,TP_z23_01.zip,15918136,417a8d02be24837433bf55fa4ed2a82db425940a806df70d628cdfbd7b49380a,https://ndownloader.figshare.com/files/47629825,e088f493d18684fba4d01dcf6758cca0,TP_z23_01,TP_z23_01,2,HM,z,23,1,pi,exact-archive-serial-plus-internal-serial,
47629831,TP_k07_06.zip,18835357,dab6522385bb38f480721e7e8d9211dccc02050929a8db33c1c437c847b14d3e,https://ndownloader.figshare.com/files/47629831,2dc86d4cf65c458c14651bb4d6a30db1,INT151,TP_k07_06,2,INT,k,7,6,pi,archive-serial-plus-complement-of-exactly-mapped-twin-stage,archive_internal_serial_conflicts_with_experiments_meta
