target,train_n,repeats,rmse_mean,rmse_ci_lo,rmse_ci_hi,rmse_monotone
te_zt,8,60,0.7122772196023985,0.28135540557101685,2.7817065182696714,1.3212384803075774
te_zt,10,60,0.7552804350067132,0.2886623458178492,2.7605339472478203,1.3212384803075774
te_zt,15,60,1.039094185799505,0.3010612091717095,4.187597697215818,1.3212384803075774
te_zt,20,60,1.3014776830063157,0.3215714372975782,5.339197905333299,1.3212384803075774
te_zt,30,60,1.2141717495118214,0.3080529216260204,4.067040888618681,1.3212384803075774
te_zt,40,60,1.3759940865498421,0.3126616834159559,5.520246941405251,1.3212384803075774
te_zt,50,60,1.2177044203150709,0.3115398815424773,3.897642949763524,1.3212384803075774
te_zt,60,60,1.4172664067413459,0.30930118918123484,6.315541993513589,1.3212384803075774
te_zt,80,60,1.6781622662259155,0.31539506048993127,8.142777444803293,1.3212384803075774
te_zt,100,60,1.7830004973608753,0.30898490066469303,7.301903736372997,1.3212384803075774
te_zt,120,60,2.0391943332635463,0.31093343924027267,7.211542473004572,1.3212384803075774
alloy_ys,8,60,0.3447572957751893,0.2919286613157494,0.48070994022887104,0.3447572957751893
alloy_ys,10,60,0.3431211072422895,0.29512692704826854,0.4686635578627744,0.3431211072422895
alloy_ys,15,60,0.33513210518492936,0.294044029324295,0.38831266575580875,0.33513210518492936
alloy_ys,20,60,0.32891641634735846,0.29411899086053467,0.3777161166963513,0.3342382318197621
alloy_ys,30,60,0.33956004729216577,0.29536909384870175,0.46397945242149113,0.3342382318197621
alloy_ys,40,60,0.32508017878075257,0.2972459803473459,0.38540694146877014,0.32508017878075257
alloy_ys,50,60,0.31915958298950736,0.2981296115425534,0.34509667301278657,0.31915958298950736
alloy_ys,60,60,0.3151737937693271,0.296415980932123,0.34867312851528204,0.3151737937693271
alloy_ys,80,60,0.3127595630126666,0.2980875397588258,0.33803132605884034,0.3127595630126666
alloy_ys,100,60,0.31248951154242177,0.2987643174942871,0.3360432855133921,0.31248951154242177
alloy_ys,120,60,0.3114732201061678,0.29749316981600654,0.32924026838768894,0.3114732201061678
catalysis_h2,8,60,28.92945676486091,19.578181083715066,41.04721671259008,28.92945676486091
catalysis_h2,10,60,28.649012514994876,20.605495529711952,38.42067113325357,28.649012514994876
catalysis_h2,15,60,27.494057634102266,20.80756062582899,35.178549759923015,27.494057634102266
catalysis_h2,20,60,25.912059668961408,19.60537360810159,34.061238715420245,25.912059668961408
catalysis_h2,30,60,24.59226916495051,20.513769814066876,30.793643193883174,24.59226916495051
catalysis_h2,40,60,23.73653410090948,20.364427315500585,29.9859533786003,23.73653410090948
catalysis_h2,50,60,22.793281172421946,20.003097582570106,25.83724672499305,22.793281172421946
catalysis_h2,60,60,22.443203749681754,20.2194653934531,25.542205182546695,22.443203749681754
catalysis_h2,80,60,22.09584461131645,19.86950204909455,24.440772226172452,22.09584461131645
catalysis_h2,100,60,21.799965880779393,20.518220337228577,23.22240783843329,21.799965880779393
catalysis_h2,120,60,21.777817817746225,21.199537072258252,22.4153386385947,21.777817817746225
electrolyte_conductivity,8,60,4.228724780757051,2.5073976354910323,8.942685685270604,4.525379594441127
electrolyte_conductivity,10,60,4.178144883192645,2.4941519488102233,9.955505896001398,4.525379594441127
electrolyte_conductivity,15,60,4.440189171437653,2.478519657628709,10.702732418676133,4.525379594441127
electrolyte_conductivity,20,60,4.5467910108450456,2.4826934145827058,11.050391544828974,4.525379594441127
electrolyte_conductivity,30,60,4.6812829165483265,2.6048442603352067,13.053236917025638,4.525379594441127
electrolyte_conductivity,40,60,4.745554222483415,2.5372498513732653,13.32178972151071,4.525379594441127
electrolyte_conductivity,50,60,4.856970175823752,2.5854577504210465,14.205142475224129,4.525379594441127
electrolyte_conductivity,60,60,4.460714433862464,2.5249335982481393,12.988169444791549,4.460714433862464
electrolyte_conductivity,80,60,3.9919332391519426,2.49102807696067,10.078754882461137,3.9919332391519426
electrolyte_conductivity,100,60,3.9657347875618925,2.449723724194932,10.14796782972923,3.9657347875618925
electrolyte_conductivity,120,60,3.875692271297586,2.4066392658859024,11.767110534415128,3.875692271297586
solubility,8,60,3.012411725994438,2.4088041195044636,3.7016250896644913,3.012411725994438
solubility,10,60,2.9299817072073124,2.3679904337553275,3.529808282744112,2.9299817072073124
solubility,15,60,2.8400359782378737,2.3944711293357734,3.2341137905916026,2.8400359782378737
solubility,20,60,2.7788041983016183,2.3908857864036968,3.1503553525576993,2.7788041983016183
solubility,30,60,2.7171920743824955,2.272183168018396,3.120649054513633,2.7171920743824955
solubility,40,60,2.599722849114719,2.2363438530737496,3.037626487658838,2.599722849114719
solubility,50,60,2.5573696346311663,2.2118362774637257,2.918780160551855,2.5573696346311663
solubility,60,60,2.5019212523102055,2.1477696786047,2.8749749658278363,2.5019212523102055
solubility,80,60,2.4554558329617464,2.1792280407146745,2.8435847644595555,2.4554558329617464
solubility,100,60,2.4297250272285718,2.130160436509248,2.8636326520132838,2.4297250272285718
solubility,120,60,2.423667425277158,2.1602593393126703,2.772941612963299,2.423667425277158
hydration,8,60,3.9760144493066956,3.613409828369847,4.841878154553791,3.9760144493066956
hydration,10,60,3.8979816527151376,3.5360714936593918,4.437016573626415,3.8979816527151376
hydration,15,60,3.79733352667683,3.4387433222890267,4.309987290909737,3.79733352667683
hydration,20,60,3.720561438166934,3.358868913549673,4.119371219457334,3.720561438166934
hydration,30,60,3.5974170972746786,3.337285838164091,3.910432814145837,3.5974170972746786
hydration,40,60,3.5108120186354395,3.2449626611794007,3.7709630078517757,3.5108120186354395
hydration,50,60,3.438380181286392,3.2164481441619266,3.7993188006582903,3.438380181286392
hydration,60,60,3.377634049732494,3.172682344663175,3.7552075094347086,3.377634049732494
hydration,80,60,3.257714479532815,3.0239938195479508,3.5992655174643753,3.257714479532815
hydration,100,60,3.1990366738224667,2.9544129694051744,3.5862491475399625,3.1990366738224667
hydration,120,60,3.1441622521478294,2.902388752039702,3.4731580447762265,3.1441622521478294
photo_z_pipi,8,60,26.93000625877909,21.562851587779914,34.87355835197226,27.180497707229243
photo_z_pipi,10,60,26.551009064524035,21.578062025931406,34.67349558184628,27.180497707229243
photo_z_pipi,15,60,26.25377647624804,21.641409643125765,33.12508414551415,27.180497707229243
photo_z_pipi,20,60,26.811398090713578,21.801831314497907,33.49775512672267,27.180497707229243
photo_z_pipi,30,60,26.986063563510992,22.538744686743613,33.39541805268308,27.180497707229243
photo_z_pipi,40,60,27.816202235623052,23.95176982857871,32.46925998693724,27.180497707229243
photo_z_pipi,48,60,28.91502826120591,28.915028261205915,28.915028261205915,27.180497707229243
polymer_tensile,8,60,0.4509883730826284,0.33367954562449686,0.6917800987757173,0.4509883730826284
polymer_tensile,10,60,0.430552344051016,0.31256646778717806,0.5494555773323205,0.430552344051016
polymer_tensile,15,60,0.40728998081067114,0.31215354316633925,0.5559095202632803,0.40728998081067114
polymer_tensile,20,60,0.3935141410840516,0.3099257557674079,0.5007158634902665,0.3935141410840516
