target,contract,method,learner,repeat,train_n,q1_relative_rmse_gain,q4_relative_rmse_gain,gain_specific,q4_r2,selected_sources,blend
alloy_ys,partially_paired_same_domain_multi_property,mechanism_bundle_feature_concat,extra_trees,1,30,0.1314863952513282,0.08164301571802414,-0.04984337953330405,-0.36254444685462617,alloy_uts|alloy_hardness|alloy_elongation,
alloy_ys,partially_paired_same_domain_multi_property,safe_crossfit_residual_stack,extra_trees,1,30,0.0,0.0,0.0,-0.6155768134506261,,0.0
alloy_ys,partially_paired_same_domain_multi_property,mechanism_bundle_feature_concat,ridge_alpha_10,2,30,0.1583983522725441,0.08300511623225836,-0.07539323604028574,-0.3703608359550352,alloy_uts|alloy_hardness|alloy_elongation,
alloy_ys,partially_paired_same_domain_multi_property,safe_crossfit_residual_stack,ridge_alpha_10,2,30,0.0,0.0,0.0,-0.6296754118959218,,0.0
alloy_ys,partially_paired_same_domain_multi_property,mechanism_bundle_feature_concat,random_forest,2,30,0.199869703096419,0.06199333692687197,-0.13787636616954702,0.05806109797999015,alloy_uts|alloy_hardness|alloy_elongation,
alloy_ys,partially_paired_same_domain_multi_property,safe_crossfit_residual_stack,random_forest,2,30,0.0,0.0,0.0,-0.07055969019103814,,0.0
alloy_ys,partially_paired_same_domain_multi_property,mechanism_bundle_feature_concat,extra_trees,2,30,0.09480992780808467,-0.02587125033586928,-0.12068117814395395,-0.21251749742460024,alloy_uts|alloy_hardness|alloy_elongation,
alloy_ys,partially_paired_same_domain_multi_property,safe_crossfit_residual_stack,extra_trees,2,30,0.0,0.0,0.0,-0.15213215185500073,,0.0
electrolyte_conductivity,unpaired_cross_database_transport,mechanism_bundle_feature_concat,ridge_alpha_10,0,30,0.05689386145785147,0.08254544513523372,0.025651583677382253,-2.711570065359012,te_electrical|te_power_factor|te_thermal,
electrolyte_conductivity,unpaired_cross_database_transport,safe_crossfit_residual_stack,ridge_alpha_10,0,30,-0.22654531087282634,0.007095661160642582,0.23364097203346892,-3.3471373093424086,te_electrical|te_power_factor|te_thermal,0.25
electrolyte_conductivity,unpaired_cross_database_transport,mechanism_bundle_feature_concat,random_forest,0,30,0.12420518609853694,0.11201264370913405,-0.012192542389402886,0.30315174455236105,te_electrical|te_power_factor|te_thermal,
electrolyte_conductivity,unpaired_cross_database_transport,safe_crossfit_residual_stack,random_forest,0,30,0.2526412668403948,-0.44447843000014936,-0.6971196968405442,-0.843939955889671,te_power_factor|te_thermal,1.0
electrolyte_conductivity,unpaired_cross_database_transport,mechanism_bundle_feature_concat,extra_trees,0,30,-0.13399362432619338,0.0638977911891297,0.19789141551532308,-0.12283731470430381,te_electrical|te_power_factor|te_thermal,
electrolyte_conductivity,unpaired_cross_database_transport,safe_crossfit_residual_stack,extra_trees,0,30,-0.16073672449708945,-0.0948680766200305,0.06586864787705896,-0.5360094340750303,te_thermal,1.0
electrolyte_conductivity,unpaired_cross_database_transport,mechanism_bundle_feature_concat,ridge_alpha_10,1,30,0.06114212459842098,0.05105675655931995,-0.010085368039101025,-14.392858503587693,te_electrical|te_power_factor|te_thermal,
electrolyte_conductivity,unpaired_cross_database_transport,safe_crossfit_residual_stack,ridge_alpha_10,1,30,-0.021238217531400667,-0.007473179412546757,0.01376503811885391,-16.35025204124017,te_electrical,0.25
electrolyte_conductivity,unpaired_cross_database_transport,mechanism_bundle_feature_concat,random_forest,1,30,0.06124750811787252,-0.06642932413555139,-0.1276768322534239,-0.19977614139128907,te_electrical|te_power_factor|te_thermal,
electrolyte_conductivity,unpaired_cross_database_transport,safe_crossfit_residual_stack,random_forest,1,30,0.0,0.0,0.0,-0.05496017250895946,,0.0
electrolyte_conductivity,unpaired_cross_database_transport,mechanism_bundle_feature_concat,extra_trees,1,30,-0.004247793190981663,-0.026838405380212677,-0.022590612189231012,0.2248756612268623,te_electrical|te_power_factor|te_thermal,
electrolyte_conductivity,unpaired_cross_database_transport,safe_crossfit_residual_stack,extra_trees,1,30,0.0,0.0,0.0,0.2648648873746843,,0.0
electrolyte_conductivity,unpaired_cross_database_transport,mechanism_bundle_feature_concat,ridge_alpha_10,2,30,0.06627410850393767,0.11149781358560663,0.045223705081668966,0.26913627644135174,te_electrical|te_power_factor|te_thermal,
electrolyte_conductivity,unpaired_cross_database_transport,safe_crossfit_residual_stack,ridge_alpha_10,2,30,0.0,0.0,0.0,0.07419525036687624,,0.0
electrolyte_conductivity,unpaired_cross_database_transport,mechanism_bundle_feature_concat,random_forest,2,30,0.13523087745080306,-0.006542864308716647,-0.1417737417595197,0.34248393623580675,te_electrical|te_power_factor|te_thermal,
electrolyte_conductivity,unpaired_cross_database_transport,safe_crossfit_residual_stack,random_forest,2,30,0.0,0.0,0.0,0.3510043007347745,,0.0
electrolyte_conductivity,unpaired_cross_database_transport,mechanism_bundle_feature_concat,extra_trees,2,30,0.19022497083914977,-0.000383254382499976,-0.19060822522164975,0.3540097981388002,te_electrical|te_power_factor|te_thermal,
electrolyte_conductivity,unpaired_cross_database_transport,safe_crossfit_residual_stack,extra_trees,2,30,0.0,0.0,0.0,0.3545046707792997,,0.0
