repeat,base_r2,aug_r2,delta_r2,base_rmse,aug_rmse,relative_rmse_improvement
0,0.37618713351503397,0.39543136311484106,0.019244229599807094,0.1222243602658594,0.12032431988228103,0.015545513017580526
1,0.4378182284605685,0.4516783258273107,0.013860097366742208,0.11052869571213547,0.1091576988828584,0.012403989936222043
2,0.2987734572577775,0.3462588928589442,0.04748543560116669,0.12128855995588576,0.11710988744105197,0.03445232193665777
3,0.2168118468531861,0.34015287549240647,0.12334102863922036,0.1190361888325708,0.10926161691082105,0.0821142882480729
4,0.26730107508111156,0.34986569770207454,0.08256462262096298,0.11464545577951914,0.10799300064938838,0.05802633069839637
5,0.31657392029136644,0.31039897619753554,-0.006174944093830903,0.1207812098224374,0.12132562870108916,-0.004507479925496087
6,0.29975349905361537,0.24578030260483996,-0.05397319644877541,0.1178418435561273,0.12229902355918883,-0.03782340693727015
7,0.2631531245628609,0.31435217270622706,0.05119904814336618,0.12813592736722265,0.12360409106691186,0.035367413288570286
8,0.34830597864144,0.39695521411598356,0.048649235474543584,0.11226703299505494,0.10799537583879677,0.03804907854335409
9,0.4124038471654695,0.4519414348738844,0.03953758770841487,0.11627274376446879,0.11229280587836217,0.034229328020062004
10,0.37641045576193366,0.3925662883172527,0.01615583255531905,0.10299049900701547,0.10164761556921482,0.013038906022866944
11,0.6545735455449542,0.685171813633574,0.030598268088619873,0.08391061782253251,0.08010800662554303,0.04531740196493182
12,0.42186374911516566,0.45910985224067014,0.03724610312550447,0.11981724283163867,0.11589341390094964,0.0327484495382906
13,0.5310429903549398,0.5408845052853426,0.00984151493040275,0.09638880256658744,0.0953720338426058,0.010548618687105634
14,0.13048661251416138,0.18241768282535886,0.05193107031119748,0.15297738327118549,0.14833882558612652,0.030321852720124796
15,0.2525812577820722,0.2991200397962125,0.0465387820141403,0.1320606574558309,0.12788313797940537,0.03163333847419883
16,0.21087811239515764,0.21282478653033987,0.0019466741351822359,0.1461296702386996,0.14594931628610303,0.001234204883251806
17,0.21242276538223537,0.24211243799275417,0.029689672610518802,0.13781435905961992,0.13519177883218092,0.019029803899493828
18,0.40789018090687335,0.3980893246167595,-0.009800856290113846,0.11629412204287619,0.1172526469959258,-0.008242247640824164
19,0.27651681830580643,0.3673433821089971,0.09082656380319065,0.13782685463871994,0.12888537899049923,0.0648746985604412
20,0.4740911364869643,0.5167001894612545,0.042609052974290185,0.10816617319084845,0.10369182837271525,0.04136547208930715
21,0.2665553060805087,0.3009933320143885,0.03443802593387979,0.14386053809498411,0.14044253314571659,0.023759155877832082
22,0.36919851499140877,0.3957672881195953,0.026568773128186507,0.10558321270543687,0.10333575949992017,0.021286084671308433
23,0.37707593985653376,0.38510445740458077,0.00802851754804701,0.11632475965551997,0.11557270642710654,0.00646511740613549
24,0.3017945602283848,0.3419335224204537,0.04013896219206892,0.13337326245778597,0.12948278878115294,0.029169817135307825
25,0.282893649909556,0.3345509108878335,0.0516572609782775,0.11216394266905298,0.10804853930441298,0.036690965623264224
26,0.35330781815021084,0.3377524265799422,-0.01555539157026864,0.12176569192920934,0.1232214524044029,-0.011955423996111186
27,0.33084665737095775,0.3421711476073931,0.011324490236435336,0.11855628985856514,0.11754880890672828,0.00849791228317591
28,0.41413699785444635,0.4551698177393395,0.04103281988489316,0.10840506530764168,0.10453990913042921,0.03565475622604521
29,0.24228856181245695,0.2864942724679421,0.044205710655485175,0.11386745461116343,0.1104959659290361,0.029608887751468152
30,0.32047161593231954,0.29731585540068184,-0.023155760531637704,0.12625287276053984,0.12838596356900092,-0.016895384333209206
31,0.4132652744056243,0.4220988206118772,0.008833546206252874,0.10160750460826876,0.10083973129554627,0.007556265806177522
32,0.14956216609494333,0.2644037693259311,0.1148416032309878,0.13175469014525373,0.12253623866906042,0.0699667804313484
33,0.24693461987786813,0.40682459750704836,0.15988997762918022,0.1372252281110295,0.12178931473162649,0.11248597354790872
34,0.16528410183857145,0.22029367090075835,0.0550095690621869,0.11240559528942583,0.10863858918471472,0.033512620924356
35,0.3747412588264566,0.3833583471168176,0.008617088290361008,0.11757083883909673,0.11675786886290121,0.006914724639399109
36,0.4612977819365983,0.43421454841365703,-0.027083233522941286,0.10455644265881042,0.10715249919807013,-0.024829235513790213
37,0.638577560133992,0.6701914462279719,0.03161388609397986,0.09000631302537679,0.08597978854799833,0.04473602286367628
38,0.33535136508995467,0.3500161360468259,0.014664770956871243,0.11912486364983232,0.11780335132503078,0.011093505455637965
39,0.4084319387173878,0.42058126428242204,0.01214932556503423,0.11087882629868741,0.10973433293737535,0.010322019086214017
40,0.2517058214697969,0.2662745755959053,0.014568754126108363,0.12414317838765115,0.12292874872850901,0.00978249207821917
41,0.4880332618494434,0.522100860236849,0.034067598387405584,0.11390763305612599,0.11005254210041697,0.033844008977076095
42,0.6089854292719845,0.6412132295034672,0.03222780023148264,0.09328269835671192,0.08935581908791353,0.04209654456801898
43,0.3299947750978267,0.3359381327384683,0.005943357640641578,0.116999203207705,0.11647911989663,0.00444518677748357
44,0.059688890481508605,0.15360960193846818,0.09392071145695957,0.1385929524131315,0.13148939491487147,0.051254824827492274
45,0.27548398134971175,0.3333019957830411,0.057818014433329346,0.12709245011342402,0.12191589571269598,0.04073062086778722
46,0.3875039623074944,0.40020706417820484,0.012703101870710443,0.11420305244186775,0.1130125679653619,0.010424278957971295
47,0.1754237752786617,0.256214084664684,0.08079030938602227,0.13802374448868612,0.1310878305557883,0.05025159952435844
48,0.4643616383373912,0.5400278863322168,0.07566624799482558,0.10537514088351274,0.09764906364635255,0.07331973340563318
49,0.3812065687799795,0.41280961964572926,0.03160305086574977,0.1234820371948285,0.12028747387529859,0.025870672302640826
50,0.3657865040163406,0.36138684896881723,-0.0043996550475233764,0.10978989814109419,0.11017005627837394,-0.0034625966843615822
51,0.3216050407400337,0.35093069359809825,0.029325652858064544,0.11135453430226767,0.10892112944586341,0.021852768471905072
52,0.3110953455913176,0.3160313389486732,0.004935993357355617,0.11735704074830901,0.11693585406749099,0.003588934060814633
53,0.38031752612507475,0.4191612631993501,0.03884373707427535,0.1238813125774662,0.11993583903387611,0.031848819337645246
54,0.3628806186026682,0.3967056202010042,0.03382500159833601,0.11732428135944367,0.11416740615675787,0.02690726221466601
55,0.32459901372045696,0.3642549653158259,0.03965595159536894,0.11535700229143066,0.11191920202308704,0.029801400869091364
56,0.5006940622804873,0.541532252542134,0.0408381902616467,0.10567101979890672,0.10125743640280502,0.041767207362063984
57,0.2510231431848078,0.26105806709685475,0.010034923912046967,0.12442082573886955,0.12358450893818049,0.00672167859136617
58,0.532175291408721,0.6039002638950599,0.07172497248633891,0.10531147773604677,0.09690281770994924,0.07984561803579505
59,0.44513691565855684,0.45817349883310887,0.01303658317455203,0.1113677669934796,0.1100516903256322,0.01181739297982383
60,0.06651686631533937,0.09879343125199902,0.032276564936659646,0.1402041565461534,0.1377589505425721,0.017440324622447104
61,0.3864132844227658,0.4243766146236633,0.03796333020089748,0.12621760008578545,0.12225064486605475,0.03142949332766989
62,0.5334162027644946,0.43391261141208626,-0.09950359135240838,0.10108329965898531,0.11134130913238532,-0.10148075407121097
63,0.3162023903137181,0.35810706353605726,0.04190467322233915,0.11342247880566829,0.1098921432365981,0.031125537073818217
64,0.3365853712831671,0.36614713349773886,0.02956176221457174,0.11496416465196045,0.11237357447162706,0.022533892958523875
65,0.29220947105451844,0.31234032598597516,0.02013085493145672,0.12392464662482314,0.1221496126744338,0.014323494145302472
66,0.12883036962604366,0.18982281874255658,0.060992449116512915,0.1344579955396533,0.12966574886020668,0.03564121761753706
67,0.332817413725381,0.3735764992023969,0.0407590854770159,0.12047503918176171,0.11673705854924785,0.031027013212872583
68,0.23164619022823252,0.2858209987328326,0.0541748085046001,0.13848774693847715,0.1335162922883981,0.035898155324078
69,0.0830891198824637,0.15711684601639253,0.07402772613392883,0.14152728609116152,0.1356938931132298,0.04121744392225739
70,0.28717602617601345,0.3258074667426891,0.03863144056667567,0.13118798138921892,0.127583605164473,0.02747489660697011
71,0.34208247257123103,0.3662182571219682,0.02413578455073717,0.11946248937673395,0.11725076755018717,0.018513943900599274
72,0.1914565075887209,0.2949185218248339,0.10346201423611301,0.11764169189676417,0.10985737612394313,0.06616970265653888
73,0.5295302538687676,0.5469435786730397,0.017413324804272046,0.10383539327433014,0.10189566469515979,0.018680803510279436
74,0.23856412905398672,0.2574831564273353,0.018919027373348607,0.11280243740189166,0.11139224904202154,0.012501399724599196
75,0.3721789296373108,0.40496607930417916,0.032787149666868354,0.11753773125460609,0.11442745058311452,0.02646197640784981
76,0.5429117495737065,0.5430915990861771,0.0001798495124706312,0.08887030375232495,0.08885281823030151,0.00019675326048357932
77,0.39537601287775415,0.49947330426358694,0.10409729138583279,0.11558587621994344,0.1051660848025357,0.09014761801502778
78,0.13313484430040312,0.15171216140708,0.01857731710667687,0.11543580409409661,0.114192184111035,0.010773260452605142
79,0.2535444693191956,0.3033845404305553,0.049840071111359685,0.13142443376468188,0.12696110645439915,0.03396116827312653
80,0.4921865098503404,0.5299234751315489,0.03773696528120851,0.1134328234655178,0.1091367224623858,0.037873526126571
81,0.38478946522257396,0.3672747574453036,-0.017514707777270377,0.11552058892112982,0.11715345281762705,-0.014134830091734146
82,0.444090187376993,0.4628016214567757,0.018711434079782707,0.106812402782333,0.10499941062659472,0.01697361082151553
83,0.2097598240052464,0.28249993141279506,0.07274010740754866,0.1376427861016954,0.13115500716923711,0.04713489980989541
84,0.4736022662511483,0.5237088940986164,0.05010662784746811,0.1114785105428576,0.10604016331237956,0.04878381675531338
85,0.40859677823685625,0.45036141607363067,0.04176463783677442,0.10798210063501854,0.10409947392239664,0.03595620653598175
86,0.45031957635283393,0.46957358016867135,0.019254003815837417,0.09940926509175278,0.0976527103957286,0.017669929401478938
