source,entities,groups,oof_r2,oof_rmse,oof_spearman
acid_oer_same_reaction,241,5,0.5655674181018069,1.867640907218595,0.81911869266514
orr_adjacent_oxygen_electrocatalysis,7510,50,0.6278858760259447,398.0220903346672,0.8284408800815415
ocx_adjacent_electrocatalysis,211,211,0.5698133778648284,13.77677024329904,0.7506210800261878
borg_wrong_mechanical,391,91,0.1171794106942311,0.2662933011098778,0.38297859526727324
obelix_wrong_ionic,500,161,0.48168215871995834,2.5371557122149815,0.7805178701051863
