edge_id,pool,identity,nearest_target_l1,hard_ood_rank,hard_ood_selected,candidate_pool_n,hard_ood_n,target_reference_n
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Co:0.36|Cr:0.04|Fe:0.16|Mn:0.16|Ni:0.08|V:0.2,0.34,28,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Co:0.4|Cr:0.04|Fe:0.28|Mn:0.04|Ni:0.04|V:0.2,0.34,29,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Al:0.04|Co:0.12|Cr:0.08|Cu:0.04|Fe:0.16|Mn:0.08|Ni:0.48,0.33999999999999997,30,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Al:0.04|Co:0.08|Cr:0.04|Cu:0.04|Fe:0.16|Mn:0.12|Ni:0.48|V:0.04,0.32,31,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Co:0.12|Cr:0.04|Fe:0.04|Mn:0.16|Ni:0.4|V:0.24,0.32,32,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Al:0.04|Co:0.36|Fe:0.04|Mn:0.04|Ni:0.4|V:0.12,0.31999999999999995,33,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Al:0.04|Cr:0.04|Cu:0.04|Fe:0.16|Mn:0.12|Ni:0.56|V:0.04,0.31999999999999995,34,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Al:0.04|Co:0.04|Cr:0.12|Mn:0.04|Ni:0.52|V:0.24,0.28,35,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Al:0.04|Co:0.12|Cr:0.08|Fe:0.08|Mn:0.08|Ni:0.56|V:0.04,0.27999999999999997,36,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Al:0.04|Co:0.12|Fe:0.16|Mn:0.08|Ni:0.52|V:0.08,0.26,37,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Co:0.44|Cr:0.12|Fe:0.04|Mn:0.04|Ni:0.12|V:0.24,0.26,38,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Al:0.04|Cr:0.04|Fe:0.04|Mn:0.04|Ni:0.6|V:0.24,0.25999999999999995,39,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Al:0.04|Co:0.28|Cr:0.04|Fe:0.08|Ni:0.4|V:0.16,0.24000000000000005,40,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Al:0.04|Co:0.32|Cr:0.04|Mn:0.04|Ni:0.44|V:0.12,0.24000000000000002,41,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Al:0.04|Co:0.2|Cr:0.04|Cu:0.04|Fe:0.16|Ni:0.52,0.22,42,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Co:0.2|Cr:0.04|Fe:0.04|Mn:0.04|Ni:0.48|V:0.2,0.21999999999999997,43,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Al:0.04|Co:0.04|Cr:0.16|Fe:0.08|Ni:0.52|V:0.16,0.20000000000000004,44,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Co:0.16|Cr:0.2|Fe:0.04|Mn:0.04|Ni:0.36|V:0.2,0.20000000000000004,45,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Al:0.04|Cr:0.04|Fe:0.2|Mn:0.08|Ni:0.52|V:0.12,0.2,46,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Al:0.04|Co:0.12|Cr:0.04|Fe:0.28|Ni:0.4|V:0.12,0.19999999999999998,47,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Al:0.04|Co:0.28|Cr:0.04|Fe:0.04|Mn:0.04|Ni:0.44|V:0.12,0.19999999999999996,48,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Al:0.04|Co:0.16|Cr:0.08|Fe:0.12|Ni:0.48|V:0.12,0.17999999999999997,49,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Al:0.04|Co:0.08|Fe:0.04|Mn:0.08|Ni:0.52|V:0.24,0.16000000000000003,50,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,year1_to_year2,Co:0.24|Cr:0.04|Fe:0.08|Mn:0.04|Ni:0.36|V:0.24,0.10000000000000003,51,False,51,21,80
hard_ood_birdshot_temporal_alloy_uts_to_ys,years1_2_to_year3,Co:0.44|Cr:0.12|Fe:0.08|Mn:0.12|Ni:0.2|V:0.04,0.32,1,True,20,8,131
hard_ood_birdshot_temporal_alloy_uts_to_ys,years1_2_to_year3,Co:0.08|Cr:0.08|Fe:0.32|Mn:0.08|Ni:0.4|V:0.04,0.26,2,True,20,8,131
hard_ood_birdshot_temporal_alloy_uts_to_ys,years1_2_to_year3,Co:0.28|Cr:0.12|Fe:0.12|Mn:0.08|Ni:0.36|V:0.04,0.24000000000000002,3,True,20,8,131
hard_ood_birdshot_temporal_alloy_uts_to_ys,years1_2_to_year3,Co:0.08|Cr:0.08|Fe:0.28|Mn:0.08|Ni:0.4|V:0.08,0.24,4,True,20,8,131
hard_ood_birdshot_temporal_alloy_uts_to_ys,years1_2_to_year3,Co:0.08|Cr:0.08|Fe:0.2|Mn:0.12|Ni:0.44|V:0.08,0.24,5,True,20,8,131
hard_ood_birdshot_temporal_alloy_uts_to_ys,years1_2_to_year3,Co:0.12|Cr:0.08|Fe:0.08|Mn:0.12|Ni:0.48|V:0.12,0.24,6,True,20,8,131
hard_ood_birdshot_temporal_alloy_uts_to_ys,years1_2_to_year3,Co:0.12|Cr:0.08|Fe:0.2|Mn:0.08|Ni:0.44|V:0.08,0.24,7,True,20,8,131
hard_ood_birdshot_temporal_alloy_uts_to_ys,years1_2_to_year3,Co:0.24|Cr:0.08|Fe:0.08|Mn:0.08|Ni:0.4|V:0.12,0.24,8,True,20,8,131
hard_ood_birdshot_temporal_alloy_uts_to_ys,years1_2_to_year3,Co:0.28|Cr:0.12|Fe:0.08|Mn:0.08|Ni:0.36|V:0.08,0.24,9,False,20,8,131
hard_ood_birdshot_temporal_alloy_uts_to_ys,years1_2_to_year3,Co:0.36|Cr:0.08|Fe:0.08|Mn:0.12|Ni:0.28|V:0.08,0.24,10,False,20,8,131
hard_ood_birdshot_temporal_alloy_uts_to_ys,years1_2_to_year3,Co:0.08|Cr:0.04|Fe:0.32|Mn:0.08|Ni:0.4|V:0.08,0.23999999999999996,11,False,20,8,131
hard_ood_birdshot_temporal_alloy_uts_to_ys,years1_2_to_year3,Co:0.16|Cr:0.08|Fe:0.08|Mn:0.12|Ni:0.44|V:0.12,0.23999999999999996,12,False,20,8,131
hard_ood_birdshot_temporal_alloy_uts_to_ys,years1_2_to_year3,Co:0.16|Cr:0.08|Fe:0.12|Mn:0.12|Ni:0.4|V:0.12,0.23999999999999996,13,False,20,8,131
hard_ood_birdshot_temporal_alloy_uts_to_ys,years1_2_to_year3,Co:0.16|Cr:0.08|Fe:0.16|Mn:0.08|Ni:0.44|V:0.08,0.23999999999999996,14,False,20,8,131
hard_ood_birdshot_temporal_alloy_uts_to_ys,years1_2_to_year3,Co:0.2|Cr:0.04|Fe:0.08|Mn:0.12|Ni:0.4|V:0.16,0.23999999999999996,15,False,20,8,131
hard_ood_birdshot_temporal_alloy_uts_to_ys,years1_2_to_year3,Co:0.08|Cr:0.08|Fe:0.24|Mn:0.08|Ni:0.44|V:0.08,0.22000000000000003,16,False,20,8,131
hard_ood_birdshot_temporal_alloy_uts_to_ys,years1_2_to_year3,Co:0.24|Cr:0.12|Fe:0.16|Mn:0.08|Ni:0.36|V:0.04,0.20000000000000004,17,False,20,8,131
hard_ood_birdshot_temporal_alloy_uts_to_ys,years1_2_to_year3,Co:0.16|Cr:0.12|Fe:0.12|Mn:0.08|Ni:0.4|V:0.12,0.18,18,False,20,8,131
hard_ood_birdshot_temporal_alloy_uts_to_ys,years1_2_to_year3,Co:0.32|Cr:0.08|Fe:0.08|Mn:0.12|Ni:0.32|V:0.08,0.16000000000000003,19,False,20,8,131
hard_ood_birdshot_temporal_alloy_uts_to_ys,years1_2_to_year3,Co:0.24|Cr:0.08|Fe:0.12|Mn:0.08|Ni:0.36|V:0.12,0.15999999999999998,20,False,20,8,131
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.008122579731|Co:0.1320419365|Cr:0.0936297368|Fe:0.6251985631|Mn:0.0001020324055|Mo:0.004801524964|Nb:6.041918913e-05|Ni:0.1290409834|Si:0.0002000635402|Ti:0.006692125419|V:0.0001100349471,0.11824040973487006,1,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.0006520234728|C:0.01760063362|Co:0.05010180366|Cr:0.0802028873|Fe:0.806029017|Mn:0.001810065162|Mo:0.001530055082|Nb:6.310227168e-05|Ni:9.990359653e-05|Si:0.0002090075243|V:0.01240044642|W:0.02930105484,0.06668474095018996,2,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.002727861084|C:0.0004716301948|Co:9.602470703e-05|Cr:0.0001089146001|Fe:0.7584053344|Mn:0.000102919301|Mo:0.01239028478|Nb:6.095220737e-05|Ni:0.2028409524|Si:0.0002018417359|Ti:0.02248237157|V:0.0001109130331,0.05850124263510999,3,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.002100132308|C:0.001410088836|Co:9.600604838e-05|Cr:0.0001090068674|Fe:0.7810492061|Mn:0.0001030064894|Mo:0.0001180074345|Nb:0.01520095766|Ni:0.1670105217|Si:0.0002010126638|Ti:0.01260079385|V:0.02000126008,0.051827926275950065,4,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.0006232999319|C:0.01870900277|Co:0.04632229029|Cr:0.1040500689|Fe:0.783376961|Mn:0.001840885834|Mo:0.03411641682|Nb:6.032903033e-05|Ni:9.554597672e-05|Si:0.0002000962863|V:0.01060510318,0.046398907050870075,5,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.001400332299|C:0.0008992133833|Co:9.162174184e-05|Cr:0.0001040246851|Fe:0.7471773052|Mn:0.0009822330839|Mo:0.0001120265839|Nb:5.81137904e-05|Ni:0.1660394011|Si:0.08201946322|Ti:0.00101023973|V:0.0001060251598,0.04403150299373,6,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.008294082347|C:0.0004782353875|Co:0.08474170987|Cr:0.0001100541687|Fe:0.6993442172|Mn:0.000104051214|Mo:0.0287141331|Nb:6.183043294e-05|Ni:0.1660817454|Si:0.0002041004582|Ti:0.008033954312|V:0.003831886054,0.043645534787060014,7,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.0006137943175|C:0.004138613151|Co:9.366861165e-05|Cr:0.1799397022|Fe:0.7437507691|Mn:0.02169273077|Mo:0.005977996773|Nb:5.938010173e-05|Ni:0.04008656699|Si:0.003538814143|V:0.0001079638213,0.04270798072335995,8,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.0241929671|C:0.003169078749|Co:9.217320525e-05|Cr:0.1779482704|Fe:0.7177913381|Mn:0.005938273744|Mo:0.0001129671604|Nb:5.848299899e-05|Ni:0.06478116811|Si:0.005808311524|V:0.0001069689041,0.03962147636227008,9,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.0004051239679|C:0.0004541389665|Co:0.06852096742|Cr:0.1650505055|Fe:0.6932121229|Mn:9.93303951e-05|Mo:0.0001140348947|Nb:5.87179677e-05|Ni:0.03811166217|Si:0.03341022353|Ti:0.0004561395787|V:0.000107032752,0.036158824424579954,10,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.0006179585968|C:0.009259379622|Co:0.1609892137|Cr:0.1339910226|Fe:0.663955515|Mn:0.0001009932335|Mo:0.01139923625|Nb:0.0004789679092|Ni:0.00899939704|Si:0.01009932335|V:0.0001089926975,0.033014566643069974,11,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.002739933694|C:0.0004739885295|Co:0.1439965153|Cr:0.0001089973623|Fe:0.6359846092|Mn:0.0005179874647|Mo:0.008599791885|Nb:6.1198519e-05|Ni:0.1879954505|Si:0.001009975559|Ti:0.01839955473|V:0.0001119972897,0.03204064566994003,12,True,63,26,249
