stratum,lead_condition,control_condition,lead_retention,control_retention,directional_pass
calendar,k|45|0.9,k|23|0.9,93.5092677456302,96.83366934762044,True
cycle,z|45|0.8|0.6|1|0.26,z|45|0.41|0.05|1|1,88.933386433461,91.74810129316404,True
