target,source,learner,repeat,train_n,gain_all,gain_id,gain_ood,gain_specific,base_ood_r2,aug_ood_r2
te_zt,te_power_factor,ridge_alpha_10,0,30,-0.008827301774844823,-0.008326171634895737,0.11161437705407504,0.11994054868897078,-0.1762293033230813,0.07168570545712072
te_zt,te_thermal,ridge_alpha_10,0,30,0.03275084841226892,0.032913582336135415,0.007357835839810075,-0.02555574649632534,-0.1762293033230813,-0.15898397748133286
te_zt,te_seebeck,ridge_alpha_10,0,30,0.11889005538374692,0.11914156250704774,-0.0026302992137178472,-0.1217718617207656,-0.1762293033230813,-0.1824251110582451
te_zt,alloy_ys,ridge_alpha_10,0,30,0.01228370102231483,0.012338370655692323,-0.005621834302776539,-0.01796020495846886,-0.1762293033230813,-0.18949161056553399
te_zt,catalysis_h2,ridge_alpha_10,0,30,-0.030654665533528528,-0.030471336255192234,-0.0037582665885520557,0.02671306966664018,-0.1762293033230813,-0.18508708363587645
te_zt,shuffled::te_seebeck,ridge_alpha_10,0,30,0.08646020059436098,0.08672088271631627,-0.009537734542657909,-0.09625861725897418,-0.1762293033230813,-0.19877342871033776
te_zt,te_power_factor,ridge_alpha_10,1,30,0.03571083377515346,0.046479946960067825,0.01768789185967121,-0.028792055100396615,-3.4644231667475767,-3.3078874445799977
te_zt,te_thermal,ridge_alpha_10,1,30,0.003459086189812198,0.00474771818263639,0.0076726315465566455,0.0029249133639202554,-3.4644231667475767,-3.396178236049292
te_zt,te_seebeck,ridge_alpha_10,1,30,-0.001161604397791323,-0.0008431874058279082,-0.003870038802065793,-0.0030268513962378846,-3.4644231667475767,-3.4990450130760102
te_zt,alloy_ys,ridge_alpha_10,1,30,-0.0005938922825883769,0.0019098919261300625,0.007868718477084837,0.005958826550954774,-3.4644231667475767,-3.3944410111100796
te_zt,catalysis_h2,ridge_alpha_10,1,30,-0.007003838434179683,0.011430090915073242,-0.004251664893772656,-0.0156817558088459,-3.4644231667475767,-3.5024663310801314
te_zt,shuffled::te_seebeck,ridge_alpha_10,1,30,-0.00425331231900303,-0.006677184700263513,-0.012353182400411155,-0.005675997700147642,-3.4644231667475767,-3.5754041100854277
te_zt,te_power_factor,ridge_alpha_10,2,30,-0.01766840551742175,-0.018344479144308007,0.0767582198228133,0.09510269896712131,-1.5983614809060134,-1.214779366785308
te_zt,te_thermal,ridge_alpha_10,2,30,-0.020086005969707454,-0.020067569056879096,-0.0003271278224962762,0.01974044123438282,-1.5983614809060134,-1.6000617516300761
te_zt,te_seebeck,ridge_alpha_10,2,30,-0.08037027792847433,-0.08053492318945912,0.01787103422414328,0.0984059574136024,-1.5983614809060134,-1.50632051574893
te_zt,alloy_ys,ridge_alpha_10,2,30,-0.013302345072842397,-0.013109553599740732,0.04338333721769407,0.056492890817434804,-1.5983614809060134,-1.3778007086123218
te_zt,catalysis_h2,ridge_alpha_10,2,30,0.0033587248472838126,0.003385481419612998,-0.0013813005111456742,-0.004766781930758673,-1.5983614809060134,-1.6055446746400324
te_zt,shuffled::te_seebeck,ridge_alpha_10,2,30,0.12184633049376709,0.12200971269766561,-0.003306799858353248,-0.12531651255601886,-1.5983614809060134,-1.6155744165487387
te_zt,te_power_factor,random_forest,0,30,0.07661960478507698,0.26914721803122715,-0.15785713334994914,-0.4270043513811763,0.03544894998907833,-0.29310910407151236
te_zt,te_thermal,random_forest,0,30,-0.003986799068725916,-0.008542911944994498,-0.019932767661110115,-0.011389855716115617,0.03544894998907833,-0.003386624784249781
te_zt,te_seebeck,random_forest,0,30,-0.006156510339515226,-0.014935123371643702,-0.043527331985942115,-0.02859220861429841,0.03544894998907833,-0.05034718358761903
te_zt,alloy_ys,random_forest,0,30,-0.00748539176873026,-0.025270087616959362,3.552804420666237e-05,0.025305615661166025,0.03544894998907833,0.03551748599627014
te_zt,catalysis_h2,random_forest,0,30,-0.001820611378946653,0.010597913762884985,-0.022963275950067797,-0.033561189712952785,0.03544894998907833,-0.009358173253719348
te_zt,shuffled::te_seebeck,random_forest,0,30,-0.0020711891921768853,-2.2172591040473078e-05,-0.02342904689277608,-0.023406874301735606,0.03544894998907833,-0.010277535165514662
te_zt,te_power_factor,random_forest,1,30,0.07226275221576996,0.08810604028277651,0.038481854421724575,-0.04962418586105193,-0.09650940877617176,-0.013741747273824823
te_zt,te_thermal,random_forest,1,30,-0.014628294373816053,-0.03372561049639121,-0.034696555814396,-0.00097094531800479,-0.09650940877617176,-0.17391964251363268
te_zt,te_seebeck,random_forest,1,30,-0.0016826267992098003,-0.010538945354701505,-0.0016911622461152596,0.008847783108586246,-0.09650940877617176,-0.10022129545495906
te_zt,alloy_ys,random_forest,1,30,-0.0048601936890699205,-0.010280294248908726,-0.014116140333008894,-0.003835846084100168,-0.09650940877617176,-0.1276848665632424
te_zt,catalysis_h2,random_forest,1,30,-0.004939364361199015,-0.011779192099981538,-0.012091493364072574,-0.00031230126409103644,-0.09650940877617176,-0.12318659554970446
te_zt,shuffled::te_seebeck,random_forest,1,30,0.0021074933658348713,-0.008111460703301295,-0.00021294565542893053,0.007898515047872364,-0.09650940877617176,-0.09697645232779695
te_zt,te_power_factor,random_forest,2,30,0.06207567664763308,0.1421796867344176,0.02114245108802671,-0.1210372356463909,-0.5338120557737904,-0.4696405819943734
te_zt,te_thermal,random_forest,2,30,-0.027540859250775776,-0.031351782943501515,-0.005430607080559262,0.025921175862942254,-0.5338120557737904,-0.5505163514023652
te_zt,te_seebeck,random_forest,2,30,-0.0012879996899485824,0.04732638585435979,0.11097217018123946,0.06364578432687967,-0.5338120557737904,-0.21227977411422483
te_zt,alloy_ys,random_forest,2,30,-0.04261771454620162,-0.081618055781226,0.07753294588903405,0.15915100167026003,-0.5338120557737904,-0.30519041443439243
te_zt,catalysis_h2,random_forest,2,30,-0.015113321206552455,-0.027298747984468123,-0.013871219597033087,0.013427528387435037,-0.5338120557737904,-0.5766588653683238
te_zt,shuffled::te_seebeck,random_forest,2,30,-0.014476557997370227,-0.0163040342123498,-0.01738340788884234,-0.0010793736764925406,-0.5338120557737904,-0.5876013086832634
te_zt,te_power_factor,extra_trees,0,30,0.055388599698521675,0.14102098919942435,-0.0004779430085637796,-0.14149893220798812,-0.09190448157553965,-0.09294846722473249
te_zt,te_thermal,extra_trees,0,30,-0.020333505500694973,-0.0034711713455727352,-0.06405144842401185,-0.06058027707843912,-0.09190448157553965,-0.23626024301933302
te_zt,te_seebeck,extra_trees,0,30,-0.010697809019915896,-0.0465759708363993,-0.02982074072190849,0.01675523011449081,-0.09190448157553965,-0.15799828753185619
te_zt,alloy_ys,extra_trees,0,30,-0.007258112351683475,-0.0031998927512267147,-0.028810555553403904,-0.02561066280217719,-0.09190448157553965,-0.1557275642790723
te_zt,catalysis_h2,extra_trees,0,30,-0.021305285325658067,0.0013000964287375031,-0.0606371684561418,-0.06193726488487931,-0.09190448157553965,-0.22833926023032736
te_zt,shuffled::te_seebeck,extra_trees,0,30,-0.020370987446225997,-0.007239734900576359,-0.06921434543051408,-0.06197461052993772,-0.09190448157553965,-0.2482862950821254
te_zt,te_power_factor,extra_trees,1,30,0.02125216658047405,0.022591205026709735,0.030208683259033926,0.007617478232324192,-0.24421126721447206,-0.1701747221452754
te_zt,te_thermal,extra_trees,1,30,-0.021904771386815344,-0.044130747845484104,-0.020324157029416222,0.023806590816067882,-0.24421126721447206,-0.2953003055987211
te_zt,te_seebeck,extra_trees,1,30,-0.0067698302268520616,-0.01889957451319421,-0.00011551798177799782,0.018784056531416213,-0.24421126721447206,-0.24449874136671834
te_zt,alloy_ys,extra_trees,1,30,-0.0027343054015200514,-0.014473500543218146,0.0054111809311866346,0.01988468147440478,-0.24421126721447206,-0.2307823942470879
te_zt,catalysis_h2,extra_trees,1,30,-0.004610089276600097,-0.016947981741519094,-0.006782871626249023,0.01016511011527007,-0.24421126721447206,-0.2611471606775009
te_zt,shuffled::te_seebeck,extra_trees,1,30,-0.00425240272374719,-0.017315207277265623,0.004636983760901149,0.02195219103816677,-0.24421126721447206,-0.23269924488794014
te_zt,te_power_factor,extra_trees,2,30,0.029462028032311356,0.035028669308437226,0.10206031371560204,0.0670316444071648,-0.5963451321895772,-0.28712618419997415
te_zt,te_thermal,extra_trees,2,30,-0.008685565863961842,-0.029377072547728825,0.011559424898022613,0.04093649744575144,-0.5963451321895772,-0.5596527729776468
te_zt,te_seebeck,extra_trees,2,30,-0.0008175027695909349,0.02946511740658927,0.006734772384600144,-0.02273034502198913,-0.5963451321895772,-0.5749154956445501
te_zt,alloy_ys,extra_trees,2,30,0.002167742767593103,0.0005133538736946127,0.038003395235041065,0.037490041361346454,-0.5963451321895772,-0.47731759651607897
te_zt,catalysis_h2,extra_trees,2,30,-0.0136469890139561,-0.02461687463623392,0.0048394643326824804,0.0294563389689164,-0.5963451321895772,-0.5809316085953344
te_zt,shuffled::te_seebeck,extra_trees,2,30,-0.0073583918638755914,-0.00896386549697587,0.0016882625869621862,0.010652128083938056,-0.5963451321895772,-0.5909595826161513
alloy_ys,alloy_uts,ridge_alpha_10,0,30,0.009438533451543472,0.008224369693858749,0.017748069718924616,0.009523700025065867,-0.7582675918617507,-0.6964097239564384
alloy_ys,alloy_hardness,ridge_alpha_10,0,30,0.019236567073619218,0.01381592742628212,0.05308928337771128,0.03927335595142916,-0.7582675918617507,-0.5765328869783386
alloy_ys,alloy_elongation,ridge_alpha_10,0,30,0.020886835684388542,0.017844252684019683,0.006366756840410575,-0.011477495843609107,-0.7582675918617507,-0.7359499398451346
alloy_ys,te_thermal,ridge_alpha_10,0,30,0.005424540914849433,-0.000702436418797152,0.012788314292204596,0.013490750711001748,-0.7582675918617507,-0.713584583522058
alloy_ys,catalysis_h2,ridge_alpha_10,0,30,-0.004326412186074903,-0.028133219736054836,0.010457402087549644,0.03859062182360448,-0.7582675918617507,-0.7216860488139549
alloy_ys,shuffled::alloy_uts,ridge_alpha_10,0,30,-0.001398265357237625,-0.004359704610494477,-0.001326978544521488,0.0030327260659729887,-0.7582675918617507,-0.7629370546858791
alloy_ys,alloy_uts,ridge_alpha_10,1,30,0.14545526577995277,0.1524671060949257,0.1848746842188041,0.0324075781238784,-1.548250754542837,-0.693132415189462
alloy_ys,alloy_hardness,ridge_alpha_10,1,30,0.06541138142550801,0.09731981666833306,0.041478960147505635,-0.055840856520827424,-1.548250754542837,-1.3412374475157698
alloy_ys,alloy_elongation,ridge_alpha_10,1,30,0.018102075748593387,0.01577200324352907,0.033862689242421695,0.018090685998892624,-1.548250754542837,-1.3785915402823
alloy_ys,te_thermal,ridge_alpha_10,1,30,0.0021985699063712116,0.002515296912802565,0.0017945950216982426,-0.0007207018911043225,-1.548250754542837,-1.5391128051297787
alloy_ys,catalysis_h2,ridge_alpha_10,1,30,0.0026580541644118574,0.003839748508833708,-0.002412382678483458,-0.006252131187317166,-1.548250754542837,-1.5605602962793061
alloy_ys,shuffled::alloy_uts,ridge_alpha_10,1,30,-0.0008409272556650629,-0.004038046715278611,0.0021424670776742046,0.006180513792952815,-1.548250754542837,-1.5373433647401846
alloy_ys,alloy_uts,ridge_alpha_10,2,30,0.09313253223062085,0.11872446269839482,0.08153624299909353,-0.03718821969930129,-0.9464761674307696,-0.6419999427713681
alloy_ys,alloy_hardness,ridge_alpha_10,2,30,0.03050252420188661,0.07437500685996075,-0.011821501338048207,-0.08619650819800896,-0.9464761674307696,-0.9927687246111898
alloy_ys,alloy_elongation,ridge_alpha_10,2,30,0.02723558661179667,0.008005458848980853,0.05646526059446259,0.048459801745481736,-0.9464761674307696,-0.7328655992605111
alloy_ys,te_thermal,ridge_alpha_10,2,30,0.004013382243773887,-0.0016561601584637426,0.023320539650116098,0.02497669980857984,-0.9464761674307696,-0.8567490044825075
alloy_ys,catalysis_h2,ridge_alpha_10,2,30,0.00031343363297071356,0.0022168607631071436,-0.0012622464446593144,-0.003479107207766458,-0.9464761674307696,-0.9513931339291433
alloy_ys,shuffled::alloy_uts,ridge_alpha_10,2,30,0.007813937197544047,0.012107114973290143,0.01983397427240346,0.007726859299113318,-0.9464761674307696,-0.8700291684932515
alloy_ys,alloy_uts,random_forest,0,30,-0.021749132466486402,0.018310292988857457,-0.059408342195027386,-0.07771863518388485,0.03928296008203691,-0.07825696100114987
alloy_ys,alloy_hardness,random_forest,0,30,0.028041806825728592,0.09418251628032441,-0.04615488646404669,-0.1403374027443711,0.03928296008203691,-0.05144720181483686
alloy_ys,alloy_elongation,random_forest,0,30,0.04174808526043154,0.03230236269162302,0.032793966013428634,0.0004916033218056171,0.03928296008203691,0.10126120641817926
alloy_ys,te_thermal,random_forest,0,30,-0.0026342198873566714,0.004529184714215653,-0.004522402401301403,-0.009051587115517056,0.03928296008203691,0.03057381328191533
alloy_ys,catalysis_h2,random_forest,0,30,-0.009709497105802364,-0.02859409314330731,0.0037871842189947562,0.03238127736230207,0.03928296008203691,0.04654600556895916
alloy_ys,shuffled::alloy_uts,random_forest,0,30,0.002893018938589081,0.005673140530253515,0.010750749085644083,0.005077608555390568,0.03928296008203691,0.059828777422817336
alloy_ys,alloy_uts,random_forest,1,30,0.10545016629501758,0.1506567747072356,0.05545950312307086,-0.09519727158416474,0.018364584961862884,0.12422733819857557
alloy_ys,alloy_hardness,random_forest,1,30,0.0882862034109279,0.1297224032047774,-0.0029392375810397336,-0.13266164078581713,0.018364584961862884,0.012585585092594553
alloy_ys,alloy_elongation,random_forest,1,30,0.028023539282234857,0.027808992854673763,0.05691800733319793,0.029109014478524164,0.018364584961862884,0.12692988390963067
alloy_ys,te_thermal,random_forest,1,30,-0.0007055919735897461,-0.00799971498118928,0.039117414832969356,0.04711712981415864,0.018364584961862884,0.09366059328454068
alloy_ys,catalysis_h2,random_forest,1,30,0.017766210145555482,0.004671905731107981,0.02665524305358729,0.02198333732247931,0.018364584961862884,0.0699985922093368
alloy_ys,shuffled::alloy_uts,random_forest,1,30,0.008107534551650114,0.005061335987657302,0.021242594881959852,0.016181258894302553,0.018364584961862884,0.05962659099067058
alloy_ys,alloy_uts,random_forest,2,30,0.07254258948997269,0.16171540511629004,0.02708935823940297,-0.13462604687688706,-0.032298155017868035,0.02287289925197311
alloy_ys,alloy_hardness,random_forest,2,30,0.005448302857288611,-0.0024981594253042174,-0.0031305676883742655,-0.000632408263070048,-0.032298155017868035,-0.03877163050623822
alloy_ys,alloy_elongation,random_forest,2,30,-0.07776637360786275,-0.13088347390761612,-0.028470089439747468,0.10241338446786866,-0.032298155017868035,-0.09191412175438685
alloy_ys,te_thermal,random_forest,2,30,-0.03013488766490541,-0.047599380290434534,-0.016773857675728903,0.03082552261470563,-0.032298155017868035,-0.06721984946479242
alloy_ys,catalysis_h2,random_forest,2,30,-0.07741874314146027,-0.11754686846578116,-0.017762391559245846,0.09978447690653532,-0.032298155017868035,-0.06929601579279532
alloy_ys,shuffled::alloy_uts,random_forest,2,30,-0.04929506021431267,-0.08738140457616073,-0.011890422491693035,0.0754909820844677,-0.032298155017868035,-0.05699302594851585
alloy_ys,alloy_uts,extra_trees,0,30,0.003766497615348669,-0.0036702557101305705,-0.009353078559335816,-0.005682822849205246,0.010990760684716494,-0.007596320143662183
alloy_ys,alloy_hardness,extra_trees,0,30,0.01988262333062887,0.019933955535339897,-0.029887101650611904,-0.0498210571859518,0.010990760684716494,-0.049009900123597294
alloy_ys,alloy_elongation,extra_trees,0,30,0.0051599112780115084,-0.004018908415208901,-0.006285288458635939,-0.002266380043427038,0.010990760684716494,-0.0014807266926337714
alloy_ys,te_thermal,extra_trees,0,30,-0.006683325961634844,-0.021378245534646227,-0.0006197786812546336,0.020758466853391593,0.010990760684716494,0.009764447096752726
