permutation,macro_rmse_shuffled_delta,macro_rmse_neighbor_absolute,relative_gain_vs_neighbor_absolute
0,0.692287025338084,0.4900712720988895,-0.4126251930114977
1,0.6957037137955913,0.4900712720988895,-0.4195970125243498
2,0.7337303347094616,0.4900712720988895,-0.4971910750185844
3,0.6027835317041039,0.4900712720988895,-0.22999156657864783
4,0.6087191117698296,0.4900712720988895,-0.24210323360272112
5,0.6999491628353096,0.4900712720988895,-0.42825993418783725
6,0.6383295015662918,0.4900712720988895,-0.30252381216396995
7,0.6227001345634333,0.4900712720988895,-0.27063178361081563
8,0.672330980047078,0.4900712720988895,-0.37190449292732897
9,0.6574598440612204,0.4900712720988895,-0.34155964956981655
10,0.607212913607508,0.4900712720988895,-0.23902980684201558
11,0.6361192193098973,0.4900712720988895,-0.2980136880611468
12,0.6947405988807975,0.4900712720988895,-0.41763175773463534
13,0.6179719140608463,0.4900712720988895,-0.26098375735060064
14,0.6095335841238296,0.4900712720988895,-0.2437651803446954
15,0.6545702669120999,0.4900712720988895,-0.3356634109742649
16,0.6694651400487361,0.4900712720988895,-0.36605669045143996
17,0.6352475118731827,0.4900712720988895,-0.29623495201530337
18,0.6817457391846893,0.4900712720988895,-0.391115492783104
19,0.6617134466001693,0.4900712720988895,-0.35023920860769153
20,0.6808197213897751,0.4900712720988895,-0.3892259353908736
21,0.6116838079492651,0.4900712720988895,-0.24815275404642767
22,0.6251653518451575,0.4900712720988895,-0.27566210761076393
23,0.6460504388642415,0.4900712720988895,-0.31827853548183005
24,0.6950874061023472,0.4900712720988895,-0.41833942464207197
25,0.6167599366388493,0.4900712720988895,-0.25851069375557234
26,0.6352316949958537,0.4900712720988895,-0.29620267736826844
27,0.6275063858319605,0.4900712720988895,-0.2804390331725841
28,0.648950712405992,0.4900712720988895,-0.3241966002754042
29,0.6714348676848252,0.4900712720988895,-0.37007595815438665
30,0.6448849017192914,0.4900712720988895,-0.315900234178923
31,0.7207225051107847,0.4900712720988895,-0.4706483447276073
32,0.6595764452126018,0.4900712720988895,-0.34587861554861465
33,0.667686133327175,0.4900712720988895,-0.3624265924986627
34,0.6227370615887534,0.4900712720988895,-0.2707071339270297
35,0.6564037513458458,0.4900712720988895,-0.3394046717625039
36,0.7031218304908022,0.4900712720988895,-0.43473382448935327
37,0.6443339196775723,0.4900712720988895,-0.3147759445641505
38,0.6687180817787866,0.4900712720988895,-0.36453230346431864
39,0.6570562040817083,0.4900712720988895,-0.34073601431002376
40,0.632848411175418,0.4900712720988895,-0.2913395401959371
41,0.6679599935026682,0.4900712720988895,-0.36298540953423464
42,0.6873098059539706,0.4900712720988895,-0.4024690796714996
43,0.6723346811631364,0.4900712720988895,-0.3719120451269151
44,0.70838339216344,0.4900712720988895,-0.4454701438212403
45,0.6849916045227806,0.4900712720988895,-0.39773874438524315
46,0.667485268236767,0.4900712720988895,-0.3620167233595317
47,0.6248675578409287,0.4900712720988895,-0.27505445313031784
48,0.6716499156131667,0.4900712720988895,-0.37051476765125946
49,0.7094339477028201,0.4900712720988895,-0.4476138229128155
50,0.7283577722334482,0.4900712720988895,-0.4862282563799738
51,0.6724215982527011,0.4900712720988895,-0.3720894011453417
52,0.6793946768589679,0.4900712720988895,-0.3863181041999042
53,0.6890523780404828,0.4900712720988895,-0.4060248320400255
54,0.6249086547434364,0.4900712720988895,-0.2751383121623554
55,0.6141049847830199,0.4900712720988895,-0.25309321265234686
56,0.6088639786213069,0.4900712720988895,-0.24239883724187505
57,0.6807668114176979,0.4900712720988895,-0.3891179715597137
58,0.6632469922653926,0.4900712720988895,-0.3533684384820637
59,0.6757667877970308,0.4900712720988895,-0.3789153257297453
60,0.5967720219064939,0.4900712720988895,-0.21772496345403747
61,0.6629393347404023,0.4900712720988895,-0.35274065729490567
62,0.6811006428380739,0.4900712720988895,-0.3897991610914857
63,0.6362977192232069,0.4900712720988895,-0.29837792061969903
64,0.6511521855734386,0.4900712720988895,-0.3286887492602202
65,0.6453267603735795,0.4900712720988895,-0.3168018553908658
