target,method,learner,repeat,scope,entities,coverage_fraction,relative_rmse_gain,augmented_r2
electrolyte_conductivity,caltech_features_hard_coverage_gate,random_forest,1,q4_covered,8,1.0,-0.0013067268045217186,-1.428800039760501
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,random_forest,1,q1,33,1.0,-0.028730704579350508,-30.051295239195753
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,random_forest,1,q4,25,0.32,-0.016885724273460124,-0.3076969638134359
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,random_forest,1,q4_covered,8,1.0,-0.06361669845000378,-1.7404872619684246
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,extra_trees,1,q1,33,1.0,0.11266256107880601,-36.49950947986861
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,extra_trees,1,q4,25,0.32,-0.0007873733829020667,0.0322232709564515
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,extra_trees,1,q4_covered,8,1.0,-0.008153367936181785,0.3022716765473308
electrolyte_conductivity,caltech_features_hard_coverage_gate,extra_trees,1,q1,33,1.0,0.158466170500523,-32.728042281859864
electrolyte_conductivity,caltech_features_hard_coverage_gate,extra_trees,1,q4,25,0.32,-0.021084370260652765,-0.007429809208930216
electrolyte_conductivity,caltech_features_hard_coverage_gate,extra_trees,1,q4_covered,8,1.0,-0.20120418071520807,0.009471872400710901
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,extra_trees,1,q1,33,1.0,-0.02081249501148151,-48.62950341902037
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,extra_trees,1,q4,25,0.32,-0.008911972665163161,0.016446265289954742
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,extra_trees,1,q4_covered,8,1.0,-0.08907050351755204,0.1857736857253386
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,ridge_alpha_10,2,q1,33,1.0,0.10552715546156723,-4.4519389547534445
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,ridge_alpha_10,2,q4,25,0.32,-0.05389875946127595,-7.563677196691886
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,ridge_alpha_10,2,q4_covered,8,1.0,-0.060157172276812,-56.15666771579526
electrolyte_conductivity,caltech_features_hard_coverage_gate,ridge_alpha_10,2,q1,33,1.0,0.13694443895077554,-4.075679304380318
electrolyte_conductivity,caltech_features_hard_coverage_gate,ridge_alpha_10,2,q4,25,0.32,-0.04962240238748596,-7.494321306757627
electrolyte_conductivity,caltech_features_hard_coverage_gate,ridge_alpha_10,2,q4_covered,8,1.0,-0.05539695614819342,-55.64454127052368
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,ridge_alpha_10,2,q1,33,1.0,-0.00010828106243708778,-5.815703832802003
