n_systems,n_dois,intercept,slope,slope_se_hc3,slope_ci_lo,slope_ci_hi,p_hc3,r2,T_iso_K,temperature_harmonic_median_K,temperature_min_K,temperature_max_K,T_iso_relative_to_harmonic,adsorbate_name,p_holm
15,15,1.661559718351921,0.40590628240476306,0.2713887727199555,-0.18039351589533298,0.9922060807048592,0.1586179351185218,0.6228648142228165,296.305724390815,196.81843195702373,55.0,800.0,1.5054775177535953,Argon,0.4758538053555654
377,258,1.203694371129996,0.31069211781748446,0.014592346204401254,0.28199903920582375,0.33938519642914516,1.6320913063249086e-66,0.6646072745482153,387.1110599380569,296.5985018078386,30.0,598.0,1.3051686288990763,Carbon Dioxide,2.611346090119854e-65
26,20,0.6458328064828291,0.3524265813635576,0.05207046607737482,0.24495842132316287,0.4598947414039523,5.320867584442228e-07,0.8813593973912224,341.2692498317969,307.97074139628677,139.0,573.0,1.1081223115044643,Carbon monoxide,5.320867584442229e-06
30,26,-1.2968350529525998,0.3637113752149599,0.042899321001531286,0.2758360996972565,0.4515866507326633,3.2203585529500972e-09,0.507368921242829,330.6807629308898,313.4810709293274,91.0,673.0,1.0548667642054852,Ethane,3.542394408245107e-08
30,27,2.8432066675229577,0.21547475761418788,0.05285173092720874,0.10721289452665288,0.3237366207017229,0.0003417364331332365,0.3624041241650775,558.1737572160366,302.22877838701095,104.0,673.0,1.8468583971222032,Ethene,0.002050418598799419
54,45,3.18180825520637,0.3220151120505394,0.040217747338820664,0.2413122978463167,0.4027179262547621,1.2420044093903975e-10,0.4990234895594321,373.4991015696482,136.3203295442368,20.0,425.0,2.739863546533207,Hydrogen,1.6146057322075166e-09
9,9,-1.2064202873212544,0.2994629644437402,0.048118058413324845,0.18568183658003407,0.41324409230744635,0.0004351908739317174,0.8861834864514194,401.62680973299956,328.49190727293245,283.0,423.0,1.222638368985151,Isobutane,0.002175954369658587
11,9,-2.7142727182827135,0.5865860063327187,0.5946496311726394,-0.758604916179778,1.9317769288452156,0.3496927269096905,0.5646212842502458,205.03788659169976,234.46731281615632,87.0,450.0,0.8744838848921687,Krypton,0.699385453819381
190,127,2.8406691273112017,0.26402339191893803,0.02823755196001921,0.2083202266432297,0.3197265571946464,2.6263522001891458e-17,0.427164663643429,455.53673925851524,296.5985018078386,78.0,573.0,1.5358699942242129,Methane,3.6768930802648043e-16
34,29,-0.6321378321856306,0.30882503415459156,0.05742393327656841,0.19185630975092127,0.42579375855826185,6.6143398601501185e-06,0.8138346482375984,389.45144253597056,324.24470045531496,273.0,473.0,1.2011034937165979,N-propane,5.952905874135106e-05
124,86,0.6075407724167061,0.3314648690997433,0.02804064309339018,0.2759556154393809,0.38697412276010573,5.884674652630122e-22,0.6559368422659442,362.8509874044422,307.59381313911916,60.0,473.0,1.1796433215005244,Nitrogen,8.827011978945182e-21
20,17,3.3497222376035016,0.13540118564804648,0.1957959209298828,-0.27595078002283585,0.5467531513189288,0.49804811266702087,0.5365820465566358,888.2666312491134,302.23983054525206,77.0,873.0,2.938946298529373,Oxygen,0.699385453819381
22,20,1.2226689963002644,0.244893107877618,0.04733125544508841,0.1461618391059602,0.3436243766492758,4.6129513512149515e-05,0.7210019688958187,491.12184530252483,346.86490111338856,273.0,423.0,1.4158879832640643,Propene,0.0003229065945850466
15,6,1.2246880559912068,0.29695925035967197,0.04760905458461555,0.19410614107124238,0.3998123596481016,3.031837495287255e-05,0.7332907338256931,405.01299386045133,307.78347370049073,273.0,408.0,1.315902341964521,Sulfur Hexafluoride,0.0002425469996229804
20,14,-1.6524651905201302,0.3108467744074183,0.026163804360083708,0.25587866117076385,0.3658148876440728,5.925418852729221e-10,0.8804719851780197,386.91845933420683,322.1733501393212,273.0,413.0,1.200963578045444,Water,7.110502623275064e-09
16,8,-0.02972494803982606,0.3660507864257241,0.0881230991272658,0.17704553651950333,0.5550560363319448,0.0009742171472698953,0.9234176460731189,328.5673996690913,257.47860515342165,90.0,323.0,1.2760959283328048,Xenon,0.003896868589079581
