entity_id,split,component_id,size_matched_obelix_adjacent_ionic_for_borg_wrong_mechanical_rank,size_matched_borg_wrong_mechanical_for_obelix_adjacent_ionic_rank,coverage_matched_obelix_adjacent_ionic_vs_borg_wrong_mechanical,size_matched_obelix_adjacent_ionic_for_ocx_wrong_catalysis_rank,size_matched_ocx_wrong_catalysis_for_obelix_adjacent_ionic_rank,coverage_matched_obelix_adjacent_ionic_vs_ocx_wrong_catalysis,size_matched_caltech_adjacent_ionic_for_borg_wrong_mechanical_rank,size_matched_borg_wrong_mechanical_for_caltech_adjacent_ionic_rank,coverage_matched_caltech_adjacent_ionic_vs_borg_wrong_mechanical,size_matched_caltech_adjacent_ionic_for_ocx_wrong_catalysis_rank,size_matched_ocx_wrong_catalysis_for_caltech_adjacent_ionic_rank,coverage_matched_caltech_adjacent_ionic_vs_ocx_wrong_catalysis,skill_matched_wrong_rank
starry-0001e60424e3ded6625c,development,component-b37103b1890a9249,0.7761718222342293,0.14804808861272456,False,0.9808185870593003,0.6462245035796299,False,0.9528569498851817,0.16547345670674052,False,0.6805349182763745,0.6135350533567473,False,0.6458192624611644
starry-00056596e8c6d7cf5107,development,component-05953c61a6a1d652,0.33189247602323385,0.7560448466837768,False,0.527623936242064,0.890179656895853,False,0.8058895042550317,0.620829393489126,False,0.7129542077536134,0.9367823855193841,False,0.9046332567877888
starry-0013afd31a1cd062fddb,development,component-37dc8d84f038fb93,0.6709442118060246,0.9050384979062542,False,0.7178171011751993,0.6451438605970552,False,0.8342563825476158,0.871268404700797,False,0.9208429015264082,0.7149804133459409,False,0.8119681210320141
starry-0021b5214fb7dd62238d,validation,component-1cc303608ed53e22,0.4744022693502634,0.5168175064163177,False,0.5523436444684587,0.15304606240713226,False,0.7271376468999055,0.4943941645278941,False,0.84195596379846,0.16655409968931514,False,0.1692557071457517
starry-002befae360822c1dd89,development,component-e6ab272b7c2b7e78,0.023503984870998244,0.06794542752937999,True,0.03566121842496285,0.019856814804808862,False,0.01756044846683777,0.05038497906254221,True,0.03295961096852627,0.023503984870998244,False,0.0210725381602053
starry-0035a8050d658aa20b58,evaluation,component-15510d6a0317bc42,0.8866675672024855,0.30967175469404296,True,0.4740645684182088,0.0549777117384844,False,0.39808185870593005,0.33094691341348104,True,0.43036606781034714,0.03944346886397406,False,0.0566662163987572
starry-005b596b0bb70a5bf6c6,evaluation,component-eb9608bc147ffbe9,0.41557476698635687,0.8109550182358504,False,0.29846008374983113,0.6030663244630555,False,0.3029177360529515,0.7474672430095907,False,0.44610293124409023,0.5941510198568148,False,0.7320680805079022
starry-0061f6c45ead0d15f0bf,evaluation,component-eb9608bc147ffbe9,0.4142239632581386,0.8162231527759016,False,0.4659597460488991,0.6157638795083075,False,0.46771579089558285,0.8140618668107524,True,0.9480615966500068,0.6080642982574632,False,0.6938403349993246
starry-0067bd597dc044da9d64,development,component-b3abb1f95544a198,0.6437930568688369,0.5201269755504525,True,0.7723895717952182,0.2259894637309199,False,0.6760772659732541,0.5948939619073349,False,0.4080778062947454,0.21004997973794406,True,0.228285830068891
starry-00737f1070c2bae1b728,development,component-4fef417831d4fc71,0.9367148453329731,0.31608807240307984,True,0.6059030122923139,0.04721059030122923,False,0.4049034175334324,0.316763474267189,True,0.5294475212751587,0.032081588545184385,False,0.0233013643117655
