scope,seed,score,initial_source_spearman,source_weight,first_hit_rank,first_hit_fraction,top10_recall_top5,top10_enrichment,score_outcome_spearman,ensemble_spread_absolute_error_spearman,ensemble_spread_outcome_spearman,target_mean_outcome_spearman,mean_absolute_error
official_test,0,target_mean,0.48418951379499114,,2.0,0.01818181818181818,0.3333333333333333,3.333333333333333,0.30601312625770677,0.5395825680773718,-0.08835479121013667,0.30601312625770677,3.1106309503973733
official_test,0,ucb_beta_0.25,0.48418951379499114,,3.0,0.02727272727272727,0.3333333333333333,3.333333333333333,0.3027213533893082,0.5395825680773718,-0.08835479121013667,0.30601312625770677,3.1106309503973733
official_test,0,ucb_beta_0.5,0.48418951379499114,,3.0,0.02727272727272727,0.3333333333333333,3.333333333333333,0.31284017300120714,0.5395825680773718,-0.08835479121013667,0.30601312625770677,3.1106309503973733
official_test,0,ucb_beta_1,0.48418951379499114,,8.0,0.07272727272727272,0.16666666666666666,1.6666666666666665,0.33490406977528075,0.5395825680773718,-0.08835479121013667,0.30601312625770677,3.1106309503973733
official_test,0,ucb_beta_2,0.48418951379499114,,13.0,0.11818181818181818,0.0,0.0,0.2336211788203517,0.5395825680773718,-0.08835479121013667,0.30601312625770677,3.1106309503973733
official_test,0,ensemble_spread_only,0.48418951379499114,,33.0,0.3,0.0,0.0,-0.08835479121013667,0.5395825680773718,-0.08835479121013667,0.30601312625770677,3.1106309503973733
official_test,0,composition_novelty_only,0.48418951379499114,,4.0,0.03636363636363636,0.16666666666666666,1.6666666666666665,-0.37268991547595387,0.5395825680773718,-0.08835479121013667,0.30601312625770677,3.1106309503973733
official_test,0,thermoelectric_prior_high,0.48418951379499114,,3.0,0.02727272727272727,0.16666666666666666,1.6666666666666665,0.1305234985252219,0.5395825680773718,-0.08835479121013667,0.30601312625770677,3.1106309503973733
official_test,0,thermoelectric_prior_low,0.48418951379499114,,78.0,0.7090909090909091,0.0,0.0,-0.1305234985252219,0.5395825680773718,-0.08835479121013667,0.30601312625770677,3.1106309503973733
official_test,0,equal_positive_rank_fusion,0.48418951379499114,,1.0,0.00909090909090909,0.3333333333333333,3.333333333333333,0.21450474781891152,0.5395825680773718,-0.08835479121013667,0.30601312625770677,3.1106309503973733
official_test,0,credibility_weighted_signed_rank_fusion,0.48418951379499114,0.48418951379499114,1.0,0.00909090909090909,0.3333333333333333,3.333333333333333,0.2553580092280536,0.5395825680773718,-0.08835479121013667,0.30601312625770677,3.1106309503973733
official_test,0,target_mean_novelty_rank_fusion,0.48418951379499114,,1.0,0.00909090909090909,0.3333333333333333,3.333333333333333,0.10808087103502978,0.5395825680773718,-0.08835479121013667,0.30601312625770677,3.1106309503973733
hard_ood_40pct,0,target_mean,0.48418951379499114,,2.0,0.045454545454545456,0.6666666666666666,5.866666666666666,0.3765131298486859,0.5550151671280933,-0.10501434624458193,0.3765131298486859,3.1891884082369413
hard_ood_40pct,0,ucb_beta_0.25,0.48418951379499114,,2.0,0.045454545454545456,0.6666666666666666,5.866666666666666,0.3806770051366095,0.5550151671280933,-0.10501434624458193,0.3765131298486859,3.1891884082369413
hard_ood_40pct,0,ucb_beta_0.5,0.48418951379499114,,2.0,0.045454545454545456,0.6666666666666666,5.866666666666666,0.3783480579416692,0.5550151671280933,-0.10501434624458193,0.3765131298486859,3.1891884082369413
hard_ood_40pct,0,ucb_beta_1,0.48418951379499114,,2.0,0.045454545454545456,1.0,8.8,0.2547727082949871,0.5550151671280933,-0.10501434624458193,0.3765131298486859,3.1891884082369413
hard_ood_40pct,0,ucb_beta_2,0.48418951379499114,,5.0,0.11363636363636363,0.3333333333333333,2.933333333333333,0.17135405422167002,0.5550151671280933,-0.10501434624458193,0.3765131298486859,3.1891884082369413
