target,source,programme_cluster,primary_edge_class,relation,neighborhood,is_designated_primary,is_wrong_control,is_shuffled_control,repeats,gain_all_mean,gain_id_mean,gain_id_ci_lo,gain_id_ci_hi,gain_ood_mean,gain_ood_ci_lo,gain_ood_ci_hi,gain_specific_mean,gain_specific_ci_lo,gain_specific_ci_hi,base_ood_r2_mean,aug_ood_r2_mean,positive_ood_repeat_fraction,positive_ood_learners,learners_evaluated,one_sided_sign_flip_p,holm_p,primary_minus_wrong_mean,primary_minus_wrong_ci_lo,primary_minus_wrong_ci_hi,primary_minus_shuffled_mean,primary_minus_shuffled_ci_lo,primary_minus_shuffled_ci_hi,post_exclusion_overlap,interval_method,classification
polymer_tm,polymer_crystallization,openpoly,within-database-neighbor,physical-neighbor,3,True,False,False,100,0.0014290195954738238,0.0010167581415647328,-0.0016917130086382126,0.0049961164896390325,-0.0008180843269870982,-0.013258597410268266,0.01144659784660365,-0.0018348424685518312,-0.015505791556346802,0.009986657135008582,-0.7326486335497142,-0.7318889478829275,0.57,1,3,0.7979,1.0,0.010163220508359883,0.007873816071430497,0.012388072021431978,-0.00020293959615206192,-0.0023783778185047164,0.0018922274166457292,0,hierarchical-repeat-and-group-bootstrap,unresolved
polymer_tm,polymer_tg,openpoly,real-inherited-edge,physical-neighbor,3,False,False,False,100,-0.01491305473439965,-0.00515320267355841,-0.006911237547170997,-0.0034279247511137378,-0.033215518915055704,-0.037716419386761235,-0.02880267075703287,-0.028062316241497288,-0.031971055770266724,-0.024326860334729406,-0.7326486335497142,-0.8388562627759716,0.04,0,3,,,,,,,,,0,repeat-bootstrap-exploratory,harmful
polymer_tm,polymer_td,openpoly,real-inherited-edge,same-domain,2,False,False,False,100,-0.0003236488118532664,-0.0011232495196456208,-0.002324187329932152,1.4470973890585019e-05,-0.00025476377021520094,-0.0016388707938462393,0.001141672765724596,0.0008684857494304201,-0.0002483586636067125,0.002038722970788717,-0.7326486335497142,-0.7356583683993186,0.46,0,3,,,,,,,,,0,repeat-bootstrap-exploratory,unresolved
polymer_tm,polymer_tensile,openpoly,real-inherited-edge,same-domain,1,False,False,False,100,0.0015774661985567292,0.006374252895991046,0.0053655947207618,0.0074489845251060035,-0.008998822915832228,-0.011037706744788227,-0.00713145216960339,-0.015373075811823273,-0.017733938880850796,-0.012996063235772704,-0.7326486335497142,-0.7594849382828133,0.2,2,3,,,,,,,,,0,repeat-bootstrap-exploratory,harmful
polymer_tm,photo_e_pipi,openpoly,real-inherited-edge,distant-control,0,False,True,False,100,-0.0023710974793620153,0.007964542213999398,0.006746195628892445,0.009190157149366524,-0.010981304835346983,-0.012855296909273752,-0.009074150000884339,-0.01894584704934638,-0.021764497044066567,-0.01615088407784594,-0.7326486335497142,-0.7691294752954864,0.05,1,3,,,,,,,,,0,repeat-bootstrap-exploratory,harmful
polymer_tm,shuffled::polymer_crystallization,openpoly,shuffled-control,shuffled-control,-1,False,False,True,100,-0.0020359799101279377,0.0011960063145924791,-0.0008719222502676493,0.0034540905227505173,-0.0006151447308350362,-0.002287292815771248,0.0010198496897307603,-0.0018111510454275155,-0.003921049186854751,0.00017978493783165703,-0.7326486335497142,-0.735039552574497,0.58,2,3,,,,,,,,,0,repeat-bootstrap-exploratory,unresolved
solubility,hydration,aqsoldb,cross-database-neighbor,cross-dataset-thermodynamic,3,True,False,False,100,0.0004685101389805816,0.0012942406722382892,0.00014888876525120278,0.0025361002810776836,0.0008390077186868613,-0.002192829028335667,0.003115631213654802,-0.00045523295355142784,-0.003672170782012547,0.0019267305437222066,-0.0943644862743128,-0.09243062913882318,0.76,3,3,0.007,0.049,-0.0006435135126916443,-0.001965630704096049,0.000588735140968124,0.0006687908115805985,-0.00018306843334683272,0.0014641865363654032,0,hierarchical-repeat-and-group-bootstrap,directional-ood-improvement
solubility,pka_acid,aqsoldb,real-inherited-edge,cross-dataset-ionization,2,False,False,False,100,-0.0004768542538802862,-0.0005092786929179106,-0.0010034076518409272,-4.203654632881115e-05,-0.0006471990498175028,-0.001079099302317729,-0.00020072834719274998,-0.00013792035689959216,-0.0005167996233820751,0.0002584901100874345,-0.0943644862743128,-0.09579216858907294,0.36,0,3,,,,,,,,,0,repeat-bootstrap-exploratory,harmful
solubility,pka_base,aqsoldb,real-inherited-edge,cross-dataset-ionization,2,False,False,False,100,-0.0001289360700846244,-0.0004955210481025936,-0.000929331231579387,-9.618728300465818e-05,-1.0297759303263665e-06,-0.000644206720895009,0.0006363914594286057,0.000494491272172267,-0.00037903337956120796,0.0013545792355456983,-0.0943644862743128,-0.09416885722582023,0.49,1,3,,,,,,,,,0,repeat-bootstrap-exploratory,unresolved
solubility,photo_e_pipi,aqsoldb,real-inherited-edge,distant-control,0,False,True,False,100,0.0003227620458455339,0.0003173403384439966,-1.957738005883232e-05,0.0006475848447775948,0.0014825212313785059,0.0005697333584557323,0.002379800487408965,0.0011651808929345091,0.0004773607819347177,0.0018916397022891707,-0.0943644862743128,-0.09156574521331638,0.76,3,3,,,,,,,,,0,repeat-bootstrap-exploratory,ood-improvement-not-specific
solubility,polymer_tg,aqsoldb,real-inherited-edge,distant-control,0,False,False,False,100,-0.00033097805616250884,-0.0007955539771395022,-0.0012439345963934484,-0.000407809334084106,-0.001206678552791736,-0.0018210285141798282,-0.0006610036601056289,-0.00041112457565223407,-0.0008313727874261586,-1.638571546750039e-05,-0.0943644862743128,-0.09720735623639397,0.34,0,3,,,,,,,,,0,repeat-bootstrap-exploratory,harmful
solubility,shuffled::hydration,aqsoldb,shuffled-control,shuffled-control,-1,False,False,True,100,0.0004427449350933219,0.00013709009192179402,-0.0003695050603267902,0.0006355138145602864,0.00017021690710626296,-0.00028287190327897573,0.0006302872286148193,3.312681518446884e-05,-0.0005654707212228362,0.0006536884990616388,-0.0943644862743128,-0.09376142281185253,0.54,1,3,,,,,,,,,0,repeat-bootstrap-exploratory,directional-ood-improvement
te_zt,te_seebeck,estm,within-database-neighbor,physical-neighbor,2,True,False,False,100,-0.010918722303390294,-0.0008705333394836845,-0.3839894164770604,0.012958024707512573,0.0015171047316430183,-0.0631429502855649,0.010740851300657843,0.0023876380711267027,-0.018856802979066216,0.3788795296858896,-571.4362585354859,-621.1544755434618,0.55,3,3,0.4048,1.0,-0.001863410127567617,-0.017745075106971615,0.013766682437686332,0.003901071117107345,-0.009174794595803558,0.01679444564213079,0,hierarchical-repeat-and-group-bootstrap,directional-ood-improvement
te_zt,te_power_factor,estm,real-inherited-edge,constitutive-calibration,3,False,False,False,100,0.061232948622894995,0.05728392938335683,0.03801149782034521,0.07548499297861501,0.08634757000659045,0.06693143970292598,0.10521938146007993,0.029063640623233616,0.007058816979579676,0.053769230392768715,-571.4362585354859,-473.990096047625,0.91,3,3,,,,,,,,,0,repeat-bootstrap-exploratory,ood-improvement-not-specific
te_zt,te_thermal,estm,real-inherited-edge,constitutive-calibration,3,False,False,False,100,0.0007871217747965607,-0.006606897424762723,-0.02219845926446606,0.008468716266403638,0.003511833537537625,-0.008575816310966341,0.015195222278143836,0.010118730962300348,-0.007363041991050534,0.027378679943259873,-571.4362585354859,-583.1410355945309,0.55,2,3,,,,,,,,,0,repeat-bootstrap-exploratory,directional-ood-improvement
te_zt,alloy_ys,estm,real-inherited-edge,distant-control,0,False,True,False,100,0.0069670490483815005,-0.003888499966840734,-0.015809081621291576,0.005011159813000752,0.0033805148592106343,-0.007451971350414592,0.012455764936010852,0.007269014826051368,-0.0009327266106408021,0.01509937891528298,-571.4362585354859,-539.1576212695273,0.67,3,3,,,,,,,,,0,repeat-bootstrap-exploratory,directional-ood-improvement
te_zt,catalysis_h2,estm,real-inherited-edge,distant-control,0,False,False,False,100,0.005485570724885812,-0.0013551055129705232,-0.011326475441342949,0.008314477863091037,0.00842618538555562,-0.001466936771524279,0.018665877408864766,0.009781290898526146,-0.004914073490330051,0.023288603100492477,-571.4362585354859,-572.8952633018189,0.55,2,3,,,,,,,,,0,repeat-bootstrap-exploratory,directional-ood-improvement
te_zt,shuffled::te_seebeck,estm,shuffled-control,shuffled-control,-1,False,False,True,100,0.009597996310934925,0.009635327328357937,-0.0012849198569413777,0.021261998347749132,-0.002383966385464327,-0.009267479253602794,0.004491868463883343,-0.012019293713822266,-0.024189445740904123,-0.0006974721416453888,-571.4362585354859,-549.5937353637588,0.45,1,3,,,,,,,,,0,repeat-bootstrap-exploratory,unresolved
