system_id,doi,adsorbent_id,adsorbent_name,adsorbate_id,adsorbate_name,adsorption_unit,uptake_log_fraction,target_uptake,n_temperatures,n_isotherms,temperature_min_K,temperature_max_K,temperature_span_K,temperature_harmonic_K,Qst_kJ_mol,vanthoff_intercept,vanthoff_slope,vanthoff_r2,residual_sd,temperatures_json
973fff779f3b0591820c,10.1021/acs.jpcc.7b04213,NIST-MATDB-774a27b3c10056b461abeaf70cf0d7c3,carbon-ZX 1.0nm slit pore,FHNFHKCVQCLJFQ-UHFFFAOYSA-N,Xenon,mmol/g,0.5,3.744739957593851,4,4,223.0,298.0,75.0,257.47860515342165,33.063953532818545,13.335056848510849,-3976.6795584153483,0.998043349217389,0.10493076800186432,"[223.0,248.0,273.0,298.0]"
6b564ce6e0a212067505,10.1021/acs.jpcc.7b04213,NIST-MATDB-6497bee323f73b56bb7435b783fdd8da,carbon-ZX 1.2nm slit pore,FHNFHKCVQCLJFQ-UHFFFAOYSA-N,Xenon,mmol/g,0.5,5.818924725411045,4,4,223.0,298.0,75.0,257.47860515342165,31.08738961324148,12.452247647172879,-3738.9535609153336,0.9995674745493975,0.04635004321605331,"[223.0,248.0,273.0,298.0]"
14695f3970aa44283dc8,10.1021/acs.jpcc.7b04213,NIST-MATDB-3e49ac2260172f44acd261e7fa78e683,Carbon-ZX 1.4nm slit pore,FHNFHKCVQCLJFQ-UHFFFAOYSA-N,Xenon,mmol/g,0.5,4.303648275591303,4,4,223.0,298.0,75.0,257.47860515342165,26.156958317300305,9.95849589583591,-3145.9589775761283,0.9992579179514153,0.05109054267728529,"[223.0,248.0,273.0,298.0]"
49f35af951447f253b60,10.1021/acs.jpcc.7b04213,NIST-MATDB-b20b508d831f1a3975db8ff1911cbab2,Carbon-ZX 1.6nm slit pore,FHNFHKCVQCLJFQ-UHFFFAOYSA-N,Xenon,mmol/g,0.5,1.8339364629124968,4,4,223.0,298.0,75.0,257.47860515342165,20.892149893519136,7.4360378495651815,-2512.748069599185,0.9977753288178058,0.07070754825516208,"[223.0,248.0,273.0,298.0]"
8206856527c771a61f54,10.1021/acs.jpcc.7b04213,NIST-MATDB-ffe9d66bb1d75e8e57f8bb9a71c71ff2,Carbon-ZX 1.8nm slit pore,FHNFHKCVQCLJFQ-UHFFFAOYSA-N,Xenon,mmol/g,0.5,1.7612412356062983,4,4,223.0,298.0,75.0,257.47860515342165,21.15525406104458,7.550329584028283,-2544.3922274490255,0.9984563235635204,0.059620821862731085,"[223.0,248.0,273.0,298.0]"
59af595186e8a3e3abcd,10.1021/acs.jpcc.7b04213,NIST-MATDB-72e46d195b00816d53ff6e2bb86b1e20,Carbon-ZX 2.0nm slit pore,FHNFHKCVQCLJFQ-UHFFFAOYSA-N,Xenon,mmol/g,0.5,1.7148534806215954,3,3,223.0,298.0,75.0,252.6897200273942,21.215487621939424,7.6033617231991855,-2551.6366596704584,0.999726772437612,0.033885280597673074,"[223.0,248.0,298.0]"
8ab3c6e28d579fa7f5b6,10.1021/acs.jpcc.7b04213,NIST-MATDB-24c7eeb9af59889546d7fc465755d637,Carbon-ZX .9nm slit pore,FHNFHKCVQCLJFQ-UHFFFAOYSA-N,Xenon,mmol/g,0.5,3.349105149140588,3,3,248.0,298.0,50.0,271.4694701339242,33.093982850218275,12.352129236526407,-3980.2912551393392,0.9690192610246169,0.3409476862260042,"[248.0,273.0,298.0]"
452c3f008be09d821917,10.1021/acs.jpcc.7b04213,NIST-MATDB-5fd754c9377bc7887b482fab5e451166,carbon-ZX,SYUHGPGVQRZVTB-UHFFFAOYSA-N,Radon,mmol/g,0.5,6.162290171681305,4,4,223.0,298.0,75.0,257.47860515342165,34.518483927025784,13.979996985548974,-4151.619354407878,0.9970160505128566,0.13535131614167495,"[223.0,248.0,273.0,298.0]"
131ff12adae5f5487d25,10.1021/acs.jpcc.7b04213,NIST-MATDB-5fd754c9377bc7887b482fab5e451166,carbon-ZX,XKRFYHLGVUSROY-UHFFFAOYSA-N,Argon,mmol/g,0.5,0.19228588091693055,5,5,198.0,298.0,100.0,242.88615113275554,13.672009820026243,4.661387948901831,-1644.3648192218334,0.9976861253251479,0.0613269395321529,"[198.0,223.0,248.0,273.0,298.0]"
b6ac4bb8d901ab161e88,10.1021/acs.jpcc.7b04213,NIST-MATDB-5fd754c9377bc7887b482fab5e451166,carbon-ZX,DNNSSWSSYDEUBZ-UHFFFAOYSA-N,Krypton,mmol/g,0.5,1.0973555303546796,5,5,198.0,298.0,100.0,242.88615113275554,19.27297158617609,7.521941890411686,-2318.005681340942,0.999925821005652,0.015461486319518413,"[198.0,223.0,248.0,273.0,298.0]"
