type,condition_group,source_distance,target_distance,applicability,borrow_allowed,adjacency_relative_rmse_gain_vs_target_only,adjacency_wins_target
k,k|10|0.2,0.1578947368421052,0.3714285714285714,0.8119438340304238,True,0.0969901865639902,True
k,k|10|0.8,0.2105263157894736,0.3714285714285714,0.751503218859067,True,0.115969850547961,True
k,k|23|0.2,0.1578947368421052,0.3714285714285714,0.8097876095731026,True,0.0031097995020701,True
k,k|23|0.65,0.1578947368421052,0.1578947368421053,0.0638836946253759,False,0.1209210403005752,True
k,k|23|0.8,0.2105263157894736,0.1578947368421053,0.4254763711312292,True,-0.2953194628426387,False
k,k|23|0.9,0.1052631578947368,0.1052631578947368,0.0526200860697665,False,0.0706321792343863,True
k,k|45|0.65,0.1578947368421052,0.2631578947368421,0.248879051925738,True,0.1981201176258779,True
k,k|45|0.9,0.1052631578947368,0.2631578947368421,0.3432182592343524,True,0.0347659831940114,True
z,z|23|0.25|0.05|0.4|0.3,0.6064468466220085,0.9504410931798656,0.2781877066298818,True,0.1419967086917681,True
z,z|23|0.36|0.05|0.8|1.7,0.6163252308022581,0.9504410931798656,0.1785139482900009,False,-0.4022079517475734,False
z,z|23|0.69|0.2|1|0.5,0.6281472457559458,1.143094249311892,0.146034268553916,False,0.1971353355175308,True
z,z|23|0.8|0.25|0.2|1.4,0.4343319824658965,1.143094249311892,0.1742526672862513,False,0.0606043660055405,True
z,z|35|0.63|0.4|0.5|0.2,0.4765087921722403,0.7828446544394292,0.3993619230484991,True,0.0088502165025766,True
z,z|35|0.74|0.15|0.5|1.3,0.3025896459351517,0.699063610946658,0.5182281075523042,True,0.0170029111931836,True
z,z|35|0.8|0.1|0.7|0.8,0.2660159070618096,0.7398522083324967,0.4839957440762611,True,-0.0406981813969555,False
z,z|45|0.41|0.05|1|1,0.3496439368314625,0.917498107778854,0.239568083870281,True,0.0715225515459511,True
z,z|45|0.47|0.15|0.7|1.9,0.3606937759374287,0.6618782752437713,0.2498759095959084,True,0.0638197374246396,True
z,z|45|0.52|0.05|0.3|0.7,0.430573991725906,0.917498107778854,0.3067095884071255,True,0.0769629515717306,True
z,z|45|0.8|0.6|0.24|2,0.6173461560586306,0.8681077762070278,0.0881055556882541,False,-0.0048717198253827,False
z,z|45|0.8|0.6|0.2|0.44,0.7420472914420314,1.004987562112089,0.0564933866190208,False,0.0401296013562579,True
z,z|45|0.8|0.6|1|0.26,0.3133353033823015,0.9666666666666668,0.1388642864553456,False,-0.0056489386527716,False
z,z|45|0.8|0.6|1|2,0.6693819531966643,0.9499999999999998,0.095781721771871,False,0.0030731968788051,True
