target,source,stage,learner,repeats,train_n,test_n,test_groups,base_r2_mean,aug_r2_mean,delta_r2_mean,base_rmse_mean,aug_rmse_mean,relative_rmse_improvement_mean,relative_rmse_ci_lo,relative_rmse_ci_hi,fraction_repeats_positive,mse_improvement_mean,target_label,source_label,target_domain,source_domain,neighborhood,relation,rationale,source_group_cv_r2_mean,raw_source_target_evaluation_key_overlap,source_model_evaluation_key_overlap_after_exclusion,discovery_selected,target_equivalent_n,target_sample_fraction_saved,target_equivalence_status,permutation_p_raw,permutation_p_holm,learners_positive_of_three,edge_status
catalysis_h2,te_zt,confirmation,ridge-primary,100,30,43,9,0.23822943629640003,0.25856982093587016,0.020340384639470136,24.339947583467637,23.97720749252808,0.016044686357091623,-0.0029887972821149916,0.025272612873592858,0.79,16.20485257011818,CO2R H2 Faradaic efficiency,Thermoelectric ZT,CO2 electroreduction,thermoelectric,0,distant-control,unrelated thermoelectric endpoint,0.27494977493967965,0,0,False,37.18752448354669,0.19327784205498136,interpolated,,,1,unresolved
catalysis_h2,alloy_ys,confirmation,ridge-primary,100,30,43,9,0.23822943629640003,0.21215740960544813,-0.026072026690951836,24.339947583467637,24.79674330583175,-0.020722903676553547,-0.041381504445720245,0.0009228976673959703,0.19,-20.77115827550383,CO2R H2 Faradaic efficiency,Alloy yield strength,CO2 electroreduction,multi-principal-element alloy,0,distant-control,unrelated mechanical endpoint,0.31508915319646275,0,0,False,28.45070759139548,-0.0544553207904425,interpolated,,,0,unresolved
catalysis_h2,electrolyte_conductivity,confirmation,ridge-primary,100,30,43,9,0.23822943629640003,0.24186194412505835,0.003632507828658318,24.339947583467637,24.285436693155226,0.0021872139279310227,-0.0029788419783767384,0.01012039532836183,0.66,2.893959719374384,CO2R H2 Faradaic efficiency,Solid-electrolyte ionic conductivity,CO2 electroreduction,solid electrolyte,0,distant-control,different electrochemical material function,0.41006090697948716,0,0,False,33.58560125310666,0.10676007334467452,interpolated,,,1,practically-equivalent
electrolyte_conductivity,te_electrical,confirmation,ridge-primary,100,30,55,22,-3.941349039110219,-3.8197282539339357,0.12162078517628276,4.688896389648386,4.667334487754132,0.0014424800835108145,-0.018721569647421533,0.033498258344538095,0.55,0.8474568183327262,Solid-electrolyte ionic conductivity,Thermoelectric electrical conductivity,solid electrolyte,thermoelectric,2,cross-domain-transport,composition-mediated charge transport,0.34280316624537893,0,0,False,8.0,-2.75,no-savings,,,1,unresolved
electrolyte_conductivity,te_power_factor,confirmation,ridge-primary,100,30,55,22,-3.941349039110219,-3.7478366027852212,0.19351243632499712,4.688896389648386,4.660496180977963,0.0017783011190597928,-0.032043211951080154,0.05340106053686389,0.59,1.3483997275473658,Solid-electrolyte ionic conductivity,Thermoelectric power factor,solid electrolyte,thermoelectric,1,cross-domain-transport,electronic transport composite,0.4310351864936504,0,0,False,8.0,-2.75,no-savings,,,1,unresolved
electrolyte_conductivity,te_thermal,confirmation,ridge-primary,100,30,55,22,-3.941349039110219,-3.864675210955014,0.07667382815520515,4.688896389648386,4.719040058988451,-0.02049559279128564,-0.04439556758384001,0.07112973947486811,0.18,0.5342652439187795,Solid-electrolyte ionic conductivity,Thermoelectric thermal conductivity,solid electrolyte,thermoelectric,1,cross-domain-transport,lattice transport context,0.5713319598750842,0,0,True,8.0,-2.75,no-savings,0.76,0.76,1,unresolved
electrolyte_conductivity,alloy_ys,confirmation,ridge-primary,100,30,55,22,-3.941349039110219,-3.7621538398999395,0.1791951992102793,4.688896389648386,4.6482257698424645,0.000153555959317062,-0.005706046335334838,0.03975938949278558,0.51,1.2486368441309526,Solid-electrolyte ionic conductivity,Alloy yield strength,solid electrolyte,multi-principal-element alloy,0,distant-control,mechanical endpoint,0.31508915319646275,0,0,False,8.0,-2.75,no-savings,,,1,unresolved
electrolyte_conductivity,catalysis_h2,confirmation,ridge-primary,100,30,55,22,-3.941349039110219,-3.99744352714848,-0.05609448803826166,4.688896389648386,4.708241656364538,-0.004413377829142714,-0.01070139849961864,0.0017437939863631906,0.4,-0.390867862676641,Solid-electrolyte ionic conductivity,CO2R H2 Faradaic efficiency,solid electrolyte,CO2 electroreduction,0,distant-control,surface selectivity endpoint,0.23641691307097645,0,0,False,8.0,-2.75,no-savings,,,0,practically-equivalent
solubility,hydration,confirmation,ridge-primary,100,30,750,395,0.13004897356791484,0.13309281057559094,0.003043837007676077,2.6652858869837326,2.6606232361548434,0.0017459938939196253,0.0006662728583404719,0.0028045938244483774,0.81,0.025010139922042027,Aqueous solubility,Hydration free energy,aqueous molecular thermodynamics,aqueous molecular thermodynamics,3,cross-dataset-thermodynamic,aqueous solvation contribution,0.4627047025931091,71,0,False,34.815630485235666,0.13831806054116524,interpolated,,,1,practically-equivalent
solubility,pka_acid,confirmation,ridge-primary,100,30,750,395,0.13004897356791484,0.12954143593763787,-0.0005075376302769896,2.6652858869837326,2.6660812246465286,-0.000305438632310705,-0.0009160661533992874,0.00018184536232845048,0.4,-0.004170258498374855,Aqueous solubility,Molecular pKa,aqueous molecular thermodynamics,aqueous molecular acid-base,2,cross-dataset-ionization,ionization controls apparent solubility,0.28019714131803225,61,0,False,34.35099913355666,0.12666295721530488,interpolated,,,0,practically-equivalent
