budget,base_r2_mean,aug_r2_mean,delta_r2_mean,base_rmse_mean,aug_rmse_mean,relative_rmse_improvement_mean,relative_rmse_repeat_q025,relative_rmse_repeat_q975,fraction_repeats_positive,analysis_status,estimand
8,0.06909407826485324,0.12519778955344704,0.05610371128859382,0.13903911435095961,0.1348718703302403,0.02926556952333094,-0.027756170948439036,0.12913935041451763,0.87,post-confirmation-sensitivity,independent-campaign-interpolation
15,0.21022650891051786,0.24099535857843046,0.0307688496679126,0.1282410050041186,0.12575571451205383,0.018686794920237358,-0.06094937874724633,0.08166045487432884,0.84,post-confirmation-sensitivity,independent-campaign-interpolation
30,0.3513666246642866,0.37735097003744883,0.025984345373162184,0.11610870426679548,0.11373039779102062,0.02051574899775635,-0.04420844866303836,0.07539584346505172,0.815,post-confirmation-sensitivity,independent-campaign-interpolation
45,0.3918873586112033,0.41655262320654046,0.02466526459533712,0.11362279299150586,0.1112515216753508,0.020931455308322043,-0.044035570557126945,0.08023964499823562,0.805,post-confirmation-sensitivity,independent-campaign-interpolation
60,0.4091018294366435,0.42808300532152527,0.018981175884881747,0.11175688210328989,0.10989952037149965,0.01652456025568264,-0.05446402359441828,0.05728177739421697,0.775,post-confirmation-sensitivity,independent-campaign-interpolation
75,0.4361221797831667,0.4525591754038054,0.0164369956206387,0.1085764380332069,0.10697208206932513,0.014515733851646995,-0.05850329549525991,0.05597568246255563,0.8,post-confirmation-sensitivity,independent-campaign-interpolation
