policy,programme_clusters,target_tasks,mean_programme_utility,bootstrap_ci_lo,bootstrap_ci_hi,programme_coverage,task_coverage,admitted_tasks,admitted_point_harm_rate,admitted_clear_harm_rate,clear_benefit_retained,clear_benefit_available,clear_benefit_retention_rate,selected_positive_absolute_r2_rate_when_available
cca_meta,13,20,0.01581821833053184,-0.002255731479269069,0.04266927951574219,0.8461538461538461,0.85,17,0.5882352941176471,0.058823529411764705,4,10,0.4,0.23529411764705882
cca_rule,13,20,0.015980135442952455,-0.0020943950991163416,0.04338045988593889,0.8461538461538461,0.85,17,0.5882352941176471,0.058823529411764705,4,10,0.4,0.23529411764705882
always_best_credibility,13,20,0.0016385058932660468,-0.0049273950866014545,0.00927494773510341,1.0,1.0,20,0.55,0.1,3,10,0.3,0.25
adjacency_only,13,20,0.01798229252571935,-0.0019428083782955647,0.04524151266433526,1.0,1.0,20,0.55,0.05,5,10,0.5,0.25
credibility_only,13,20,0.0016385058932660468,-0.004893893232534678,0.009102523747805054,1.0,1.0,20,0.55,0.1,3,10,0.3,0.25
never_borrow,13,20,0.0,0.0,0.0,0.0,0.0,0,,,0,10,0.0,
oracle_upper_bound,13,20,0.02925722300609449,0.01111534295794319,0.05407049848422575,0.9230769230769231,0.95,19,0.0,0.0,9,10,0.9,0.3157894736842105
