anchor_budget,draw,model,n_anchor_rows,n_anchor_formulations,n_test_rows,n_test_formulations,anchor_formula_groups,n,log_rmse,log_mae,log_r2,raw_rmse,raw_mae,raw_r2,spearman
5,2,target_only_ridge,5,5,1631,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""5ad06b734f57f7be27a36982588433825440fa4781351395719328eb52913511"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1631,0.6648677204202965,0.49299769370865315,-0.07118682812512445,6.229437808677808,4.370194814436805,-0.09938758244940149,0.034100320359615216
5,2,anchor_constant,5,5,1631,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""5ad06b734f57f7be27a36982588433825440fa4781351395719328eb52913511"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1631,0.6664689840197217,0.5452565867946095,-0.07635272180719688,7.130376042350706,4.669974880337638,-0.4403830002706486,
5,3,source_frozen,5,5,1626,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""2b57c5d3459b2beb073040b9e0b618ae742e0bafe3c8075132c8b7c1e66f4181"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1626,0.3378094819088819,0.255154079292156,0.7233468285160081,3.697123322871266,2.348631165699381,0.6089034007365124,0.8662147485849329
5,3,source_shrinkage_adapter,5,5,1626,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""2b57c5d3459b2beb073040b9e0b618ae742e0bafe3c8075132c8b7c1e66f4181"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1626,0.3190340347732176,0.2420388586680294,0.7532449696913114,3.3946785498163896,2.2698171909797282,0.6702737849510755,0.8708338187777556
5,3,target_only_ridge,5,5,1626,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""2b57c5d3459b2beb073040b9e0b618ae742e0bafe3c8075132c8b7c1e66f4181"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1626,0.7045706640357035,0.5098502130826799,-0.20348614663342723,6.064883271389005,4.653668556562258,-0.05244899586613383,0.08031169648071314
5,3,anchor_constant,5,5,1626,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""2b57c5d3459b2beb073040b9e0b618ae742e0bafe3c8075132c8b7c1e66f4181"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1626,0.6542356489614234,0.5277937333229208,-0.0376727021521821,6.963471832050865,4.576712575228097,-0.3874195547015826,
5,4,source_frozen,5,5,1626,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""8f4d6fdbb1baa18b6c536dc814f7c55c3799e078a2577adba22cc1cfca4de45b"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1626,0.3348425567852135,0.25360767359717185,0.7237259333946523,3.734891993774598,2.3732517668827917,0.6074013407428752,0.866453692649117
5,4,source_shrinkage_adapter,5,5,1626,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""8f4d6fdbb1baa18b6c536dc814f7c55c3799e078a2577adba22cc1cfca4de45b"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1626,0.3169832558778991,0.24165745940230457,0.7524109318515207,3.3889234656508203,2.319033614726784,0.6767665933274821,0.8712398570715105
5,4,target_only_ridge,5,5,1626,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""8f4d6fdbb1baa18b6c536dc814f7c55c3799e078a2577adba22cc1cfca4de45b"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1626,0.7520261563269892,0.6397645536713715,-0.3935569245637789,7.607996673852114,5.023289546334006,-0.6290459916018252,0.014736831220346516
5,4,anchor_constant,5,5,1626,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""8f4d6fdbb1baa18b6c536dc814f7c55c3799e078a2577adba22cc1cfca4de45b"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1626,0.7090496998984192,0.5984823565386238,-0.23883131972305027,7.460567817422267,4.918455110987512,-0.566521942502231,
