edge_id,source_evaluated,learner_evaluated,repeat,pool,candidate_n,baseline_fraction_to_first_hit,augmented_fraction_to_first_hit,baseline_first_hit_rank,augmented_first_hit_rank,baseline_top10_recall_top5,augmented_top10_recall_top5,baseline_top10_enrichment,augmented_top10_enrichment,baseline_top10_regret,augmented_top10_regret,baseline_spearman_rho,augmented_spearman_rho,effect_fraction_to_first_hit,effect_top10_recall_top5,effect_top10_enrichment,effect_top10_regret_reduction,effect_spearman_rho,analysis_family,edge_role
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,7,years1_2_to_year3,20,0.45,0.5,9.0,10.0,0.0,0.0,0.0,0.0,0.08291303060594002,0.08291303060594002,0.3789473684210526,0.3684210526315789,-0.04999999999999999,0.0,0.0,0.0,-0.010526315789473661,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,8,year1_to_year2,51,0.21568627450980393,0.21568627450980393,11.0,11.0,0.0,0.0,0.0,0.0,0.24787508063661257,0.24787508063661257,0.4521369262905221,0.4657918552036199,0.0,0.0,0.0,0.0,0.013654928913097775,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,8,years1_2_to_year3,20,0.25,0.35,5.0,7.0,0.0,0.0,0.0,0.0,0.10413605247227009,0.10413605247227009,0.44060150375939844,0.3488721804511278,-0.09999999999999998,0.0,0.0,0.0,-0.09172932330827066,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,9,year1_to_year2,51,0.11764705882352941,0.09803921568627451,6.0,5.0,0.3333333333333333,0.3333333333333333,2.833333333333333,2.833333333333333,0.13146759071688052,0.13146759071688052,0.4495927601809955,0.45484162895927593,0.0196078431372549,0.0,0.0,0.0,0.005248868778280458,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,9,years1_2_to_year3,20,0.35,0.4,7.0,8.0,0.0,0.0,0.0,0.0,0.10413605247227009,0.10413605247227009,0.33533834586466166,0.3488721804511278,-0.050000000000000044,0.0,0.0,0.0,0.01353383458646612,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,10,year1_to_year2,51,0.13725490196078433,0.09803921568627451,7.0,5.0,0.0,0.3333333333333333,0.0,2.833333333333333,0.2217863493931298,0.13146759071688052,0.606606334841629,0.6076018099547511,0.03921568627450982,0.3333333333333333,2.833333333333333,0.09031875867624928,0.0009954751131221462,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,10,years1_2_to_year3,20,0.75,0.8,15.0,16.0,0.0,0.0,0.0,0.0,0.10413605247227009,0.10413605247227009,-0.24661654135338343,-0.2601503759398496,-0.050000000000000044,0.0,0.0,0.0,-0.013533834586466148,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,11,year1_to_year2,51,0.058823529411764705,0.0784313725490196,3.0,4.0,0.3333333333333333,0.3333333333333333,2.833333333333333,2.833333333333333,0.0,0.0,0.6084162895927602,0.611131221719457,-0.0196078431372549,0.0,0.0,0.0,0.002714932126696823,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,11,years1_2_to_year3,20,0.25,0.25,5.0,5.0,0.0,0.0,0.0,0.0,0.11275047863960497,0.11275047863960497,0.4285714285714286,0.4285714285714286,0.0,0.0,0.0,0.0,0.0,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,12,year1_to_year2,51,0.058823529411764705,0.0392156862745098,3.0,2.0,0.3333333333333333,0.3333333333333333,2.833333333333333,2.833333333333333,0.13146759071688052,0.13146759071688052,0.5671493212669683,0.5713122171945701,0.0196078431372549,0.0,0.0,0.0,0.004162895927601884,primary,named-edge
