learner,source,repeats,train_n_median,train_n_min,train_n_max,test_n,test_groups,source_n,source_cv_r2_mean,source_cv_r2_sd,source_target_exact_overlap,obelix_canonical_test_overlap_keys_excluded,obelix_canonical_test_overlap_rows_excluded,base_r2_mean,aug_r2_mean,delta_r2_mean,delta_rmse_mean,delta_mae_mean,mse_improvement_mean,delta_r2_ci_lo,delta_r2_ci_hi,delta_rmse_ci_lo,delta_rmse_ci_hi,permutation_p_raw,permutation_p_holm
Ridge (primary),Thermoelectric ZT,60,30.0,30,30,110,42,870,0.7218871533032145,0.025795452237222568,0,2,2,-2.771006289996997,-2.819882442882428,-0.048876152885430665,-0.01421104360047946,0.04342790002986501,-0.574071052217636,-0.44176675044776087,0.21919494545227058,-0.23368383150320313,0.1605503063081342,0.7,0.94
Ridge (primary),Alloy yield strength,60,30.0,30,30,110,42,395,0.4303121910764288,0.15960244120973513,0,2,2,-2.771006289996997,-2.7440347110774805,0.026971578919516688,0.018566506927143907,-0.001296609636391969,0.31679258239887637,-0.08350233585423604,0.16022849286111973,-0.06787551121142688,0.11209732549473994,0.47,0.94
Ridge (primary),CO2R H2 Faradaic efficiency,60,30.0,30,30,110,42,212,0.510317709371107,0.14091490771522294,0,2,2,-2.771006289996997,-2.6185275481641233,0.15247874183287377,0.11299541610573381,0.059367524818184664,1.790927202679068,-0.03195081021609085,0.5848566954356662,-0.021184858101317962,0.3432338753616328,0.15,0.44999999999999996
Random forest (sensitivity),Thermoelectric ZT,60,30.0,30,30,110,42,870,0.7218871533032145,0.025795452237222568,0,2,2,-0.2311168673250164,-0.1610832710021513,0.07003359632286514,0.11040431179222926,0.0836599509303103,0.822574158524587,-0.055756994660974384,0.23090622849736833,-0.0971770837746315,0.283668822815396,,
Random forest (sensitivity),Alloy yield strength,60,30.0,30,30,110,42,395,0.4303121910764288,0.15960244120973513,0,2,2,-0.2311168673250164,-0.2316811664226989,-0.0005642990976825246,-0.0014938559109059836,-0.0031704944298774464,-0.00662793116167375,-0.03209231297490486,0.0337756303146401,-0.047238935095559764,0.04126768071497507,,
Random forest (sensitivity),CO2R H2 Faradaic efficiency,60,30.0,30,30,110,42,212,0.510317709371107,0.14091490771522294,0,2,2,-0.23111686732501638,-0.21701519627044033,0.014101671054576019,0.022735150668610708,0.0062228705008184225,0.1656300805692202,-0.0326903238114752,0.05097657228603651,-0.03778209644122969,0.07987318591279766,,
Extra trees (sensitivity),Thermoelectric ZT,60,30.0,30,30,110,42,870,0.7218871533032145,0.025795452237222568,0,2,2,-0.14795240164496612,-0.10078126684160278,0.04717113480336332,0.07645837730612083,0.050106874263288824,0.5540448949479142,0.00468454568229415,0.12028782129678013,0.01083349241725704,0.14158539536826092,,
Extra trees (sensitivity),Alloy yield strength,60,30.0,30,30,110,42,395,0.4303121910764288,0.15960244120973513,0,2,2,-0.14795240164496612,-0.14998423756160803,-0.0020318359166419295,-0.0008105452578847021,-0.005646430616656154,-0.02386477072641943,-0.02712780477987285,0.030239938112287243,-0.03829366230807929,0.035044053793600614,,
Extra trees (sensitivity),CO2R H2 Faradaic efficiency,60,30.0,30,30,110,42,212,0.510317709371107,0.14091490771522294,0,2,2,-0.14795240164496612,-0.1464214918968259,0.001530909748140195,0.005896556357560138,0.0022339017553804777,0.017981181375407697,-0.025673000414487827,0.029013284071430025,-0.0314582696363765,0.0385772897993651,,
