composition_key,band_gap,band_gap_q25,band_gap_q75,n_dois,n_extractions,element_system,formula_name,band_gap_iqr
Bi:0.08333333|O:0.66666667|V:0.16666667|Y:0.08333333,2.9,2.9,2.9,1,1,Bi-O-V-Y,Bi0.5Y0.5VO4,0.0
Bi:0.08333333|O:0.66666667|V:0.25000000,2.58,2.58,2.58,1,1,Bi-O-V,Bi0.5V0.5VO4,0.0
Bi:0.09000000|Se:0.71000000|Te:0.20000000,0.53,0.53,0.53,1,1,Bi-Se-Te,Se71Te20Bi9,0.0
Bi:0.09090909|Br:0.09090909|C:0.36363636|I:0.36363636|P:0.09090909,2.33,2.33,2.33,1,1,Bi-Br-C-I-P,PyC4BiBrI4,0.0
Bi:0.09090909|Cl:0.09090909|Fe:0.18181818|Mn:0.09090909|O:0.45454545|Zn:0.09090909,2.48,2.48,2.48,1,1,Bi-Cl-Fe-Mn-O-Zn,BiOCl / MnxZn1−xFe2O4,0.0
Bi:0.09090909|In:0.18181818|O:0.63636364|Ta:0.09090909,2.47,2.47,2.47,1,1,Bi-In-O-Ta,In2BiTaO7,0.0
Bi:0.09909910|Mo:0.18018018|O:0.72072072,2.45,2.45,2.45,1,1,Bi-Mo-O,Bi0.55MoO4,0.0
Bi:0.10000000|Br:0.10000000|Fe:0.30000000|O:0.50000000,1.2,1.2,1.2,1,1,Bi-Br-Fe-O,BiOBr / Fe3O4,0.0
Bi:0.10000000|Br:0.60000000|Cs:0.30000000,3.2,3.2,3.2,1,1,Bi-Br-Cs,Cs3BiBr6,0.0
Bi:0.10000000|Cl:0.10000000|O:0.50000000|Sn:0.30000000,2.7625,2.7625,2.7625,1,2,Bi-Cl-O-Sn,Sn3O4 / BiOCl,0.0
Bi:0.10000000|Cl:0.60000000|Cs:0.20000000|In:0.10000000,1.0,1.0,1.0,1,1,Bi-Cl-Cs-In,Cs2InBiCl6,0.0
Bi:0.10000000|Cs:0.20000000|I:0.60000000|Na:0.10000000,1.66,1.66,1.66,5,5,Bi-Cs-I-Na,Cs2NaBiI6,0.0
Bi:0.10000000|Cs:0.20000000|I:0.60000000|Tl:0.10000000,1.37,1.37,1.37,1,1,Bi-Cs-I-Tl,Cs2TlBiI6,0.0
Bi:0.10000000|Ge:0.20000000|Se:0.70000000,1.15,1.15,1.15,1,1,Bi-Ge-Se,Ge20Bi10Se70,0.0
Bi:0.10000000|K:0.10000000|O:0.60000000|Ti:0.20000000,3.275,3.09,3.31,5,10,Bi-K-O-Ti,Bi0.5K0.5TiO3,0.2200000000000002
Bi:0.10000000|Mg:0.20000000|O:0.60000000|P:0.10000000,3.47,3.47,3.47,1,1,Bi-Mg-O-P,Mg2Bi(PO4)O2,0.0
Bi:0.10000000|Mg:0.60000000|Sb:0.30000000,0.43,0.43,0.43,1,1,Bi-Mg-Sb,Mg3Sb1.5Bi0.5,0.0
Bi:0.10000000|Na:0.10000000|O:0.60000000|Ti:0.20000000,2.8274999999999997,2.4587499999999998,3.0825,12,21,Bi-Na-O-Ti,Bi0.5Na0.5TiO3,0.6237500000000002
Bi:0.10000000|O:0.60000000|V:0.10000000|Zn:0.20000000,2.485,2.485,2.485,1,2,Bi-O-V-Zn,BiZn2VO6,0.0
Bi:0.10000000|O:0.70000000|V:0.10000000|W:0.10000000,2.58,2.58,2.58,1,1,Bi-O-V-W,BiVO4 / WO3,0.0
Bi:0.10526316|O:0.63157895|P:0.15789474|Pb:0.05263158|Rb:0.05263158,4.3,4.3,4.3,1,1,Bi-O-P-Pb-Rb,RbPbBi2(PO4)3,0.0
Bi:0.10526316|O:0.63157895|Pd:0.05263158|Se:0.21052632,1.73,1.73,1.73,1,1,Bi-O-Pd-Se,Bi2Pd(SeO3)4,0.0
Bi:0.11111111|C:0.16666667|N:0.22222222|O:0.38888889|Sn:0.11111111,3.664,3.664,3.664,1,1,Bi-C-N-O-Sn,Bi2Sn2O7 / g-C3N4,0.0
Bi:0.11111111|C:0.22222222|H:0.11111111|O:0.55555556,3.73,3.73,3.73,1,3,Bi-C-H-O,Bi(C2O4)OH,0.0
Bi:0.11111111|Fe:0.11111111|O:0.66666667|W:0.11111111,2.35,2.35,2.35,1,1,Bi-Fe-O-W,BiFeWO6,0.0
Bi:0.11111111|Fe:0.22222222|K:0.11111111|O:0.55555556,1.6,1.6,1.6,2,2,Bi-Fe-K-O,KBiFe2O5,0.0
Bi:0.11111111|Gd:0.11111111|O:0.66666667|W:0.11111111,2.63,2.63,2.63,1,1,Bi-Gd-O-W,BiGdWO6,0.0
Bi:0.11111111|I:0.16666667|Ni:0.05555556|O:0.55555556|W:0.11111111,1.358,1.358,1.358,1,1,Bi-I-Ni-O-W,Bi2WO6 / NiWO4-III,0.0
Bi:0.11111111|O:0.66666667|Si:0.11111111|V:0.11111111,2.4,2.4,2.4,1,1,Bi-O-Si-V,BiVO4 / SiO2,0.0
Bi:0.11111111|O:0.66666667|Ti:0.11111111|V:0.11111111,2.275,2.2675,2.2824999999999998,2,4,Bi-O-Ti-V,BiVO4 / TiO2,0.01499999999999968
Bi:0.11428571|I:0.17142857|O:0.68571429|Se:0.02857143,3.79,3.79,3.79,1,1,Bi-I-O-Se,Bi4O(I3O10)(IO3)3(SeO4),0.0
Bi:0.11538462|Cl:0.61538462|Rb:0.26923077,3.27,3.27,3.27,1,1,Bi-Cl-Rb,Rb7Bi3Cl16,0.0
Bi:0.11764706|Cr:0.17647059|O:0.70588235,2.45,2.45,2.45,1,1,Bi-Cr-O,Bi2(CrO4)3,0.0
Bi:0.11764706|Mo:0.17647059|O:0.70588235,2.7,2.7,2.8,9,10,Bi-Mo-O,bismuth molybdate,0.09999999999999964
Bi:0.11764706|O:0.70588235|W:0.17647059,2.7,2.6925,2.7375,6,6,Bi-O-W,bismuth tungstate,0.04499999999999993
Bi:0.12500000|C:0.18750000|N:0.25000000|O:0.37500000|W:0.06250000,2.75,2.75,2.75,1,2,Bi-C-N-O-W,g-C3N4 / Bi2WO6,0.0
Bi:0.12500000|Cs:0.06250000|O:0.62500000|Ta:0.06250000|Ti:0.12500000,3.42,3.42,3.42,1,1,Bi-Cs-O-Ta-Ti,CsBi2Ti2TaO10,0.0
Bi:0.12500000|Ga:0.12500000|Mo:0.12500000|Se:0.62500000,1.96,1.96,1.96,1,1,Bi-Ga-Mo-Se,MoBiGaSe5,0.0
Bi:0.12500000|H:0.12500000|N:0.12500000|O:0.50000000|P:0.12500000,4.06,4.06,4.06,1,1,Bi-H-N-O-P,NH-BiPO4,0.0
Bi:0.12500000|H:0.25000000|Na:0.12500000|O:0.50000000,2.4,2.4,2.4,1,1,Bi-H-Na-O,NaBiO3·2H2O,0.0
Bi:0.12500000|I:0.12500000|O:0.62500000|V:0.12500000,2.151,2.151,2.151,1,1,Bi-I-O-V,BiOIO3-OV1,0.0
Bi:0.12500000|In:0.50000000|N:0.37500000,0.218,0.218,0.218,1,1,Bi-In-N,InN0.75Bi0.25,0.0
Bi:0.12500000|Mn:0.25000000|O:0.62500000,1.23,1.23,1.23,1,1,Bi-Mn-O,BiMn2O5,0.0
Bi:0.12500000|Mo:0.12500000|Na:0.12500000|O:0.50000000|V:0.12500000,1.87,1.87,1.87,1,1,Bi-Mo-Na-O-V,( Na0.5xBi1–0.5x)(MoxV1−x)O4,0.0
Bi:0.12500000|O:0.62500000|Ta:0.12500000|Zn:0.12500000,3.19,3.19,3.19,1,1,Bi-O-Ta-Zn,ZnBiTaO5,0.0
Bi:0.12500000|O:0.62500000|V:0.25000000,2.1,2.1,2.1,1,1,Bi-O-V,BiVO4-OV,0.0
Bi:0.13333333|C:0.20000000|N:0.26666667|O:0.33333333|Si:0.06666667,2.38,2.38,2.38,1,1,Bi-C-N-O-Si,Bi2SiO5 / g-C3N4,0.0
Bi:0.13333333|Fe:0.26666667|O:0.60000000,2.0,1.8875,2.025,11,15,Bi-Fe-O,Bi2Fe4O9,0.13749999999999996
Bi:0.13333333|Ga:0.02666667|O:0.73333333|V:0.10666667,2.03,2.03,2.03,1,1,Bi-Ga-O-V,Bi2V1.6Ga0.4O11 − δ,0.0
Bi:0.13333333|Mg:0.06666667|Nb:0.13333333|O:0.60000000|Ti:0.06666667,3.19,3.19,3.19,1,1,Bi-Mg-Nb-O-Ti,Nb2O3–Bi2O3–MgO / TiO2,0.0
Bi:0.13333333|Nb:0.13333333|O:0.66666667|Te:0.06666667,2.54,2.54,2.54,1,1,Bi-Nb-O-Te,75TeO2–10Nb2O5–15Bi2O3,0.0
Bi:0.13368984|Fe:0.24331551|O:0.60160428|Zr:0.02139037,1.842,1.842,1.842,1,1,Bi-Fe-O-Zr,Bi2Fe3.64Zr0.32O9,0.0
Bi:0.13714286|Fe:0.13714286|Ni:0.00571429|O:0.57142857|Sm:0.00571429|Zn:0.14285714,2.35,2.35,2.35,1,1,Bi-Fe-Ni-O-Sm-Zn,Bi0.96Sm0.04Fe0.96Ni0.04O3 @ ZnO,0.0
Bi:0.14285714|Br:0.21428571|Cs:0.21428571|I:0.42857143,2.03,2.03,2.03,1,1,Bi-Br-Cs-I,Cs3Bi2I6Br3,0.0
Bi:0.14285714|Br:0.64285714|Cs:0.21428571,2.69,2.69,2.69,1,2,Bi-Br-Cs,Cs3Bi2Br9,0.0
Bi:0.14285714|Br:0.85714286,2.8,2.8,2.8,1,1,Bi-Br,[BiBr6]3,0.0
Bi:0.14285714|C:0.14285714|Cl:0.28571429|Fe:0.14285714|O:0.28571429,2.1,2.1,2.1,1,1,Bi-C-Cl-Fe-O,[CpFe(CO)2BiCl2],0.0
Bi:0.14285714|Cl:0.64285714|Cs:0.21428571,2.215,2.1575,2.2725,2,2,Bi-Cl-Cs,Cs3Bi2Cl9,0.11499999999999977
Bi:0.14285714|Cs:0.21428571|I:0.64285714,2.03,2.0,2.1,10,14,Bi-Cs-I,Cs3Bi2I9,0.10000000000000009
Bi:0.14285714|Cu:0.14285714|O:0.57142857|V:0.14285714,2.09,2.09,2.09,1,1,Bi-Cu-O-V,Cu / BiVO4,0.0
Bi:0.14285714|Cu:0.42857143|S:0.42857143,1.45,1.4,1.5,13,25,Bi-Cu-S,Cu3BiS3,0.10000000000000009
Bi:0.14285714|Cu:0.42857143|Se:0.42857143,1.5,1.5,1.5,1,1,Bi-Cu-Se,Cu3BiSe3,0.0
Bi:0.14285714|F:0.42857143|H:0.28571429|O:0.14285714,4.76,4.76,4.76,1,1,Bi-F-H-O,BiF3·H2O,0.0
Bi:0.14285714|Ge:0.14285714|Sb:0.14285714|Te:0.57142857,0.22,0.22,0.22,1,1,Bi-Ge-Sb-Te,GeSbBiTe4,0.0
Bi:0.14285714|I:0.64285714|Rb:0.21428571,2.1,2.1,2.1,1,1,Bi-I-Rb,Rb3Bi2I9,0.0
Bi:0.14285714|Nb:0.14285714|O:0.64285714|Sr:0.07142857,3.21,3.21,3.21,1,1,Bi-Nb-O-Sr,SrBi2Nb2O9,0.0
Bi:0.14285714|O:0.57142857|Se:0.14285714|V:0.14285714,1.92,1.92,1.92,1,1,Bi-O-Se-V,Se / BiVO4,0.0
Bi:0.14285714|O:0.64285714|Sr:0.07142857|Ta:0.14285714,3.84,3.84,3.84,1,1,Bi-O-Sr-Ta,SrBi2Ta2O9,0.0
Bi:0.14285714|O:0.64285714|Ti:0.21428571,2.525,2.5,2.5749999999999997,4,4,Bi-O-Ti,bismuth titanates,0.07499999999999973
Bi:0.15000000|H:0.12500000|N:0.12500000|O:0.60000000,3.4,3.4,3.4,1,1,Bi-H-N-O,basic bismuth nitrate Bi6O5(OH)3(NO3)5·3H2O,0.0
Bi:0.15025162|Nb:0.13731129|Ni:0.00647017|O:0.64054637|Sr:0.06542056,2.25,2.25,2.25,1,1,Bi-Nb-Ni-O-Sr,Sr0.91Bi2.09Nb1.91Ni0.09O8.91,0.0
Bi:0.15384615|Cl:0.07692308|I:0.07692308|O:0.61538462|Te:0.07692308,3.6,3.6,3.6,1,1,Bi-Cl-I-O-Te,Bi2Te(IO3)O5Cl,0.0
Bi:0.16666667|Br:0.16666667|Ce:0.16666667|O:0.50000000,2.64,2.64,2.64,1,1,Bi-Br-Ce-O,BiOBr / CeO2,0.0
Bi:0.16666667|Br:0.16666667|O:0.50000000|Ti:0.16666667,2.77,2.77,2.77,1,1,Bi-Br-O-Ti,BiOBr @ TiO2-3,0.0
Bi:0.16666667|Br:0.50000000|Cs:0.16666667|Pb:0.16666667,1.77,1.77,1.77,1,1,Bi-Br-Cs-Pb,CsPb1−xBixBr3,0.0
Bi:0.16666667|C:0.00666667|O:0.66000000|V:0.16666667,2.37,2.37,2.37,2,2,Bi-C-O-V,BiV(O0.99C0.01)4,0.0
Bi:0.16666667|C:0.16666667|H:0.16666667|O:0.50000000,2.65,2.225,3.075,2,2,Bi-C-H-O,BiOCOOH,0.8500000000000001
Bi:0.16666667|C:0.16666667|H:0.50000000|In:0.16666667,0.29,0.29,0.29,1,1,Bi-C-H-In,InBiCH3,0.0
Bi:0.16666667|Ce:0.16666667|Cl:0.16666667|O:0.50000000,3.25,3.25,3.25,1,1,Bi-Ce-Cl-O,BiOCl / CeO2,0.0
Bi:0.16666667|Cu:0.16666667|I:0.66666667,2.0,1.9,2.335,3,4,Bi-Cu-I,CuBiI4,0.43500000000000005
Bi:0.16666667|Fe:0.05555556|Mo:0.11111111|O:0.66666667,2.25,2.25,2.25,1,1,Bi-Fe-Mo-O,Bi3FeMo2O12,0.0
Bi:0.16666667|Fe:0.16666667|Gd:0.16666667|O:0.50000000,2.29,2.29,2.29,1,1,Bi-Fe-Gd-O,Bi1−xGdxFeO3,0.0
Bi:0.16666667|Fe:0.16666667|Nb:0.16666667|O:0.50000000,2.13,2.13,2.13,1,1,Bi-Fe-Nb-O,BiFe1-yNbyO3,0.0
Bi:0.16666667|Fe:0.16666667|O:0.50000000|Pr:0.16666667,2.355,2.355,2.355,1,1,Bi-Fe-O-Pr,Bi1−xPrxFeO3,0.0
Bi:0.16666667|Fe:0.16666667|O:0.50000000|Sr:0.16666667,2.02,2.02,2.02,1,1,Bi-Fe-O-Sr,Bi1 − xSrxFeO3,0.0
Bi:0.16666667|Fe:0.16666667|O:0.50000000|Zr:0.16666667,1.95,1.95,1.95,1,1,Bi-Fe-O-Zr,BiFe1-xZrxO3,0.0
Bi:0.16666667|H:0.16666667|O:0.58333333|S:0.08333333,4.18,4.18,4.18,2,4,Bi-H-O-S,Bi2O(OH)2SO4,0.0
Bi:0.16666667|I:0.16666667|O:0.50000000|Ti:0.16666667,2.18,1.9900000000000002,2.1900000000000004,3,3,Bi-I-O-Ti,TiO2 @ BiOI,0.20000000000000018
Bi:0.16666667|I:0.16666667|O:0.66666667,3.0,2.8724999999999996,3.035,11,15,Bi-I-O,BiOIO3,0.16250000000000053
Bi:0.16666667|Mo:0.08333333|O:0.50000000|S:0.16666667|Sn:0.08333333,2.4,2.4,2.4,1,1,Bi-Mo-O-S-Sn,SnS2 / Bi2MoO6,0.0
Bi:0.16666667|Mo:0.08333333|O:0.66666667|Ti:0.08333333,2.85,2.85,2.85,1,1,Bi-Mo-O-Ti,Bi2MoO6 / TiO2,0.0
Bi:0.16666667|Nb:0.16666667|O:0.66666667,3.05,2.825,3.1975,3,5,Bi-Nb-O,β- BiNbO4,0.3724999999999996
Bi:0.16666667|O:0.66666667|P:0.16666667,3.87,3.6975,4.1475,28,39,Bi-O-P,BiPO4,0.4500000000000002
Bi:0.16666667|O:0.66666667|Sb:0.16666667,3.1100000000000003,2.915,3.305,2,4,Bi-O-Sb,BiSbO4,0.3900000000000001
Bi:0.16666667|O:0.66666667|Ta:0.16666667,3.18,3.18,3.18,1,1,Bi-O-Ta,BiTaO4,0.0
Bi:0.16666667|O:0.66666667|Ti:0.08333333|W:0.08333333,2.8499999999999996,2.8249999999999997,2.875,2,2,Bi-O-Ti-W,TiO2–Bi2WO6,0.050000000000000266
Bi:0.16666667|O:0.66666667|V:0.16666667,2.4,2.4,2.45,333,472,Bi-O-V,mBiVO4,0.050000000000000266
Bi:0.17105263|La:0.03947368|O:0.63157895|Ti:0.15789474,0.73,0.73,0.73,1,1,Bi-La-O-Ti,Bi3.25La0.75Ti3O12,0.0
Bi:0.17500000|Fe:0.20000000|La:0.02500000|O:0.60000000,2.23,2.23,2.23,1,1,Bi-Fe-La-O,Bi0.875La0.125FeO3,0.0
Bi:0.18000000|Co:0.05000000|Fe:0.15000000|Gd:0.02000000|O:0.60000000,1.77,1.77,1.77,1,2,Bi-Co-Fe-Gd-O,Bi0.9Gd0.1Fe0.75Co0.25O3,0.0
Bi:0.18000000|Fe:0.20000000|Ho:0.02000000|O:0.60000000,2.46,2.46,2.46,1,1,Bi-Fe-Ho-O,Bi0.9Ho0.1FeO3,0.0
Bi:0.18000000|Fe:0.20000000|Nd:0.02000000|O:0.60000000,2.11,2.11,2.11,1,1,Bi-Fe-Nd-O,Bi0.9Nd0.1FeO3,0.0
Bi:0.18181818|Cd:0.27272727|Te:0.54545455,1.45,1.45,1.45,1,1,Bi-Cd-Te,(Bi2Te3)25(CdTe)75,0.0
Bi:0.18181818|Fe:0.09090909|O:0.63636364|V:0.09090909,2.22,2.22,2.22,1,1,Bi-Fe-O-V,Bi2FeVO7,0.0
Bi:0.18181818|Ga:0.09090909|O:0.63636364|Ta:0.09090909,2.52,2.52,2.52,1,1,Bi-Ga-O-Ta,Bi2GaTaO7,0.0
Bi:0.18181818|La:0.09090909|O:0.63636364|Ta:0.09090909,2.22,2.22,2.22,1,2,Bi-La-O-Ta,Bi2LaTaO7,0.0
Bi:0.18181818|Mo:0.09090909|O:0.63636364|Zn:0.09090909,2.25,2.25,2.25,1,4,Bi-Mo-O-Zn,Bi2MoO6 / ZnO,0.0
Bi:0.18181818|O:0.63636364|Sb:0.09090909|V:0.09090909,2.52,2.52,2.52,1,3,Bi-O-Sb-V,Bi2SbVO7,0.0
Bi:0.18181818|O:0.63636364|Sn:0.18181818,3.125,2.9524999999999997,3.2975000000000003,2,2,Bi-O-Sn,Bi2Sn2O7,0.34500000000000064
Bi:0.18181818|O:0.63636364|Ti:0.18181818,2.8,2.6,2.9,5,5,Bi-O-Ti,Bi2Ti2O7,0.2999999999999998
Bi:0.18181818|O:0.63636364|Zr:0.18181818,3.08,3.08,3.08,1,1,Bi-O-Zr,Bi2Zr2O7,0.0
Bi:0.20000000|Br:0.04000000|Cl:0.16000000|N:0.20000000|O:0.20000000|P:0.20000000,2.75,2.75,2.75,1,1,Bi-Br-Cl-N-O-P,BiOCl0.8Br0.2-NPs,0.0
Bi:0.20000000|Br:0.20000000|O:0.40000000|Pb:0.20000000,2.47,2.47,2.5,5,6,Bi-Br-O-Pb,PbBiO2Br,0.029999999999999805
Bi:0.20000000|Br:0.20000000|O:0.40000000|U:0.20000000,2.8,2.8,2.8,1,1,Bi-Br-O-U,BiOBr / UiO-66,0.0
Bi:0.20000000|Cd:0.10000000|O:0.20000000|S:0.40000000|Ti:0.10000000,2.1,2.1,2.1,1,1,Bi-Cd-O-S-Ti,Bi2S3 / CdS / TiO2,0.0
Bi:0.20000000|Cl:0.20000000|O:0.40000000|Pb:0.20000000,2.0525,1.9587499999999998,2.14625,2,2,Bi-Cl-O-Pb,PbBiO2Cl,0.18750000000000044
Bi:0.20000000|Cl:0.20000000|O:0.40000000|Pt:0.20000000,3.2,3.2,3.2,1,1,Bi-Cl-O-Pt,PtO / BiOCl,0.0
Bi:0.20000000|Cr:0.10000000|Fe:0.10000000|O:0.60000000,1.4,1.4,1.575,3,3,Bi-Cr-Fe-O,Bi2CrFeO6,0.17500000000000004
Bi:0.20000000|F:0.30000000|N:0.10000000|O:0.40000000,3.5,3.5,3.5,1,1,Bi-F-N-O,Bi2OF3(NO3),0.0
Bi:0.20000000|Fe:0.15000000|Mn:0.02500000|O:0.60000000|Ti:0.02500000,1.21,1.21,1.21,1,1,Bi-Fe-Mn-O-Ti,BiFe0.75Ti0.125Mn0.125O3,0.0
Bi:0.20000000|Fe:0.18000000|O:0.60000000|Zr:0.02000000,2.21,2.21,2.21,1,1,Bi-Fe-O-Zr,BiFe0.9Zr0.1O3,0.0
Bi:0.20000000|Fe:0.19000000|Ni:0.01000000|O:0.60000000,2.09,2.09,2.09,1,1,Bi-Fe-Ni-O,BiFe0.95Ni0.05O3,0.0
Bi:0.20000000|Fe:0.20000000|O:0.60000000,2.2,2.075,2.475,71,87,Bi-Fe-O,BiFeO3,0.3999999999999999
Bi:0.20000000|I:0.20000000|O:0.40000000|Pb:0.20000000,1.98,1.98,1.98,1,6,Bi-I-O-Pb,PbBiO2I,0.0
Bi:0.20000000|In:0.20000000|S:0.60000000,1.13,1.13,1.13,1,1,Bi-In-S,BiInS3,0.0
Bi:0.20000000|In:0.20000000|Se:0.60000000,0.21,0.21,0.21,1,1,Bi-In-Se,BiInSe3,0.0
Bi:0.20000000|La:0.20000000|O:0.20000000|S:0.40000000,1.0,1.0,1.0,1,1,Bi-La-O-S,LaOBiS2,0.0
Bi:0.20000000|Mg:0.60000000|Sb:0.20000000,0.4447,0.4447,0.4447,1,1,Bi-Mg-Sb,Mg3SbBi,0.0
Bi:0.20000000|Mn:0.20000000|O:0.60000000,1.2,1.2,1.2,1,1,Bi-Mn-O,BiMnO3,0.0
Bi:0.20000000|Mo:0.10000000|O:0.60000000|Pt:0.10000000,2.6,2.6,2.6,1,1,Bi-Mo-O-Pt,Pt / Bi2MoO6,0.0
Bi:0.20000000|Na:0.20000000|O:0.60000000,2.45,2.375,2.525,2,2,Bi-Na-O,NaBiO3,0.1499999999999999
Bi:0.20000000|O:0.60000000|P:0.10000000|W:0.10000000,2.7,2.7,2.7,1,1,Bi-O-P-W,Bi2WO6-P,0.0
Bi:0.20000000|O:0.60000000|Sc:0.20000000,3.36,3.36,3.36,1,2,Bi-O-Sc,BiScO3,0.0
Bi:0.20000000|O:0.60000000|Ti:0.10000000|Zn:0.10000000,1.48,1.48,1.48,1,1,Bi-O-Ti-Zn,Bi2ZnTiO6,0.0
Bi:0.20000000|O:0.60000000|Ti:0.20000000,2.8,2.8,2.8,1,1,Bi-O-Ti,BiOx / TiO2,0.0
Bi:0.20000000|O:0.60000000|Y:0.20000000,5.9,5.9,5.9,1,1,Bi-O-Y,BiYO3,0.0
Bi:0.20000000|O:0.63333333|Ti:0.16666667,2.82,2.82,2.82,1,1,Bi-O-Ti,Bi2Ti2O7 / Bi4Ti3O12,0.0
Bi:0.20000000|O:0.66666667|V:0.06666667|W:0.06666667,2.0700000000000003,2.0700000000000003,2.0700000000000003,1,1,Bi-O-V-W,BiVO4 / Bi2WO6,0.0
Bi:0.20000000|S:0.60000000|Sb:0.20000000,1.3,1.3,1.3,1,1,Bi-S-Sb,Sb2 − xBixS3,0.0
Bi:0.20000000|Sb:0.20000000|Se:0.60000000,1.1,1.1,1.1,1,2,Bi-Sb-Se,BiSbSe3,0.0
Bi:0.20588235|Fe:0.08823529|O:0.61764706|Ti:0.08823529,2.22,2.22,2.22,1,2,Bi-Fe-O-Ti,Bi7Fe3Ti3O21,0.0
Bi:0.20833333|O:0.66666667|W:0.11111111|Zn:0.01388889,1.77,1.77,1.77,1,1,Bi-O-W-Zn,Bi1.875Zn0.125WO6,0.0
Bi:0.21052632|Cd:0.05263158|O:0.57894737|S:0.05263158|V:0.10526316,2.21,2.21,2.21,1,1,Bi-Cd-O-S-V,(3:1)-CdS / Bi4V2O11,0.0
Bi:0.21052632|Ge:0.15789474|O:0.63157895,2.82,2.82,2.82,1,1,Bi-Ge-O,Bi4Ge3O12,0.0
Bi:0.21052632|O:0.63157895|Ti:0.15789474,2.9699999999999998,2.6,3.1,13,20,Bi-O-Ti,Bi4Ti3O12,0.5
Bi:0.21111111|O:0.66666667|Sb:0.01111111|W:0.11111111,3.68,3.68,3.68,1,1,Bi-O-Sb-W,Bi1.9Sb0.1WO6,0.0
Bi:0.21428571|Cs:0.07142857|I:0.71428571,1.77,1.76,1.775,3,4,Bi-Cs-I,CsBi3I10,0.014999999999999902
Bi:0.21428571|O:0.64285714|Ti:0.10714286|W:0.03571429,2.214,2.214,2.214,1,1,Bi-O-Ti-W,Bi6Ti3WO18,0.0
Bi:0.21739130|Nb:0.13043478|O:0.65217391,2.82,2.82,2.82,1,1,Bi-Nb-O,Bi5Nb3O15,0.0
Bi:0.22222222|Br:0.11111111|O:0.55555556|V:0.11111111,2.38,2.38,2.38,1,1,Bi-Br-O-V,BiOBr / BiVO4,0.0
Bi:0.22222222|F:0.22222222|O:0.44444444|Ti:0.11111111,3.0725,2.97875,3.16625,2,5,Bi-F-O-Ti,Bi2TiO4F2,0.1875
Bi:0.22222222|Mg:0.11111111|O:0.66666667,1.8,1.8,1.8,1,1,Bi-Mg-O,MgBi2O6,0.0
Bi:0.22222222|Mo:0.11111111|O:0.44444444|S:0.22222222,0.47,0.47,0.47,1,2,Bi-Mo-O-S,Bi2MoS2O4,0.0
Bi:0.22222222|Mo:0.11111111|O:0.66666667,2.65,2.5962499999999995,2.7,70,89,Bi-Mo-O,Bi2MoO6,0.10375000000000068
Bi:0.22222222|O:0.66666667|W:0.11111111,2.75,2.69,2.8075,98,110,Bi-O-W,Bi2WO6,0.11750000000000016
Bi:0.22941176|La:0.00588235|O:0.64705882|V:0.11764706,1.86,1.86,1.86,1,2,Bi-La-O-V,Bi3.9La0.1V2O11,0.0
Bi:0.23000000|Cu:0.25000000|O:0.25000000|Sb:0.02000000|Se:0.25000000,0.329,0.329,0.329,1,1,Bi-Cu-O-Sb-Se,Bi0.92Sb0.08CuSeO,0.0
Bi:0.23529412|Ca:0.00882353|O:0.64705882|V:0.10882353,2.42,2.42,2.42,1,1,Bi-Ca-O-V,Bi4V1.85Ca0.15O11−δ,0.0
Bi:0.23529412|Cu:0.23529412|S:0.52941176,0.9,0.9,0.9,1,1,Bi-Cu-S,Cu4Bi4S9,0.0
Bi:0.23529412|Ga:0.01176471|O:0.64705882|V:0.10588235,2.04,2.04,2.04,1,1,Bi-Ga-O-V,Bi4V1.8Ga0.2O11 − δ,0.0
Bi:0.23529412|O:0.64705882|V:0.11764706,2.1500000000000004,2.05,2.32,8,9,Bi-O-V,Bi2VO5.5,0.27
Bi:0.25000000|Br:0.08333333|O:0.58333333|W:0.08333333,2.62,2.62,2.62,1,1,Bi-Br-O-W,Bi2WO6 / BiOBr,0.0
Bi:0.25000000|Br:0.12500000|I:0.12500000|O:0.25000000|U:0.25000000,1.5,1.5,1.5,1,1,Bi-Br-I-O-U,BiOBr0.5I0.5-U,0.0
Bi:0.25000000|Br:0.25000000|Cl:0.25000000|O:0.25000000,2.91,2.865,3.43,3,3,Bi-Br-Cl-O,BiOClxBr1−x,0.565
Bi:0.25000000|Br:0.25000000|Cl:0.25000000|Se:0.25000000,1.58,1.58,1.58,1,1,Bi-Br-Cl-Se,BiSeCl / Br,0.0
Bi:0.25000000|Br:0.25000000|I:0.25000000|O:0.25000000,0.35,0.35,0.35,1,1,Bi-Br-I-O,BiOIxBr1-x,0.0
Bi:0.25000000|Br:0.25000000|O:0.25000000|Pt:0.25000000,2.8,2.8,2.8,1,1,Bi-Br-O-Pt,Pt / BiOBr,0.0
Bi:0.25000000|C:0.12500000|O:0.62500000,3.275,3.045,3.3,39,52,Bi-C-O,Bi2O2CO3,0.2549999999999999
Bi:0.25000000|C:0.25000000|Cl:0.25000000|O:0.25000000,2.27,2.27,2.27,1,1,Bi-C-Cl-O,BiOCl-C,0.0
Bi:0.25000000|C:0.25000000|I:0.25000000|O:0.25000000,1.97,1.97,1.97,1,1,Bi-C-I-O,BiOI-C,0.0
Bi:0.25000000|Cl:0.12500000|Na:0.12500000|O:0.50000000,3.5,3.5,3.5,1,1,Bi-Cl-Na-O,NaBiO3 / BiOCl,0.0
