composition_key,band_gap,band_gap_q25,band_gap_q75,n_dois,n_extractions,element_system,formula_name,band_gap_iqr
Ag:0.08333333|Fe:0.25000000|I:0.08333333|O:0.50000000|Ti:0.08333333,2.95,2.95,2.95,1,1,Ag-Fe-I-O-Ti,TiO2 / Fe3O4 / AgI,0.0
Ag:0.08333333|I:0.16666667|O:0.66666667|V:0.08333333,2.15,2.15,2.15,1,1,Ag-I-O-V,Ag2(V2O4)(IO3)4,0.0
Ag:0.08854167|O:0.65104167|V:0.26041667,1.35,1.35,1.35,1,1,Ag-O-V,Ag0.68V2O5,0.0
Ag:0.09090909|Bi:0.09090909|Br:0.54545455|Cs:0.18181818|In:0.09090909,1.89,1.89,1.89,1,1,Ag-Bi-Br-Cs-In,Cs2AgBi1-xInxBr6,0.0
Ag:0.09090909|Bi:0.09090909|Br:0.54545455|Cs:0.18181818|Sb:0.09090909,1.8,1.8,1.8,1,1,Ag-Bi-Br-Cs-Sb,Cs2AgBi1−xSbxBr6,0.0
Ag:0.09090909|Bi:0.09090909|Cl:0.54545455|Cs:0.18181818|Cu:0.09090909,1.75,1.75,1.75,1,1,Ag-Bi-Cl-Cs-Cu,Cs2BiAg1−xCuxCl6,0.0
Ag:0.09523810|I:0.19047619|Mo:0.04761905|O:0.66666667,2.18,2.18,2.18,1,1,Ag-I-Mo-O,Ag2(MoO2)(IO3)4,0.0
Ag:0.10000000|Bi:0.02500000|Br:0.60000000|Cs:0.20000000|In:0.05000000|Sb:0.02500000,1.5,1.5,1.5,1,3,Ag-Bi-Br-Cs-In-Sb,Cs2AgBi0.25In0.5Sb0.25Br6,0.0
Ag:0.10000000|Bi:0.02500000|Br:0.60000000|Cs:0.20000000|In:0.07500000,1.85,1.85,1.85,1,1,Ag-Bi-Br-Cs-In,Cs2AgBi0.25In0.75Br6,0.0
Ag:0.10000000|Bi:0.06250000|Br:0.60000000|Cs:0.20000000|Sb:0.03750000,1.86,1.86,1.86,1,1,Ag-Bi-Br-Cs-Sb,Cs2Ag(Bi0.625Sb0.375)Br6,0.0
