target,programme_cluster,source,primary_edge_class,gain_id_mean,gain_ood_mean,gain_specific_mean,gain_ood_ci_lo,gain_ood_ci_hi,gain_specific_ci_lo,gain_specific_ci_hi,base_ood_r2_mean,aug_ood_r2_mean,positive_ood_repeat_fraction,primary_minus_wrong_mean,primary_minus_shuffled_mean,positive_ood_learners,one_sided_sign_flip_p,holm_p,classification
alloy_ys,mpea,alloy_uts,within-database-neighbor,0.07740148361608873,0.06647520366821148,-0.010926279947877234,0.03529321376931624,0.14023434709382648,-0.07000142956008366,0.12342770394056718,-0.9471383983835153,-0.6660551279024105,0.93,0.06524796818264542,0.06570039459100568,3,0.0001,0.0008,ood-improvement-not-specific
catalysis_h2,ocx,catalysis_voltage,within-database-neighbor,-0.024965064886268117,-0.009667265903895682,0.015297798982372426,-0.037801836398357484,0.1189761152993375,-0.07779638418183993,0.14443281688696305,-2.9810926622092224,-3.012751396800111,0.47,0.02022441985536976,-0.00764571197020117,0,0.8755,1.0,unresolved
electrolyte_conductivity,obelix,te_electrical,cross-database-neighbor,-0.002768999450196251,0.00976700136058599,0.01253600081078224,-0.03137944179269789,0.03695095207130106,-0.035593840106032976,0.046874812599206304,-7.760126655312997,-7.683386654253062,0.64,0.016712540808097774,0.010285847048528269,3,0.0338,0.20279999999999998,directional-ood-improvement
hydration,freesolv,solubility,cross-database-neighbor,0.03673055363288633,-0.003501358912170897,-0.04023191254505724,-0.01800999171611155,0.009715841652182422,-0.05829364193846801,-0.021645261407722948,-0.11928697359862366,-0.1281822778934914,0.29,-0.003254238778286915,-0.0012206957640571183,1,1.0,1.0,unresolved
polymer_tensile,openpoly,polymer_young,within-database-neighbor,0.012365482629086566,-0.0005694167328120702,-0.012934899361898637,-0.008310295209895395,0.03176880005579026,-0.05434020039767022,0.013332071433692269,-0.34882630693933697,-0.3425292243855476,0.48,0.004684763307880754,0.0001326670378717131,1,0.6447,1.0,unresolved
polymer_tm,openpoly,polymer_crystallization,within-database-neighbor,0.0010167581415647328,-0.0008180843269870982,-0.0018348424685518312,-0.013258597410268266,0.01144659784660365,-0.015505791556346802,0.009986657135008582,-0.7326486335497142,-0.7318889478829275,0.57,0.010163220508359883,-0.00020293959615206192,1,0.7979,1.0,unresolved
solubility,aqsoldb,hydration,cross-database-neighbor,0.0012942406722382892,0.0008390077186868613,-0.00045523295355142784,-0.002192829028335667,0.003115631213654802,-0.003672170782012547,0.0019267305437222066,-0.0943644862743128,-0.09243062913882318,0.76,-0.0006435135126916443,0.0006687908115805985,3,0.007,0.049,directional-ood-improvement
te_zt,estm,te_seebeck,within-database-neighbor,-0.0008705333394836845,0.0015171047316430183,0.0023876380711267027,-0.0631429502855649,0.010740851300657843,-0.018856802979066216,0.3788795296858896,-571.4362585354859,-621.1544755434618,0.55,-0.001863410127567617,0.003901071117107345,3,0.4048,1.0,directional-ood-improvement
