draw,model,anchor_indices,evaluation_formulations,pairwise_concordance,eligible_pairs
21,target_hist_gradient_boosting,"[8, 11, 13]",16,,0
21,target_linear,"[8, 11, 13]",16,0.66,100
22,calisol_rank_score,"[8, 9, 13]",16,0.5454545454545454,99
22,target_extra_trees,"[8, 9, 13]",16,0.75,100
22,target_hist_gradient_boosting,"[8, 9, 13]",16,,0
22,target_linear,"[8, 9, 13]",16,0.66,100
23,calisol_rank_score,"[4, 8, 11]",16,0.5865384615384616,104
23,target_extra_trees,"[4, 8, 11]",16,0.6538461538461539,104
23,target_hist_gradient_boosting,"[4, 8, 11]",16,,0
23,target_linear,"[4, 8, 11]",16,0.47115384615384615,104
24,calisol_rank_score,"[4, 8, 11]",16,0.5865384615384616,104
24,target_extra_trees,"[4, 8, 11]",16,0.6538461538461539,104
24,target_hist_gradient_boosting,"[4, 8, 11]",16,,0
24,target_linear,"[4, 8, 11]",16,0.47115384615384615,104
25,calisol_rank_score,"[2, 13, 16]",16,0.5742574257425742,101
25,target_extra_trees,"[2, 13, 16]",16,0.6078431372549019,102
25,target_hist_gradient_boosting,"[2, 13, 16]",16,,0
25,target_linear,"[2, 13, 16]",16,0.7058823529411765,102
26,calisol_rank_score,"[8, 11, 14]",16,0.55,100
26,target_extra_trees,"[8, 11, 14]",16,0.77,100
26,target_hist_gradient_boosting,"[8, 11, 14]",16,,0
26,target_linear,"[8, 11, 14]",16,0.65,100
27,calisol_rank_score,"[4, 8, 18]",16,0.5727272727272728,110
27,target_extra_trees,"[4, 8, 18]",16,0.6055045871559633,109
27,target_hist_gradient_boosting,"[4, 8, 18]",16,,0
27,target_linear,"[4, 8, 18]",16,0.42342342342342343,111
28,calisol_rank_score,"[8, 10, 13]",16,0.56,100
28,target_extra_trees,"[8, 10, 13]",16,0.73,100
28,target_hist_gradient_boosting,"[8, 10, 13]",16,,0
28,target_linear,"[8, 10, 13]",16,0.66,100
29,calisol_rank_score,"[4, 8, 11]",16,0.5865384615384616,104
29,target_extra_trees,"[4, 8, 11]",16,0.6538461538461539,104
29,target_hist_gradient_boosting,"[4, 8, 11]",16,,0
29,target_linear,"[4, 8, 11]",16,0.47115384615384615,104
30,calisol_rank_score,"[7, 13, 18]",16,0.6355140186915887,107
30,target_extra_trees,"[7, 13, 18]",16,0.6203703703703703,108
30,target_hist_gradient_boosting,"[7, 13, 18]",16,,0
30,target_linear,"[7, 13, 18]",16,0.6574074074074074,108
31,calisol_rank_score,"[8, 11, 13]",16,0.55,100
31,target_extra_trees,"[8, 11, 13]",16,0.74,100
31,target_hist_gradient_boosting,"[8, 11, 13]",16,,0
31,target_linear,"[8, 11, 13]",16,0.66,100
32,calisol_rank_score,"[2, 13, 16]",16,0.5742574257425742,101
32,target_extra_trees,"[2, 13, 16]",16,0.6078431372549019,102
32,target_hist_gradient_boosting,"[2, 13, 16]",16,,0
32,target_linear,"[2, 13, 16]",16,0.7058823529411765,102
33,calisol_rank_score,"[8, 11, 13]",16,0.55,100
33,target_extra_trees,"[8, 11, 13]",16,0.74,100
33,target_hist_gradient_boosting,"[8, 11, 13]",16,,0
33,target_linear,"[8, 11, 13]",16,0.66,100
34,calisol_rank_score,"[8, 10, 13]",16,0.56,100
34,target_extra_trees,"[8, 10, 13]",16,0.73,100
34,target_hist_gradient_boosting,"[8, 10, 13]",16,,0
34,target_linear,"[8, 10, 13]",16,0.66,100
35,calisol_rank_score,"[8, 13, 16]",16,0.5436893203883495,103
35,target_extra_trees,"[8, 13, 16]",16,0.7211538461538461,104
35,target_hist_gradient_boosting,"[8, 13, 16]",16,,0
35,target_linear,"[8, 13, 16]",16,0.6923076923076923,104
36,calisol_rank_score,"[8, 10, 13]",16,0.56,100
36,target_extra_trees,"[8, 10, 13]",16,0.73,100
36,target_hist_gradient_boosting,"[8, 10, 13]",16,,0
36,target_linear,"[8, 10, 13]",16,0.66,100
