family,n,intercept,slope,slope_se_hc3,slope_ci_lo,slope_ci_hi,p_hc3,r2,T_iso_K,temperature_harmonic_median_K,temperature_min_K,temperature_max_K,krug_inside_observed_temperature_range,p_holm
Ag-Bi-Se,9,7.723676464437712,13.706784786551971,4.948890728107431,2.0045177523864695,25.409051820717472,0.02770734428373333,0.3983679849705889,846.6258354863086,436.97549181911023,300.0,600.0,False,0.05541468856746666
Co-Li-O,8,6.963841973318424,6.267722007708382,2.8160633720777746,-0.6229368310040151,13.15838084642078,0.06766473570939632,0.47410053466734237,1851.473008450873,586.6669448613994,323.0,1023.0,False,0.06766473570939632
