target,method,learner,repeat,sources,blend,selected_objective,q1_relative_rmse_gain,q4_relative_rmse_gain,gain_specific,q4_r2
alloy_ys,task_conditioned_bundle_safe_blend,extra_trees,1,alloy_uts|alloy_hardness|alloy_elongation,0.5,0.057007989790299064,0.10586006262772425,-0.16144996690230032,-0.2673100295300246,-0.5935389882415816
alloy_ys,task_conditioned_wrong_safe_blend,extra_trees,1,te_thermal,0.0,0.0671270440777466,0.0,0.0,0.0,-0.18130401950805108
alloy_ys,task_conditioned_bundle_safe_blend,ridge_alpha_10,2,alloy_uts|alloy_hardness|alloy_elongation,0.25,0.048660139681283486,0.027481817066692813,0.0024586894055977433,-0.02502312766109507,-0.6182652042026666
alloy_ys,task_conditioned_wrong_safe_blend,ridge_alpha_10,2,te_thermal,0.0,0.05283706030482803,0.0,0.0,0.0,-0.6262522717205199
alloy_ys,task_conditioned_bundle_safe_blend,random_forest,2,alloy_uts|alloy_hardness|alloy_elongation,0.0,0.027124741010285634,0.0,0.0,0.0,0.05546148210853896
alloy_ys,task_conditioned_wrong_safe_blend,random_forest,2,te_thermal,0.0,0.027124741010285634,0.0,0.0,0.0,0.05546148210853896
alloy_ys,task_conditioned_bundle_safe_blend,extra_trees,2,alloy_uts|alloy_hardness|alloy_elongation,0.0,0.029133177825490852,0.0,0.0,0.0,-0.014538838854808445
alloy_ys,task_conditioned_wrong_safe_blend,extra_trees,2,te_thermal,0.0,0.029133177825490852,0.0,0.0,0.0,-0.014538838854808445
electrolyte_conductivity,task_conditioned_bundle_safe_blend,ridge_alpha_10,0,te_electrical|te_power_factor|te_thermal,0.0,91.8759012539727,0.0,0.0,0.0,-17.64856249381046
electrolyte_conductivity,task_conditioned_wrong_safe_blend,ridge_alpha_10,0,alloy_ys,0.0,91.8759012539727,0.0,0.0,0.0,-17.64856249381046
electrolyte_conductivity,task_conditioned_bundle_safe_blend,random_forest,0,te_electrical|te_power_factor|te_thermal,0.0,18.783273996133843,0.0,0.0,0.0,-0.08364691778061806
