base_rmse_mean,aug_rmse_mean,relative_rmse_improvement_mean,relative_rmse_ci_lo,relative_rmse_ci_hi,pooled_base_r2,pooled_aug_r2,effect_year1_to_year2,effect_years1_2_to_year3,budget,analysis_status,estimand
0.2149887326775639,0.2034499450957821,0.05006125691282938,0.04122213373693353,0.07504630102117181,-2.353119048585882,-1.974710634177626,0.053715447385232665,0.037314443064329086,8,post-confirmation-sensitivity,rolling-future-campaign-year
0.1964905774922777,0.18499064253155967,0.05661624478988293,0.044510688215510935,0.07887629689386925,-1.6997445159563638,-1.3824716577228595,0.05891911062190838,0.05415481531286779,15,post-confirmation-sensitivity,rolling-future-campaign-year
0.19302092465075213,0.18402896757535142,0.046489223778969906,0.0354481440769894,0.058938445369667816,-1.5865865292804688,-1.3528480943150192,0.044741746502190274,0.049440282419547905,30,post-confirmation-sensitivity,rolling-future-campaign-year
0.19292345336559064,0.18377456669033634,0.04650157836113868,0.035649436161814194,0.06208359369681099,-1.5703852179384374,-1.3305016442339315,0.04519786195348796,0.04717939993444821,45,post-confirmation-sensitivity,rolling-future-campaign-year
0.2106442790575104,0.2025809963760613,0.03862185464728404,0.029350028742637993,0.04791274575429688,-2.056035856123818,-1.8305542895937665,0.03460287469810694,0.05046623236205783,60,post-confirmation-sensitivity,rolling-future-campaign-year
0.22796249277729552,0.2224523918733872,0.02435904624289738,0.01840015983692137,0.030438779604824388,-2.540659959667439,-2.373643120178541,0.015649999039392615,0.05920558681326171,75,post-confirmation-sensitivity,rolling-future-campaign-year
