target,method,learner,repeat,train_n,sources,q1_relative_rmse_gain,q4_relative_rmse_gain,gain_specific,q4_r2
te_zt,primary,ridge_alpha_10,0,30,te_seebeck,0.11904784779722581,-0.002521477813704871,-0.12156932561093069,-0.18217322118846258
te_zt,mechanism_bundle,ridge_alpha_10,0,30,te_power_factor|te_thermal|te_seebeck,0.10526905928011618,0.1066295767672823,0.0013605174871661185,0.06123500615714461
te_zt,all_five,ridge_alpha_10,0,30,te_power_factor|te_thermal|te_seebeck|alloy_ys|catalysis_h2,0.08802624811438212,0.1011166447636715,0.01309039664928939,0.04961313954140267
te_zt,primary,random_forest,0,30,te_seebeck,-0.014935123371643702,-0.043527331985942115,-0.02859220861429841,-0.05034718358761903
te_zt,mechanism_bundle,random_forest,0,30,te_power_factor|te_thermal|te_seebeck,0.2675152252364751,-0.1636104975156925,-0.4311257227521676,-0.3059918877593919
te_zt,all_five,random_forest,0,30,te_power_factor|te_thermal|te_seebeck|alloy_ys|catalysis_h2,0.24958831344921872,-0.10125016443846975,-0.35083847788768846,-0.16976114234876727
te_zt,primary,extra_trees,0,30,te_seebeck,-0.0465759708363993,-0.02982074072190849,0.01675523011449081,-0.15799828753185619
te_zt,mechanism_bundle,extra_trees,0,30,te_power_factor|te_thermal|te_seebeck,0.13428525698288835,0.020129520067505645,-0.1141557369153827,-0.048387892279694755
te_zt,all_five,extra_trees,0,30,te_power_factor|te_thermal|te_seebeck|alloy_ys|catalysis_h2,0.10806190200900152,0.018761095623098207,-0.08930080638590332,-0.05131815992503652
te_zt,primary,ridge_alpha_10,1,30,te_seebeck,-0.0008439462789193013,-0.003873173349147738,-0.0030292270702284366,-3.4989497883855956
te_zt,mechanism_bundle,ridge_alpha_10,1,30,te_power_factor|te_thermal|te_seebeck,0.04170861776447588,0.006243440192021407,-0.03546517757245447,-3.4087296264223834
te_zt,all_five,ridge_alpha_10,1,30,te_power_factor|te_thermal|te_seebeck|alloy_ys|catalysis_h2,0.051152392878021605,0.006447930642749296,-0.04470446223527231,-3.4069153986984144
te_zt,primary,random_forest,1,30,te_seebeck,-0.010538945354701505,-0.0016911622461152596,0.008847783108586246,-0.10022129545495906
te_zt,mechanism_bundle,random_forest,1,30,te_power_factor|te_thermal|te_seebeck,0.10078253071554086,0.023659607801979426,-0.07712292291356143,-0.045237244443172786
te_zt,all_five,random_forest,1,30,te_power_factor|te_thermal|te_seebeck|alloy_ys|catalysis_h2,0.13581846860079264,0.03729616714465115,-0.09852230145614149,-0.016243461470777598
te_zt,primary,extra_trees,1,30,te_seebeck,-0.01889957451319421,-0.00011551798177799782,0.018784056531416213,-0.24449874136671834
te_zt,mechanism_bundle,extra_trees,1,30,te_power_factor|te_thermal|te_seebeck,0.029518790883321273,0.04028989984928629,0.010771108965965018,-0.1459726708457807
te_zt,all_five,extra_trees,1,30,te_power_factor|te_thermal|te_seebeck|alloy_ys|catalysis_h2,0.04045987294070191,0.006554641900826465,-0.03390523103987545,-0.2279540040631638
te_zt,primary,ridge_alpha_10,2,30,te_seebeck,-0.08041308659810413,0.017857177160348355,0.09827026375845249,-1.5062987019459566
te_zt,mechanism_bundle,ridge_alpha_10,2,30,te_power_factor|te_thermal|te_seebeck,-0.1098376295045761,0.09606529971188754,0.20590292921646364,-1.1230374318617877
te_zt,all_five,ridge_alpha_10,2,30,te_power_factor|te_thermal|te_seebeck|alloy_ys|catalysis_h2,-0.1169970616404471,0.1318240632138442,0.2488211248542913,-0.9583892801058982
te_zt,primary,random_forest,2,30,te_seebeck,0.04732638585435979,0.11097217018123946,0.06364578432687967,-0.21227977411422483
te_zt,mechanism_bundle,random_forest,2,30,te_power_factor|te_thermal|te_seebeck,0.15616867954662672,0.15548882085312965,-0.0006798586934970707,-0.09391342637505184
te_zt,all_five,random_forest,2,30,te_power_factor|te_thermal|te_seebeck|alloy_ys|catalysis_h2,0.11721111140380111,0.15404815981367825,0.03683704840987714,-0.09764884803769114
te_zt,primary,extra_trees,2,30,te_seebeck,0.02946511740658927,0.006734772384600144,-0.02273034502198913,-0.5749154956445501
te_zt,mechanism_bundle,extra_trees,2,30,te_power_factor|te_thermal|te_seebeck,0.09650931629944573,0.05784204729112315,-0.03866726900832258,-0.4170142867270432
te_zt,all_five,extra_trees,2,30,te_power_factor|te_thermal|te_seebeck|alloy_ys|catalysis_h2,0.0659874441813771,0.09066769624817146,0.02468025206679436,-0.3199942255929291
alloy_ys,primary,ridge_alpha_10,0,30,alloy_uts,0.008231418989152365,0.017715228459313784,0.00948380947016142,-0.6965023986936796
alloy_ys,mechanism_bundle,ridge_alpha_10,0,30,alloy_uts|alloy_hardness|alloy_elongation,0.036879473295156076,0.07157904868598325,0.03469957539082717,-0.5155473885499138
alloy_ys,all_five,ridge_alpha_10,0,30,alloy_uts|alloy_hardness|alloy_elongation|te_thermal|catalysis_h2,0.007039235497344534,0.09234806246804322,0.08530882697069869,-0.4484994471442132
alloy_ys,primary,random_forest,0,30,alloy_uts,0.018310292988857457,-0.059408342195027386,-0.07771863518388485,-0.07825696100114987
alloy_ys,mechanism_bundle,random_forest,0,30,alloy_uts|alloy_hardness|alloy_elongation,0.11811427175636542,-0.05271280908415026,-0.17082708084051568,-0.06467071476398578
alloy_ys,all_five,random_forest,0,30,alloy_uts|alloy_hardness|alloy_elongation|te_thermal|catalysis_h2,0.09323664560487718,-0.0739963744660248,-0.167233020070902,-0.1081565666238875
alloy_ys,primary,extra_trees,0,30,alloy_uts,-0.0036702557101305705,-0.009353078559335816,-0.005682822849205246,-0.007596320143662183
alloy_ys,mechanism_bundle,extra_trees,0,30,alloy_uts|alloy_hardness|alloy_elongation,0.051847944378395044,-0.026334227797009915,-0.07818217217540496,-0.0417846980721972
alloy_ys,all_five,extra_trees,0,30,alloy_uts|alloy_hardness|alloy_elongation|te_thermal|catalysis_h2,0.03411485666953068,-0.0387712181536424,-0.07288607482317308,-0.06718611122700047
alloy_ys,primary,ridge_alpha_10,1,30,alloy_uts,0.15246483519170712,0.18487239164345845,0.032407556451751335,-0.6931242488895804
