scope,source,candidate_index,material_key,material_raw,is_true_top5_hit,target_value,selection_frequency_top20,median_selected_step,gate_frequency,mean_source_rank,mean_qualification,mean_target_ood,mean_source_support,mean_local_concordance,mean_source_score
external_candidate,estm_transport_neighbor,144,Cl:0.01213592233|Li:0.3859223301|O:0.01213592233|P:0.05825242718|S:0.4611650485|Si:0.07038834951,Li9.54Si1.74P1.44S11.4Cl0.3O0.3,True,-1.5528419686577808,0.06,7.0,0.0,0.6736111111111112,0.14874486711822557,0.2579166666666667,0.36111111111111116,0.1783607803539793,0.0
external_candidate,estm_transport_neighbor,155,Cl:0.5714285714|Cr:0.1428571429|Li:0.2857142857,Li2CrCl4,False,-12.247183568811728,0.06,25.0,0.0,0.7013888888888888,0.14874486711822557,0.9439583333333332,0.125,0.18405151600554637,0.0
external_candidate,estm_transport_neighbor,156,Cl:0.5714285714|Li:0.2857142857|Mg:0.1428571429,Li2MgCl4,False,-6.204815410317576,0.01,36.0,0.0,0.7152777777777779,0.14874486711822557,0.7441666666666668,0.13194444444444442,0.19684271253446467,0.0
external_candidate,estm_transport_neighbor,157,Cl:0.5714285714|Li:0.2857142857|Mn:0.1428571429,Li2MnCl4,False,-5.319664486585437,0.01,35.0,0.0,0.7083333333333335,0.14874486711822557,0.7213194444444444,0.11111111111111116,0.18734934674324935,0.0
external_candidate,estm_transport_neighbor,158,Cl:0.5714285714|Li:0.2857142857|V:0.1428571429,Li2VCl4,False,-5.158015195409886,0.0,34.5,0.0,0.6875,0.14874486711822557,0.7694444444444444,0.11805555555555557,0.20092113411671964,0.0
external_candidate,estm_transport_neighbor,162,Cl:0.6060606061|In:0.09090909091|Li:0.2929292929|Zr:0.0101010101,Li2.9In0.9Zr0.1Cl6,False,-3.0963674839157624,0.0,,0.0,0.9444444444444444,0.14874486711822557,0.9722916666666667,0.09722222222222221,0.14913135946915146,0.0
external_candidate,estm_transport_neighbor,163,Cl:0.6147540984|In:0.07991803279|Li:0.2868852459|Zr:0.01844262295,Li2.8In0.78Zr0.18Cl6,False,-3.1174754620451197,0.0,,0.0,0.9305555555555556,0.14874486711822557,0.9545833333333333,0.09027777777777779,0.14937617600235858,0.0
external_candidate,estm_transport_neighbor,164,Cl:0.622406639|In:0.07157676349|Li:0.27593361|Zr:0.03008298755,Li2.66In0.69Zr0.29Cl6,False,-3.022733787572707,0.0,36.5,0.0,0.9236111111111112,0.14874486711822557,0.9318055555555556,0.08333333333333337,0.14622546168303685,0.0
external_candidate,estm_transport_neighbor,165,Cl:0.625|In:0.0625|Li:0.2708333333|Zr:0.04166666667,Li2.6In0.6Zr0.4Cl6,False,-2.9030899869919438,0.0,,0.0,0.9166666666666665,0.14874486711822557,0.9171527777777777,0.07638888888888884,0.14769515763215407,0.0
external_candidate,estm_transport_neighbor,166,Cl:0.629590766|Er:0.055613851|Li:0.2654774397|Zr:0.04931794334,Li2.53Er0.53Zr0.47Cl6,False,-3.0296531237699065,0.01,31.0,0.0,0.9375,0.14874486711822557,0.8238888888888889,0.06944444444444442,0.15505391850212658,0.0
external_candidate,estm_transport_neighbor,167,Cl:0.6315789474|In:0.05263157895|Li:0.2631578947|Zr:0.05263157895,Li2.5In0.5Zr0.5Cl6,False,-3.05453141486818,0.0,37.0,0.0,0.9097222222222221,0.14874486711822557,0.8978472222222222,0.0625,0.14636648630348276,0.0
external_candidate,estm_transport_neighbor,169,Cl:0.6|In:0.1|Li:0.3,Li3InCl6,False,-2.6903698325741012,0.06,24.0,0.0,0.9513888888888888,0.14874486711822557,0.9845833333333335,0.10416666666666663,0.15425805792738678,0.0
external_candidate,estm_transport_neighbor,171,Co:0.02024291498|La:0.1275303644|Li:0.06275303644|O:0.6072874494|Ti:0.1821862348,Li0.31La0.63((Ti0.9Co0.1)O3,False,-3.5850266520291822,0.43,8.0,0.31,0.4930555555555556,0.14874486711822557,0.39166666666666666,0.9305555555555556,0.20582811363595982,0.0035343408852996877
external_candidate,estm_transport_neighbor,172,Co:0.02057613169|La:0.1378600823|Li:0.03909465021|O:0.6172839506|Ti:0.1851851852,Li0.19La0.67(Ti0.9Co0.1)O3,False,-3.96657624451305,0.48,12.0,0.33,0.5,0.14874486711822557,0.40944444444444444,0.9375,0.20275119055903676,0.0040937189978452
external_candidate,estm_transport_neighbor,180,Co:0.08333333333|Li:0.3333333333|O:0.5|Te:0.08333333333,Li8Co2Te2O12,False,-5.779891911959945,0.57,8.0,0.64,0.5277777777777778,0.14874486711822557,0.7761111111111112,0.9791666666666665,0.1929574873270697,0.01571954725720154
external_candidate,estm_transport_neighbor,181,Co:0.09090909091|Li:0.2727272727|O:0.5454545455|Te:0.09090909091,Li3CoTeO6,False,-15.234331445240986,0.19,30.0,0.64,0.45138888888888895,0.14874486711822557,0.800625,0.9930555555555556,0.1887048324989077,0.013854312820395967
external_candidate,estm_transport_neighbor,182,Cr:0.04166666667|Li:0.375|O:0.5|Te:0.08333333333,Li3(Li1.5Cr0.5Te)O6,False,-9.671620396561263,0.52,19.0,0.63,0.5486111111111112,0.14874486711822557,0.7707638888888888,0.8958333333333335,0.1720439836494432,0.013321168660969935
external_candidate,estm_transport_neighbor,185,Cs:0.04|Li:0.2|Mn:0.04|O:0.56|P:0.16,CsLi5Mn(P2O7)2,False,-12.47237009912866,0.01,32.0,0.0,0.1736111111111111,0.14874486711822557,0.38263888888888886,0.2847222222222222,0.18289699567872947,0.0
external_candidate,estm_transport_neighbor,196,F:0.125|Fe:0.125|Li:0.125|O:0.5|P:0.125,LiFe(PO4)F,False,-7.221848749616356,0.03,30.0,0.61,0.034722222222222224,0.14874486711822557,0.8663194444444444,0.6875,0.18210510351783213,0.0008022216214818726
external_candidate,estm_transport_neighbor,204,Fe:0.02283105023|Ge:0.08588823657|Li:0.07588606219|O:0.6523157208|P:0.1630789302,Li1.396Fe0.42Ge1.58(PO4)3,False,-4.786500520621731,0.28,19.0,0.4,0.2638888888888889,0.14874486711822557,0.4610416666666666,0.5347222222222222,0.1984840466589092,0.002074358422171456
external_candidate,estm_transport_neighbor,208,Fe:0.05657894737|Li:0.1052631579|O:0.6315789474|P:0.1578947368|Ti:0.04868421053,Li2Fe1.075Ti0.925P3O12,False,-6.476253533188435,0.01,35.0,0.6,0.1111111111111111,0.14874486711822557,0.6661111111111111,0.5208333333333333,0.1930648339700401,0.001433026921301486
external_candidate,estm_transport_neighbor,210,Ga:0.02040816327|Li:0.2517006803|O:0.5442176871|P:0.1360544218|Zn:0.04761904762,Li3.7Zn0.7Ga0.3(PO4)2,False,-10.991399828238082,0.0,,0.0,0.027777777777777776,0.14874486711822557,0.34354166666666663,0.3125,0.1753046187267144,0.0
external_candidate,estm_transport_neighbor,211,Ga:0.03448275862|Li:0.2413793103|O:0.5517241379|P:0.1379310345|Zn:0.03448275862,Li3.5Zn0.5Ga0.5(PO4)2,False,-11.51999305704285,0.0,,0.0,0.0625,0.14874486711822557,0.34138888888888885,0.3194444444444444,0.1759689543910501,0.0
external_candidate,estm_transport_neighbor,216,Ga:0.1|Li:0.5|S:0.4,Li5GaS4,False,-6.7447274948966935,0.0,32.0,0.0,0.6111111111111112,0.14874486711822557,0.5967361111111111,0.33333333333333337,0.20329612109091108,0.0
external_candidate,estm_transport_neighbor,217,Ga:0.25|Li:0.25|O:0.5,LiGaO2,False,-11.843066389815423,0.06,29.0,0.68,0.05555555555555555,0.14874486711822557,0.8092361111111112,0.8541666666666665,0.19658461174272898,0.0015468766709399301
external_candidate,estm_transport_neighbor,218,Ga:0.25|Li:0.25|S:0.5,LiGaS2,False,-6.508638306165727,0.54,11.0,0.65,0.6527777777777779,0.14874486711822557,0.8017361111111111,0.6944444444444444,0.1968929843468704,0.01438500451846943
external_candidate,estm_transport_neighbor,229,Ge:0.01697530864|I:0.07638888889|Li:0.4598765432|S:0.3865740741|Sb:0.06018518519,Li5.96Ge0.22Sb0.78S5.01I0.99,False,-3.0604807473813813,0.0,,0.0,0.9861111111111112,0.14874486711822557,0.35270833333333335,0.26388888888888884,0.1537568160170984,0.0
external_candidate,estm_transport_neighbor,230,Ge:0.02533333333|Li:0.4444444444|S:0.4444444444|Sn:0.08577777778,Li4Ge0.228Sn0.772S4,False,-6.552841968657781,0.65,9.0,0.45,0.8333333333333335,0.14874486711822557,0.5131944444444444,0.5486111111111112,0.17532200931151912,0.007022476026786315
external_candidate,estm_transport_neighbor,232,Ge:0.02|Li:0.4444444444|Se:0.4444444444|Sn:0.09111111111,Li4Ge0.18Sn0.82Se4,False,-6.159266765388193,0.39,17.5,0.6,0.7708333333333335,0.14874486711822557,0.8983333333333333,0.5902777777777778,0.1605992780531641,0.01318640452824499
external_candidate,estm_transport_neighbor,234,Ge:0.03252647504|I:0.0756429652|Li:0.4704992436|S:0.378214826|Sb:0.04311649017,Li6.22Ge0.43Sb0.57S5I,True,-2.2006594505464183,0.0,,0.0,0.9652777777777779,0.14874486711822557,0.3065972222222222,0.25,0.15889679884129174,0.0
external_candidate,estm_transport_neighbor,240,Ge:0.05511111111|Li:0.4444444444|S:0.4444444444|Sn:0.056,Li4Ge0.496Sn0.504S4,False,-6.696803942579511,0.24,10.0,0.11,0.8194444444444444,0.14874486711822557,0.3890277777777778,0.5694444444444444,0.17612669542332998,0.0016173478070042185
external_candidate,estm_transport_neighbor,241,Ge:0.05555555556|Li:0.4444444444|Se:0.4444444444|Sn:0.05555555556,Li4Ge0.5Sn0.5Se4,False,-5.749579997691106,0.29,20.5,0.6,0.7638888888888888,0.14874486711822557,0.8873611111111112,0.6041666666666667,0.16126404273666295,0.013480042863416648
external_candidate,estm_transport_neighbor,245,Ge:0.08011111111|Li:0.4444444444|S:0.4444444444|Sn:0.031,Li4Ge0.721Sn0.279S4,False,-7.055517327849832,0.02,16.0,0.02,0.7986111111111112,0.14874486711822557,0.2779166666666667,0.5555555555555556,0.18950354863356464,0.00025150816947756323
external_candidate,estm_transport_neighbor,246,Ge:0.08333333333|Li:0.4444444444|Se:0.4444444444|Sn:0.02777777778,Li4Ge0.75Sn0.25Se4,False,-5.261219441515631,0.87,10.0,0.6,0.75,0.14874486711822557,0.87875,0.6180555555555556,0.17466128966584452,0.013972393930398803
