target,train_n,rmse_mean,rmse_monotone,learning_curve_spearman_rho,valid_for_target_equivalence
birdshot_ys,8,0.20086643357237427,0.20297054174607454,0.48571428571428577,False
birdshot_ys,15,0.1986220094188938,0.20297054174607454,0.48571428571428577,False
birdshot_ys,30,0.1878019079565741,0.20297054174607454,0.48571428571428577,False
birdshot_ys,45,0.19804029412884605,0.20297054174607454,0.48571428571428577,False
birdshot_ys,60,0.2091545330742335,0.20297054174607454,0.48571428571428577,False
birdshot_ys,75,0.22333807232552558,0.20297054174607454,0.48571428571428577,False
birdshot_uts,8,0.1178210417462586,0.1178210417462586,-1.0,True
birdshot_uts,15,0.11518434170924564,0.11518434170924564,-1.0,True
birdshot_uts,30,0.08568466467768862,0.08568466467768862,-1.0,True
birdshot_uts,45,0.08328886624897446,0.08328886624897446,-1.0,True
birdshot_uts,60,0.07955604235393963,0.07955604235393963,-1.0,True
birdshot_uts,75,0.07734888521536305,0.07734888521536305,-1.0,True
birdshot_hardness,8,0.20735855496592465,0.20735855496592465,0.2571428571428572,False
birdshot_hardness,15,0.18405249816435712,0.19060140028074263,0.2571428571428572,False
birdshot_hardness,30,0.1804052250772756,0.19060140028074263,0.2571428571428572,False
birdshot_hardness,45,0.1825293267391722,0.19060140028074263,0.2571428571428572,False
birdshot_hardness,60,0.19614664649385363,0.19060140028074263,0.2571428571428572,False
birdshot_hardness,75,0.20987330492905462,0.19060140028074263,0.2571428571428572,False
