scope,n,log_rmse,log_mae,log_r2,raw_rmse,raw_mae,raw_r2,spearman
LiBF4_fluorinated_control,1660,0.5688232618582417,0.46888851648994107,0.21881051956678232,6.267159209188023,3.9983966058260885,-0.11334081250700323,0.7384539077122136
LiBOB_wrong_salt_control,1660,0.4924430083569314,0.3652561080394949,0.4145178741061828,5.1502013206236095,3.7665761475711808,0.24814327907608624,0.7420336139654088
LiPF6_only,1660,0.47732163300643715,0.3486572430512272,0.44992244447194585,3.5496155583837816,2.527408738151474,0.6428511031132321,0.8162049944906021
all_source_salts,1660,0.34171127290901765,0.25784905308302086,0.7180836252768379,3.7231341493971244,2.3692662176738057,0.60708008274443,0.8639511089469837
chemistry_permuted,1660,0.4611081710355895,0.3613724449532003,0.4866573763732086,4.4351111233086,3.030676100868523,0.44243476642117807,0.7340443712624315
state_only,1660,0.471086037849475,0.3694478881916582,0.4642006838448326,4.632899774853787,3.20159151079914,0.3915954060936747,0.7051526872255767
without_LiPF6,1660,0.40747369453820653,0.31517535037800015,0.5991325036809081,4.804003299222238,3.010700654421745,0.34582601611213726,0.8234910266597104
