edge_id,programme,target_task,source,evidence_set,relation,target_domain,source_domain,neighborhood,source_quality_r2,effect_relative_rmse,effect_ci_lo,effect_ci_hi,augmented_r2,reported_status,neighborhood_scaled,source_quality_clipped,credible_positive,strong_neighbor,same_domain,adjacent_condition,cross_dataset,distant_wrong,shuffled
birdshot_ys__alloy_uts,external_birdshot,birdshot_ys,alloy_uts,independent-birdshot,cross-dataset-physical-neighbor,nan,nan,3.0,0.2304626202996475,0.0430379917675469,0.0335808729684398,0.0551085565242056,-1.3032640625785956,directionally-replicated-below-practical-gate,1.0,0.2304626202996475,1.0,1.0,1.0,0.0,1.0,0.0,0.0
birdshot_ys__catalysis_h2,external_birdshot,birdshot_ys,catalysis_h2,independent-birdshot,distant-control,nan,nan,0.0,0.2292031508576087,-0.0147789301528474,-0.0443586879158628,0.0073787342986947,-1.5868539695501656,unresolved,0.0,0.2292031508576087,1.0,0.0,1.0,0.0,1.0,1.0,0.0
birdshot_ys__te_thermal,external_birdshot,birdshot_ys,te_thermal,independent-birdshot,distant-control,nan,nan,0.0,0.5803048176491067,-0.0184992118004014,-0.0311730588990452,-0.0036301033178219,-1.6021231959700342,harmful,0.0,0.5803048176491067,1.0,0.0,1.0,0.0,1.0,1.0,0.0
matbench_steel_ys__alloy_elongation,external_matbench,matbench_steel_ys,alloy_elongation,independent-matbench,cross-dataset-same-domain,nan,nan,1.0,0.0197652356299515,-0.0148444743823293,-0.3367269176469036,0.3004923709174623,-19.27097291420538,unresolved,0.3333333333333333,0.0197652356299515,1.0,0.0,1.0,0.0,1.0,0.0,0.0
matbench_steel_ys__alloy_hardness,external_matbench,matbench_steel_ys,alloy_hardness,independent-matbench,cross-dataset-physical-neighbor,nan,nan,2.0,0.5848097511784689,-0.0071502160922874,-0.3165862253348896,0.0784132460762092,-17.334577222392724,unresolved,0.6666666666666666,0.5848097511784689,1.0,1.0,1.0,0.0,1.0,0.0,0.0
matbench_steel_ys__alloy_uts,external_matbench,matbench_steel_ys,alloy_uts,independent-matbench,cross-dataset-physical-neighbor,nan,nan,3.0,0.4092635025593352,-0.0123179989326952,-0.1588398404209362,0.0247504116786679,-16.53286243046866,unresolved,1.0,0.4092635025593352,1.0,1.0,1.0,0.0,1.0,0.0,0.0
matbench_steel_ys__catalysis_h2,external_matbench,matbench_steel_ys,catalysis_h2,independent-matbench,distant-control,nan,nan,0.0,0.1672482183052056,-0.0017579699507022,-0.0863582668377773,0.0304594823774613,-15.724972801141467,unresolved,0.0,0.1672482183052056,1.0,0.0,1.0,0.0,1.0,1.0,0.0
matbench_steel_ys__te_thermal,external_matbench,matbench_steel_ys,te_thermal,independent-matbench,distant-control,nan,nan,0.0,0.5646057498922978,-0.0097854958815036,-0.1441666412291823,0.3807081303908711,-15.65742169273092,unresolved,0.0,0.5646057498922978,1.0,0.0,1.0,0.0,1.0,1.0,0.0
alloy_ys__alloy_elongation,internal_alloy,alloy_ys,alloy_elongation,internal-confirmation,same-domain,multi-principal-element alloy,multi-principal-element alloy,1.0,-0.0347579883564576,0.0104975417742439,-0.0051218504034025,0.0369134446953999,-0.1157360854414128,unresolved,0.3333333333333333,-0.0347579883564576,0.0,0.0,1.0,0.0,0.0,0.0,0.0
alloy_ys__alloy_hardness,internal_alloy,alloy_ys,alloy_hardness,internal-confirmation,physical-neighbor,multi-principal-element alloy,multi-principal-element alloy,2.0,0.5743482399423776,0.0344217601662695,0.0033995753012166,0.0726676765053972,-0.0724509222865564,suggestive-not-confirmed,0.6666666666666666,0.5743482399423776,1.0,1.0,1.0,0.0,0.0,0.0,0.0
alloy_ys__alloy_uts,internal_alloy,alloy_ys,alloy_uts,internal-confirmation,physical-neighbor,multi-principal-element alloy,multi-principal-element alloy,3.0,0.4176971898124118,0.0646107368522526,0.0369064416232111,0.1303265288563297,0.0249130150294307,internally-confirmed-awaits-external-replication,1.0,0.4176971898124118,1.0,1.0,1.0,0.0,0.0,0.0,0.0
alloy_ys__catalysis_h2,internal_alloy,alloy_ys,catalysis_h2,internal-confirmation,distant-control,multi-principal-element alloy,CO2 electroreduction,0.0,0.2364169130709764,0.0005828529714697,-0.0020563225551394,0.0039360810584046,-0.1467021477497983,practically-equivalent,0.0,0.2364169130709764,1.0,0.0,0.0,0.0,0.0,1.0,0.0
alloy_ys__te_thermal,internal_alloy,alloy_ys,te_thermal,internal-confirmation,distant-control,multi-principal-element alloy,thermoelectric,0.0,0.5713319598750842,-0.0011913225909526,-0.0125101188653939,0.0007245556642775,-0.1574083472038908,practically-equivalent,0.0,0.5713319598750842,1.0,0.0,0.0,0.0,0.0,1.0,0.0
hydration__photo_e_pipi,internal_aqueous,hydration,photo_e_pipi,internal-confirmation,distant-control,aqueous molecular thermodynamics,molecular photoswitch,0.0,-0.2948152287337262,0.0037397453788833,-0.0011863846440559,0.0105983353069248,0.1592453438969609,practically-equivalent,0.0,-0.2948152287337262,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hydration__pka_acid,internal_aqueous,hydration,pka_acid,internal-confirmation,cross-dataset-ionization,aqueous molecular thermodynamics,aqueous molecular acid-base,1.0,0.2672451463592924,0.0014155570556944,-0.0013880527489336,0.0056553129406992,0.1551261263557729,practically-equivalent,0.3333333333333333,0.2672451463592924,1.0,0.0,0.0,0.0,1.0,0.0,0.0
