kind,parameter,oof_mae_mV,oof_rmse_mV,oof_r2,oof_spearman
pls,8.0,12.887531954928814,16.398582216066888,0.7105506156269767,0.8572112996912024
pls,12.0,13.724247729378607,19.769417271299755,0.5793239733160735,0.8457560918222309
pca_ridge,0.1,13.809918338979994,17.36241173631005,0.6755258308728774,0.8374096652885406
pca_ridge,1.0,13.811057623879753,17.36541063089924,0.6754137326367167,0.8372708766046548
pca_ridge,10.0,13.821811899408832,17.396528715274926,0.674249400516077,0.83706607050647
pls,16.0,13.98521495014725,17.903357469672486,0.6549921367767615,0.8314469845981616
pca_ridge,100.0,14.013838489837806,17.746887189578644,0.6609963264294185,0.8327698883969535
pls,4.0,14.368946724251796,18.524226659140886,0.6306482171481065,0.8198002958049515
pls,2.0,20.522698946345226,25.44520921915339,0.30309740870155666,0.593339877274641
