source,entities,groups,oof_r2,oof_rmse,oof_spearman
obelix_same_property,181,54,0.06753833899990369,1.9839890951157493,0.4858252032477428
estm_transport_neighbor,870,159,0.25704104010882156,0.24141058394549292,0.5169407826205168
borg_mechanical_control,395,90,0.16180218227010623,0.2626240390682824,0.4134716298106726
ocx_catalysis_control,212,212,0.5427450288079936,14.181684439365933,0.7377498094283973
